caption,image_id,fluency,diversity,humor_score,humor,benign
"we’ re still working on the to-go side of things, but we’ ve got you",sonicdrivein_1090,0.95917577,0.49941888,0.0654982775449752,0,-9.170115
it ‘s time to celebrate the school’ s hot tub day with a drink in your mouth,sonicdrivein_1138,0.96181524,0.49941888,0.038023218512535,0,-9.12307
"it ‘s time for you to try the blue raspberry slushie, it ‘s delicious",sonicdrivein_1197,0.9358769,0.49941888,0.0521358326077461,0,-9.806065
we hope you’ re ready for the new year’ s drive-in movie night 🎥,sonicdrivein_1209,0.97398055,0.49941888,0.0054892227053642,0,-7.1797647
this is the best gift you can give yourself this holiday season 🎄🎄🎄,sonicdrivein_1307,0.9635175,0.49941888,0.0399442203342914,0,-9.66861
can’ t believe it’ s valentine’ s day and we’ re serving,sonicdrivein_1367,0.9338319,0.49941888,0.1479128301143646,0,-1.5033622
can’ t wait to see what’ s on the menu this 4th of july ?,sonicdrivein_1376,0.9736872,0.49941888,0.6733560562133789,1,-9.1842
it’ s that time of the year again 🎉🎉🎉🎉,sonicdrivein_1435,0.90876174,0.49941888,0.075500838458538,0,-8.785961
"if you’ re looking for something to get you through the weekend, we’ ve got you covered",sonicdrivein_1452,0.9689326,0.49941888,0.0875275209546089,0,-8.927256
this man knows a thing or two when it comes to men 's haircuts 🙌🏼,sonicdrivein_1566,0.9715433,0.49941888,0.3634493947029114,0,-0.0018304513
it ‘s not a bad idea after all 🤷‍♀️🤷�,sonicdrivein_1567,0.9284984,0.49941888,0.1038388460874557,0,-8.37634
"if you’ re in the mood for a shake, we got you covered 🍕",sonicdrivein_1635,0.9491299,0.49941888,0.0286036524921655,0,-8.868226
"it’ s halloween, and this is your chance to save 50 cents on corn dogs all day",sonicdrivein_1678,0.95588326,0.49941888,0.0089317597448825,0,-9.211171
"it’ s halloween, and this is the corn dog you’ re looking for",sonicdrivein_1755,0.9735246,0.49941888,0.3520632982254028,0,-8.605178
if you’ re a fan of the slushies you’ re going to love this one �,sonicdrivein_1765,0.96146137,0.49941888,0.3502086102962494,0,-8.615779
"this is how we spent our summer vacation it was filled with popsicles, sunshine, and a little bit of",sonicdrivein_1793,0.8740222,0.49941888,0.0307877399027347,0,-9.141106
"they’ ve got corn on the cob, we’ve got corn on the floor and they�",sonicdrivein_1809,0.78629553,0.49941888,0.8352479934692383,1,-7.433823
what’ s your drink of choice? 🤔🤔🤔🤔�,sonicdrivein_1866,0.9670811,0.49941888,0.2504080235958099,0,-8.287876
this is a meme if you need a smile in your day or just want to make someone smile 🥰,sonicdrivein_1884,0.95154744,0.49941888,0.0040711718611419,0,-9.132108
please help us get this drink back in stock now! 💦💦💦,sonicdrivein_1996,0.9335145,0.49941888,0.0093644764274358,0,-9.414845
"i 'm sure you 're all excited to get to the end of the year, but i 'm",sonicdrivein_2080,0.96752834,0.49941888,0.1620771288871765,0,-9.171104
what do you think of the new breakfast sandwiches at sonic? i’ m eating one right now,sonicdrivein_2168,0.9766898,0.49941888,0.6328960657119751,0,-8.52523
🚨🚨🚨🚨🚨🚨🚨�,sonicdrivein_2181,0.86411864,0.49941888,0.068210445344448,0,-1.0424052
`` what 's this? '' `` what 's this? '' `` what 's this? '',sonicdrivein_2185,0.94790196,0.49941888,0.3754964172840118,0,-2.960812
"you can’ t go wrong with a shake, waffle, or cookie 🍪🍪",sonicdrivein_2189,0.9307862,0.49941888,0.1608744263648986,0,-8.01761
"i do n't know if you 've been in a coma, but i do n't think you '",sonicdrivein_2201,0.75366235,0.49941888,0.5075322389602661,0,-8.527957
