,image_id,caption,fitCount,gtNum,fluency,diversity,bleu1,bleu2,bleu3,bleu4,humor_score,humor
305,sonicdrivein_344,did you know that you can get a free tumbler too? that you can get a free drink too? that you can get a free calendar too? that you can get a free calendar app too? that you can get a free calendar app for your phone too? that you can get a free calendar app for your tablet too,6,1,0.96806574,0.5635486,0.0166666666666666,2.2250738585072617e-308,2.2250738585072617e-308,2.2250738585072617e-308,0.1583948731422424,0
329,sonicdrivein_2091,it’ s time to get the n't.,0,1,0.9450822,0.5635486,0.0,0.0,0.0,0.0,0.9208924174308776,1
343,sonicdrivein_788,we know you’ re going to want to keep your eyes open for the new sonic this year.,0,1,0.979714,0.5635486,0.0,0.0,0.0,0.0,0.1637362241744995,0
348,sonicdrivein_528,"just kidding, i’ m not a chicken coke aficionado 😏 </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s",0,1,0.9471547,0.5635486,0.0,0.0,0.0,0.0,0.4471827745437622,0
398,sonicdrivein_2185,it’ s a good day and a miss… what’ s your favorite moment of the year?# msfhc# seasonshowslife# msfhc2# calendardaylooks_like_this# calendarbreak# calendar_looks_like_this# calendar_looks_like_,0,1,0.88304466,0.5635486,0.0,0.0,0.0,0.0,0.0368973575532436,0
406,sonicdrivein_234,not sure if this is a compliment or a compliment.,0,1,0.96398497,0.5635486,0.0,0.0,0.0,0.0,0.9201169013977052,1
411,sonicdrivein_1737,what do you think? 🍪# nationaldianawagfest# anniversariesday# nationaldiana# anniversariesday# march5 📷:@ annalee15 shares some of the thoughts behind the tag.,2,1,0.7502792,0.5635486,0.05,2.2250738585072617e-308,2.2250738585072617e-308,2.2250738585072617e-308,0.0115106711164116,0
429,sonicdrivein_2208,we thought you would like to see a stream of the covered coke? 🤩# cokefest 2017 📷: https://www.,1,1,0.947323,0.5635486,0.0555555555555555,2.2250738585072617e-308,2.2250738585072617e-308,2.2250738585072617e-308,0.8282281756401062,1
463,sonicdrivein_41,boy is this what we do.,0,1,0.8701399,0.5635486,0.0,0.0,0.0,0.0,0.8566513657569885,1
476,sonicdrivein_78,pov: you know what? it’ s not a bad slush.,0,1,0.9722454,0.5635486,0.0,0.0,0.0,0.0,0.9282858967781068,1
484,sonicdrivein_1138,thank you for coming to the party 🧀🥤📷🧀🕷🕷🦇🕷🦇 to win a free chocolate cup with@ susanhughes.,5,1,0.3578911,0.5635486,0.1180916381852536,1.051050468137224e-308,1.051050468137224e-308,1.051050468137224e-308,0.0305945631116628,0
537,sonicdrivein_2168,"it’ s all you’ re have’ s to eat’ s great breakfast , right? 🤔# getawaywithit# somethingscookin# march5 📷:@ kimchi.",2,1,0.4715288,0.5635486,0.0951229424500714,2.1165557258994457e-308,2.1165557258994457e-308,2.1165557258994457e-308,0.1752923429012298,0
578,sonicdrivein_491,it’ s all about the bacon’ s cheese 💅🏼️🤭#‎tsu2019s_pickle# rebaislandaillis '' '' and for only$ 0.,0,1,0.5854877,0.5635486,0.0,0.0,0.0,0.0,0.1073298379778862,0
594,sonicdrivein_1566,this is what you get when you order a grilled cheese double burger with a side of fries and 2 sides of mushrooms 😌# partytime# partytime# partytime# march5 📷:@ partytimebombadams 📷:@ partytimebombadams 📷:@ partytimebombadams,1,1,0.9438616,0.5635486,0.0294117647058823,2.2250738585072617e-308,2.2250738585072617e-308,2.2250738585072617e-308,0.1342674940824508,0
622,sonicdrivein_690,we’ ve got a new app coming that will let you do the deed for us💅🍑here🤣: http://idonttakecharge.,0,1,0.90417606,0.5635486,0.0,0.0,0.0,0.0,0.3993757367134094,0
685,sonicdrivein_532,it doesn't matter if you don't have it.,0,1,0.97493786,0.5635486,0.0,0.0,0.0,0.0,0.2598437368869781,0
759,sonicdrivein_283,i’ ve got a new one coming 🤩 watch the full episode of dadfessionals with@ annalee15 now on youtube 🍔# sonicswagaless ''‍♂️# sonicswagaless ''# sonicswagaless '' '' '' '' '' '',1,1,0.80842483,0.5635486,0.032258064516129,2.2250738585072617e-308,2.2250738585072617e-308,2.2250738585072617e-308,0.0124914227053523,0
761,sonicdrivein_1022,we need a new way to answer your questions 👀 👀 and we need your feedback too 🤔# getawaywithit# somethingscookin# march5 📷:@ seansaucexperia 📷:@ sonicwagalot 📷:@ sonicwagalot,4,1,0.8224969,0.5635486,0.111111111111111,2.2250738585072617e-308,2.2250738585072617e-308,2.2250738585072617e-308,0.4948569536209106,0
803,sonicdrivein_2181,we’ re going to make a new sonic cup of food.,1,1,0.97704846,0.5635486,0.0577033108127528,1.412335412826535e-308,1.412335412826535e-308,1.412335412826535e-308,0.1331932842731475,0
807,sonicdrivein_1866,the sonic blast of sonic rock is upon us.,1,1,0.94104385,0.5635486,0.0365769986453228,7.32478711575271e-309,7.32478711575271e-309,7.32478711575271e-309,0.505039632320404,1
812,sonicdrivein_780,thank you for coming to our office to get your own tots today.,0,1,0.9761378,0.5635486,0.0,0.0,0.0,0.0,0.834503173828125,1
858,sonicdrivein_1376,autumn leaves fallin' down and we’ re taking a bite out of it.,0,1,0.9623953,0.5635486,0.0,0.0,0.0,0.0,0.8320543169975281,1
893,sonicdrivein_196,when you wake up feeling like you belong in the middle of nowhere.,3,1,0.9648111,0.5635486,0.2307692307692307,2.2250738585072617e-308,2.2250738585072617e-308,2.2250738585072617e-308,0.9917598366737366,1
894,sonicdrivein_80,it’ s fall and y’ s time to celebrate with a blast of summer goodness.,1,1,0.9223454,0.5635486,0.0666666666666666,2.2250738585072617e-308,2.2250738585072617e-308,2.2250738585072617e-308,0.5969211459159851,1
919,sonicdrivein_1755,this is what you’ re told.,1,1,0.97124016,0.5635486,0.0098027452737383,1.308709935012045e-309,1.308709935012045e-309,1.308709935012045e-309,0.7756348252296448,1
942,sonicdrivein_1765,it’ s time for a change.,1,1,0.97300017,0.5635486,0.0115805752038002,1.546058109147204e-309,1.546058109147204e-309,1.546058109147204e-309,0.7273836135864258,1
963,sonicdrivein_135,he’ s the man who inspired me to make this chili cheese dip.,0,1,0.9776793,0.5635486,0.0,0.0,0.0,0.0,0.4800624847412109,0
1007,sonicdrivein_1753,"a great deal is coming to this corner this coming Monday, so you’ re going to want to bring your dog a sonic treat.",3,1,0.970738,0.5635486,0.125,2.2250738585072617e-308,2.2250738585072617e-308,2.2250738585072617e-308,0.2921139895915985,0
1008,sonicdrivein_1435,"sip on the side, sip on the side, sip on the side, sip on the side, sip on the side, sip on the side, sip on the side, sip on the side, sip on the side, sip on the side, sip on the side, sip on the side, sip on the side, sip",13,1,0.9158541,0.5635486,0.0377358490566037,2.2250738585072617e-308,2.2250738585072617e-308,2.2250738585072617e-308,0.4231407642364502,0
1011,sonicdrivein_1452,"personally, i’ ve been a bit of a hater.",0,1,0.9818486,0.5635486,0.0,0.0,0.0,0.0,0.7261074185371399,1
1094,sonicdrivein_1209,it’ s all about the jesus out there 🥤 and you’ ll want to share it with your friends too 🤩# getawaywithit# somethingscookin# march5 📷:@ jessica_sillitna.,4,1,0.7712325,0.5635486,0.1538461538461538,0.04,2.2250738585072617e-308,2.2250738585072617e-308,0.0082726925611495,0
1126,sonicdrivein_339,you’ re gon na have to try the rts rtsdrive to get the full blast of sonic rts 🧀️# rtsdrinkremix ''# packn rts# march5 📷:@ sonicdrivein# march5 📷:@ thewilliamsfamilton '',6,1,0.41812873,0.5635486,0.1333333333333333,0.0344827586206896,2.2250738585072617e-308,2.2250738585072617e-308,0.1015725806355476,0
1139,sonicdrivein_2080,it 's always the plan to give back to the ❤️⛰️⛰️⛰️⛰️⛰️⛰️⛰️⛰️⛰️⛰️⛰️⛰️⛰️�,2,1,0.7295657,0.5635486,0.0962206075454636,1.1775387717450385e-308,1.1775387717450385e-308,1.1775387717450385e-308,0.2004772126674652,0
1187,sonicdrivein_414,not sure if this is a compliment but i am sure it is a compliment 🎃# lasertatertotday# lasertaterfest# jnr.,0,1,0.90917975,0.5635486,0.0,0.0,0.0,0.0,0.2285394966602325,0
1204,sonicdrivein_2100,"it’ s a sonic drink , and it’ s a’ s a’ s a’ s a’ s a’ s a’ s a’ s a’ s a’ s a’ s a’ s a’ s a’ s a�",1,1,0.667631,0.5635486,0.0277777777777777,2.2250738585072617e-308,2.2250738585072617e-308,2.2250738585072617e-308,0.4969427287578583,0
1222,sonicdrivein_529,we’ ve got a thing for you.,1,1,0.97928876,0.5635486,0.1073538990107551,1.6720924800836196e-308,1.6720924800836196e-308,1.6720924800836196e-308,0.9087382555007936,1
1291,sonicdrivein_2078,"is this what we are thinking? 💅❤️ to help us out, we need your help ! ❤️ on our tumbler: http://www.",2,1,0.90041316,0.5635486,0.0952380952380952,2.2250738585072617e-308,2.2250738585072617e-308,2.2250738585072617e-308,0.096942014992237,0
1295,sonicdrivein_2218,it’ s time for a blast of sonic food.,1,1,0.9634052,0.5635486,0.071242265381106,1.4266737208830245e-308,1.4266737208830245e-308,1.4266737208830245e-308,0.7000059485435486,1
