prompt,label,image
"bo, "">, re, v, ches, �, urrent, int, ever, ze, ми, And, alse, ther, these, dd, ch, Name, E, AP, I, <unused42>, mun, sto, ustom, Com, hat, @, ort.",Who raised you,wendys_253
"bo, re, v, ches, �, urrent, int, ever, ze, ми, And, alse, ther, these, dd, ch, Name, E, AP, I, <unused42>, mun, sto, ustom, ti, Com, hat, @, ort.","And unlike a baby, you can give it as a gift.",wendys_149
"bo, "">, re, v, ches, �, urrent, int, ever, ze, ми, And, alse, ther, these, dd, ch, Name, E, AP, I, <unused42>, mun, sto, ustom, ti, Com, hat, @, ort.",I was really feelin’ myself in this photo. 💅💅💅,wendys_189
"bo, re, v, ches, �, urrent, int, ever, ze, ми, And, alse, ther, these, dd, ch, Name, E, AP, I, <unused42>, mun, sto, ustom, ti, Com, hat, @, ort.",There’s actually four different something sweet o’clocks per day.,wendys_130
"bo, re, v, ches, �, urrent, int, ever, ze, ми, And, alse, ther, these, dd, ch, Name, E, AP, I, <unused42>, mun, sto, ustom, Com, hat, @, ort.",This is just for you. You are special. You are a Baconator.,wendys_257
"bo, v, ches, �, urrent, int, ever, ze, ми, And, alse, ther, these, dd, ch, Name, E, AP, I, <unused42>, mun, sto, work, ustom, ti, Com, hat, @, ort.",*Dolphin noises*,wendys_169
"bo, v, ches, �, urrent, int, ever, ze, ми, And, alse, ther, these, dd, ch, Name, E, AP, I, <unused42>, mun, sto, work, ustom, ti, Com, hat, @, ort.",¯\_(ツ)_/¯,wendys_323
"bo, re, v, ches, �, urrent, int, ever, ze, ми, And, alse, ther, these, dd, ch, Name, E, AP, I, <unused42>, mun, sto, ustom, ti, Com, hat, @, ort.",Truer words have never been spoken.,wendys_333
"bo, re, v, ches, �, urrent, int, ever, ze, ми, And, alse, ther, these, dd, ch, Name, E, AP, I, <unused42>, mun, head, ustom, ti, Com, hat, @, ort.",the traffic was actually really delicious,wendys_151
"bo, re, v, ches, �, urrent, int, ever, ze, ми, And, alse, ther, these, dd, ch, Name, E, AP, I, <unused42>, mun, sto, ustom, ti, Com, hat, @, ort.",You asked and the Queen of Spice delivered. Spicy Nuggs are back on the menu. You’re welcome 🔥🔥🔥,wendys_368
"bo, "">, re, v, ches, �, urrent, int, ever, ze, ми, And, alse, ther, these, dd, ch, Name, E, AP, I, <unused42>, mun, head, ustom, ti, Com, hat, @, ort.",The more you know.,wendys_20
"bo, "">, re, v, ches, �, urrent, int, ever, ze, ми, And, alse, ther, these, dd, ch, Name, E, AP, I, <unused42>, mun, sto, ustom, ti, Com, hat, @, ort.",History in the making.,wendys_312
"bo, "">, re, v, ches, �, urrent, int, ever, ze, ми, And, alse, ther, these, dd, ch, Name, E, AP, I, <unused42>, mun, sto, ustom, ti, Com, hat, @, ort.",something saucy is coming,wendys_23
"bo, "">, v, ches, �, urrent, int, ever, ze, ми, And, alse, ther, these, dd, ch, Name, E, AP, I, <unused42>, mun, sto, work, ustom, ti, Com, hat, @, ort.",O-h,wendys_152
"bo, v, ches, �, urrent, int, ever, ze, ми, And, alse, ther, these, dd, ch, Name, E, AP, I, <unused42>, mun, sto, work, ustom, ti, Com, hat, @, ort.",Spicy Chicken Nuggets will now be back in all restaurants THIS MONDAY! Get ready. 🔥,wendys_369
"bo, v, ches, �, urrent, int, ever, ze, ми, And, alse, ther, these, dd, ch, Name, E, AP, I, <unused42>, mun, sto, work, ustom, ti, Com, hat, @, ort.",Whoops.,wendys_317
"bo, re, v, ches, �, urrent, int, ever, ze, ми, And, alse, ther, these, dd, ch, Name, E, AP, I, <unused42>, mun, head, ustom, ti, Com, hat, @, ort.",🔥🔥🔥,wendys_361
"bo, v, ches, �, urrent, int, ever, ze, ми, And, alse, ther, these, dd, ch, Name, E, AP, I, <unused42>, mun, sto, work, ustom, Com, hat, @, ort.","❤️ for long fry, comment for wide fry. There are no wrong answers. Yet. #wendys #food",wendys_199
"bo, "">, v, ches, �, urrent, int, ever, ze, ми, And, alse, ther, these, dd, ch, Name, E, AP, I, <unused42>, mun, sto, work, ustom, ti, Com, hat, @, ort.",This is your chance to win!,wendys_263
"bo, re, v, ches, �, urrent, int, ever, ze, ми, And, alse, ther, these, dd, ch, Name, E, AP, I, <unused42>, mun, sto, ustom, Com, hat, @, ort.","Frosty the Frosty, oh how the children love thee!",wendys_265
"bo, "">, re, v, ches, �, urrent, int, ever, ze, ми, And, alse, ther, these, dd, ch, Name, E, AP, I, <unused42>, mun, sto, ustom, ti, Com, hat, @, ort.",find all the hidden grub...IF YOU DARE ☠️,wendys_274
"bo, re, v, ches, �, urrent, int, ever, ze, ми, And, alse, ther, these, dd, ch, Name, E, AP, I, <unused42>, mun, sto, ustom, ti, Com, hat, @, ort.",You know who you are.,wendys_113
"bo, v, �, urrent, int, ever, ze, ми, And, alse, ther, these, dd, ch, Name, E, AP, I, <unused42>, mun, sto, work, ustom, ti, Com, hat, @, ort, x.",Teaching my nuggets how to survive in the real world,wendys_49
"bo, v, ches, �, urrent, int, ever, ze, ми, And, alse, ther, these, dd, ch, Name, E, AP, I, <unused42>, mun, sto, work, ustom, ti, Com, hat, @, ort.",The motherboard is fried.,wendys_299
"bo, re, v, ches, �, urrent, int, ever, ze, ми, And, alse, ther, these, dd, ch, Name, E, AP, I, <unused42>, mun, sto, ustom, ti, Com, hat, @, ort.",NEW MITTENS JUST DROPPED. Here are some product features #peppermintfrosty,wendys_150
"bo, "">, v, ches, �, urrent, int, ever, ze, ми, And, alse, ther, these, dd, ch, Name, E, AP, I, <unused42>, mun, sto, work, ustom, ti, Com, hat, @, ort.",✒️𝓒𝓪𝓷 𝔂𝓸𝓾 𝔀𝓻𝓲𝓽𝓮 𝓯𝓪𝓷𝓬𝔂?,wendys_223
"bo, re, v, ches, �, urrent, int, ever, ze, ми, And, alse, ther, these, dd, ch, Name, E, AP, I, <unused42>, mun, sto, ustom, Com, hat, @, ort.",It’s literally called the Breakfast Baconator.,wendys_311
"bo, "">, re, v, ches, �, urrent, int, ever, ze, ми, And, alse, ther, these, dd, ch, Name, E, AP, I, <unused42>, mun, sto, ustom, Com, hat, @, ort.","Every time I serve this Baconator at home, it is a hit!  The kids, Dale, everyone goes crazy for it! I can’t keep it on",wendys_254
"bo, "">, v, ches, �, urrent, int, ever, ze, ми, And, alse, ther, these, dd, ch, Name, E, AP, I, <unused42>, mun, sto, work, ustom, Com, hat, @, ort.",Were you about to scroll by without trying to find Wendy Morty? Shame on you. Restore your honor by finding her. Let us,wendys_336
"bo, v, ches, �, urrent, int, ever, ze, ми, And, alse, ther, these, dd, ch, Name, E, AP, I, <unused42>, mun, sto, work, ustom, ti, Com, hat, @, ort.",Meeting with our fashion designer as we speak,wendys_24
"bo, "">, v, ches, �, urrent, int, ever, ze, ми, And, alse, ther, these, dd, ch, Name, E, AP, I, <unused42>, mun, sto, work, ustom, ti, Com, hat, @, ort.",Why they always gotta post people’s business,wendys_115
"bo, v, ches, �, urrent, int, ever, ze, ми, And, alse, ther, these, dd, ch, Name, E, AP, I, <unused42>, mun, sto, work, ustom, ti, Com, hat, @, ort.",You need a lil treat after all that shopping.,wendys_163
"bo, v, ches, �, urrent, int, ever, ze, ми, And, alse, ther, these, dd, ch, Name, E, AP, I, <unused42>, mun, sto, work, ustom, ti, Com, hat, @, ort.",Ahh…the 444. What can we say? It’s a masterpiece. #444 #wemdys #art #food #foodart,wendys_202
"bo, "">, v, ches, �, urrent, int, ever, ze, ми, And, alse, ther, these, dd, ch, Name, E, AP, I, <unused42>, mun, sto, work, ustom, ti, Com, hat, @, ort.",He was just excited.,wendys_170
"bo, v, ches, �, urrent, int, ever, ze, ми, And, alse, ther, these, dd, ch, Name, E, AP, I, <unused42>, mun, sto, work, ustom, ti, Com, hat, @, ort.",BFAST HITS DIFF 🥓,wendys_89
"bo, re, v, ches, �, urrent, int, ever, ze, ми, And, alse, ther, these, dd, ch, Name, E, AP, I, <unused42>, mun, sto, ustom, ti, Com, hat, @, ort.",I call the hot one,wendys_67
"bo, "">, v, ches, �, urrent, int, ever, ze, ми, And, alse, ther, these, dd, ch, Name, E, AP, I, <unused42>, mun, sto, work, ustom, Com, hat, @, ort.",no pressure or anything,wendys_134
"bo, re, v, ches, �, urrent, int, ever, ze, ми, And, alse, ther, these, dd, ch, Name, E, AP, I, <unused42>, mun, sto, ustom, ti, Com, hat, @, ort.",Only a genius can solve this: 🍟⟌🍔ᒾ,wendys_142
"bo, v, ches, �, urrent, int, ever, ze, ми, And, alse, ther, these, dd, ch, Name, E, AP, I, <unused42>, mun, sto, work, ustom, Com, hat, @, ort.",tag ur aunties,wendys_44
"bo, re, v, ches, �, urrent, int, ever, ze, ми, And, alse, ther, dd, ch, Name, E, AP, I, <unused42>, mun, sto, ustom, ti, Com, hat, @, ort.",Crispy.,wendys_319
"bo, v, ches, �, urrent, int, ever, ze, ми, And, alse, ther, these, dd, ch, Name, E, AP, I, <unused42>, mun, sto, work, ustom, ti, Com, hat, @, ort.",🤯,wendys_272
"bo, "">, re, v, �, urrent, int, ever, ze, ми, And, alse, ther, these, dd, ch, Name, E, AP, I, <unused42>, mun, sto, ustom, ti, Com, hat, @, ort, x.","When in doubt, a frosty’ll fix it.",wendys_116
"bo, re, v, ches, �, urrent, int, ever, ze, ми, And, alse, ther, dd, ch, Name, E, AP, I, <unused42>, mun, sto, ustom, ti, Com, hat, @, ort.","Once you get it, it’s over.",wendys_320
"bo, v, ches, �, urrent, int, ever, ze, ми, And, alse, ther, these, dd, ch, Name, E, AP, I, <unused42>, mun, sto, work, ustom, ti, Com, hat, @, ort.",the only squares allowed at Wendy’s are patties,wendys_268
"bo, re, v, ches, �, urrent, int, ever, ze, ми, And, alse, ther, these, dd, ch, Name, E, AP, I, <unused42>, mun, sto, ustom, ti, Com, hat, @, ort.",Grad u ate some Wendy’s.,wendys_300
"bo, re, v, ches, �, urrent, int, ever, ze, ми, And, alse, ther, these, dd, ch, Name, E, AP, I, <unused42>, mun, sto, ustom, ti, Com, hat, @, ort.",NO ONE CAN BEAT THIS GAME jk it’s not even real lol,wendys_104
"bo, "">, re, v, ches, �, urrent, int, ever, ze, ми, And, alse, ther, these, dd, ch, Name, E, AP, I, <unused42>, mun, sto, ustom, ti, Com, hat, @, ort.",No human person could ever come up with this except maybe one really talented person @nbapaints,wendys_34
"bo, re, v, �, urrent, int, ever, ze, ми, And, alse, ther, these, dd, ch, Name, E, AP, I, <unused42>, mun, sto, ustom, ti, Com, hat, @, ort, x.",No shame.,wendys_316
"bo, re, v, ches, �, urrent, int, ever, ze, ми, And, alse, ther, these, dd, ch, Name, E, AP, I, <unused42>, mun, sto, ustom, ti, Com, hat, @, ort.",We all have that one BFF...,wendys_228
"bo, "">, re, v, �, urrent, int, ever, ze, ми, And, alse, ther, these, dd, ch, Name, E, AP, I, <unused42>, mun, sto, ustom, ti, Com, hat, @, ort, x.",DO NOT MESS WITH US,wendys_259
"bo, re, v, ches, �, urrent, int, ever, ze, ми, And, alse, ther, these, dd, ch, Name, E, AP, I, <unused42>, mun, sto, ustom, ti, Com, hat, @, ort.",She's a Peppermint Frosty and she's beautiful.,wendys_148
"bo, v, ches, �, urrent, int, ever, ze, ми, And, alse, ther, these, dd, ch, Name, E, AP, I, <unused42>, mun, sto, work, ustom, Com, hat, @, ort.",It’s cool tho i got podcasts,wendys_66
"bo, re, v, ches, �, urrent, int, ever, ze, ми, And, alse, ther, these, dd, ch, Name, E, AP, I, <unused42>, mun, sto, ustom, ti, Com, hat, @, ort.","More than just one level, we made a whole world #SMM2",wendys_370
"bo, v, ches, �, urrent, int, ever, ze, ми, And, alse, ther, these, dd, ch, Name, E, AP, I, <unused42>, mun, sto, work, ustom, ti, Com, hat, @, ort.",Will brake for chicken.,wendys_238
"bo, re, v, ches, �, urrent, int, ever, ze, ми, And, alse, ther, these, dd, ch, Name, E, AP, I, <unused42>, mun, sto, ustom, ti, Com, hat, @, ort.",stay mad 🏀😤🧊,wendys_121
"bo, re, v, ches, �, urrent, int, ever, ze, ми, And, alse, ther, these, dd, ch, Name, E, AP, I, <unused42>, mun, sto, ustom, ti, Com, hat, @, ort.",whatchall want?,wendys_14
"bo, re, v, ches, �, urrent, int, ever, ze, ми, And, alse, ther, these, dd, ch, Name, E, AP, I, <unused42>, mun, sto, ustom, ti, Com, hat, @, ort.","Study up, kids.",wendys_209
"bo, "">, re, v, ches, �, urrent, int, ever, ze, ми, And, alse, ther, these, dd, ch, Name, E, AP, I, <unused42>, mun, sto, ustom, ti, Com, hat, @, ort.",Get a Frosty Key Tag. Get free Frosty’s all year. BE ENLIGHTENED.,wendys_43
"bo, v, ches, �, urrent, int, ever, ze, ми, And, alse, ther, these, dd, ch, Name, E, AP, I, <unused42>, mun, sto, work, ustom, Com, hat, @, ort.",Don’t try to fight your destiny.,wendys_99
"bo, re, v, ches, �, urrent, int, ever, ze, ми, And, alse, ther, these, dd, ch, Name, E, AP, I, <unused42>, mun, sto, ustom, ti, Com, hat, @, ort.",I do not envy those who seek a quick answer to this quest.,wendys_69
"bo, re, v, ches, �, urrent, int, ever, ze, ми, And, alse, ther, these, dd, ch, Name, E, AP, I, <unused42>, mun, sto, ustom, Com, hat, @, ort.","A breakfast this good deserves to be shared. Tag your go-to buy one, get one breakfast bud in the comments. Pro tip: you can tag yourself.",wendys_289
"bo, re, v, ches, �, urrent, int, ever, ze, ми, And, alse, ther, these, dd, ch, Name, E, AP, I, <unused42>, mun, sto, ustom, ti, Com, hat, @, ort.",They’re very spicy to ME,wendys_91
"bo, v, ches, �, urrent, int, ever, ze, ми, And, alse, ther, these, dd, ch, Name, E, AP, I, <unused42>, mun, sto, work, ustom, ti, Com, hat, @, ort.",He jiggles like crazy.,wendys_85
"bo, "">, re, v, ches, �, urrent, int, ever, ze, ми, And, alse, ther, these, dd, ch, Name, E, AP, I, <unused42>, mun, sto, ustom, ti, Com, hat, @, ort.","it’s chili season, bby 👏",wendys_277
"bo, "">, re, v, �, urrent, int, ever, ze, ми, And, alse, ther, these, dd, ch, Name, E, AP, I, <unused42>, mun, sto, ustom, ti, Com, hat, @, ort, x.",tag urself I’m soup-core,wendys_167
"bo, re, v, ches, �, urrent, int, ever, ze, ми, And, alse, ther, these, dd, ch, Name, E, AP, I, <unused42>, mun, sto, ustom, ti, Com, hat, @, ort.",For the 1 you luhv,wendys_133
"bo, v, ches, �, urrent, int, ever, ze, ми, And, alse, ther, these, dd, ch, Name, E, AP, I, <unused42>, mun, sto, work, ustom, ti, Com, hat, @, ort.","Duke it out in the comments. Kiki or Bouba, it’s still only 3 bucks. #3BreakfastDeal",wendys_120
"bo, re, v, �, urrent, int, ever, ze, ми, And, alse, ther, these, dd, ch, Name, E, AP, I, <unused42>, mun, sto, ustom, ti, Com, hat, @, ort, x.",Hint it’s NOT the carton of nuggets or the background.,wendys_219
"bo, "">, re, v, ches, �, urrent, int, ever, ze, ми, And, alse, ther, these, dd, ch, Name, E, AP, I, <unused42>, mun, sto, ustom, ti, Com, hat, @, ort.",Class roll call is about to get reallll confusing,wendys_154
"bo, "">, re, v, ches, �, urrent, int, ever, ze, ми, And, alse, ther, these, dd, ch, Name, E, AP, I, <unused42>, mun, sto, ustom, ti, Com, hat, @, ort.",Has this ever happened to u,wendys_207
"bo, "">, re, v, ches, �, urrent, int, ever, ze, ми, And, alse, ther, dd, ch, Name, E, AP, I, <unused42>, mun, sto, ustom, Com, hat, @, ort.","don’t forget your drink king, hope you had a good day. Bye, Pop.",wendys_179
"bo, v, ches, �, urrent, int, ever, ze, ми, And, alse, ther, these, dd, ch, Name, E, AP, I, <unused42>, mun, sto, work, ustom, Com, hat, @, ort.",Alpha moves only,wendys_4
"bo, "">, re, v, ches, �, urrent, int, ever, ze, ми, And, alse, ther, these, dd, ch, Name, E, AP, I, <unused42>, mun, sto, ustom, ti, Com, hat, @, ort.",just here to start arguments tbh,wendys_217
"bo, re, v, ches, �, urrent, int, ever, ze, ми, And, alse, ther, these, dd, ch, Name, E, AP, I, <unused42>, mun, sto, ustom, ti, Com, hat, @, ort.",Everyone’s favorite dinner is always a large fry in the car.,wendys_123
"bo, re, v, ches, �, urrent, int, ever, ze, ми, And, alse, ther, these, dd, ch, Name, E, AP, I, <unused42>, mun, sto, ustom, ti, Com, hat, @, ort.",Everything reminds me of...😍,wendys_288
"bo, re, v, ches, �, urrent, int, ever, ze, ми, And, alse, ther, these, dd, ch, Name, E, AP, I, <unused42>, mun, head, ustom, ti, Com, hat, @, ort.","I’m a burger girl, in a burger world",wendys_118
"bo, re, v, ches, �, urrent, int, ever, ze, ми, And, alse, ther, dd, ch, Name, E, AP, I, <unused42>, mun, sto, ustom, Com, hat, @, ort.",We’re a freaking winter wonderland. (sound on),wendys_326
"bo, v, �, urrent, int, ever, ze, ми, And, alse, ther, these, dd, ch, Name, E, AP, I, <unused42>, mun, sto, work, ustom, ti, Com, hat, @, ort, x.",retweet if you wish this was you rn,wendys_178
"bo, v, ches, �, urrent, int, ever, ze, ми, And, alse, ther, these, dd, ch, Name, E, AP, I, <unused42>, mun, sto, work, ustom, ti, Com, hat, @, ort.",Humans only pls.,wendys_322
"bo, v, ches, �, urrent, int, ever, ze, ми, And, alse, ther, these, dd, ch, Name, E, AP, I, <unused42>, mun, sto, work, ustom, ti, Com, hat, @, ort.",AND your mom,wendys_187
"bo, v, ches, �, urrent, int, ever, ze, ми, And, alse, ther, these, dd, ch, Name, E, AP, I, <unused42>, mun, sto, work, ustom, ti, Com, hat, @, ort.",tbh think you guys love our lemonade more than we do,wendys_176
"bo, re, v, ches, �, urrent, int, ever, ze, ми, And, alse, ther, these, dd, ch, Name, E, AP, I, <unused42>, mun, sto, ustom, ti, Com, hat, @, ort.",We heard she can absolutely champion one.,wendys_201
"bo, v, ches, �, urrent, int, ever, ze, ми, And, alse, ther, these, dd, ch, Name, E, AP, I, <unused42>, mun, sto, work, ustom, ti, Com, hat, @, ort.","Honestly when you’re a Frosty, you can make any relationship work.",wendys_175
"bo, v, �, urrent, int, ever, ze, ми, And, alse, ther, these, dd, ch, Name, E, AP, I, <unused42>, mun, sto, work, ustom, ti, Com, hat, @, ort, x.",*Investment*,wendys_290
"bo, re, v, ches, �, urrent, int, ever, ze, ми, And, alse, ther, these, dd, ch, Name, E, AP, I, <unused42>, mun, sto, ustom, ti, Com, hat, @, ort.",new years resolution,wendys_51
"bo, "">, v, ches, �, urrent, int, ever, ze, ми, And, alse, ther, these, dd, ch, Name, E, AP, I, <unused42>, mun, sto, work, ustom, ti, Com, hat, @, ort.",Can you find Wendy Morty? She looks exactly like what you just imagine when you read “Wendy Morty.” Let us know when you,wendys_338
"bo, v, ches, �, urrent, int, ever, ze, ми, And, alse, ther, these, dd, ch, Name, E, AP, I, <unused42>, mun, sto, work, ustom, ti, Com, hat, @, ort.","@bravoandy we need Real Housewives of Columbus
#bravo #bravocon #bravocon2023 @bravotv",wendys_64
"bo, v, ches, �, urrent, int, ever, ze, ми, And, alse, ther, these, dd, ch, Name, E, AP, I, <unused42>, mun, sto, work, ustom, ti, Com, hat, @, ort.",The dudes have to know,wendys_190
"bo, v, ches, �, urrent, int, ever, ze, ми, And, alse, ther, these, dd, ch, Name, E, AP, I, <unused42>, mun, sto, work, ustom, ti, Com, hat, @, ort.",Serving W’s for breakfast.,wendys_313
"bo, v, ches, �, urrent, int, ever, ze, ми, And, alse, ther, these, dd, ch, Name, E, AP, I, <unused42>, mun, sto, work, ustom, ti, Com, hat, @, ort.","Feeling fresh, might delete later.",wendys_332
"bo, v, ches, �, urrent, int, ever, ze, ми, And, alse, ther, these, dd, ch, Name, E, AP, I, <unused42>, mun, sto, work, ustom, ti, Com, hat, @, ort.",Truth.,wendys_303
"bo, re, v, ches, �, urrent, int, ever, ze, ми, And, alse, ther, these, dd, ch, Name, E, AP, I, <unused42>, mun, sto, ustom, Com, hat, @, ort.",The secret ingredient was in your heart all along!,wendys_266
"bo, "">, re, v, ches, �, urrent, int, ever, ze, ми, And, alse, ther, these, dd, ch, Name, E, AP, I, <unused42>, mun, sto, ustom, Com, hat, @, ort.",🏃‍♂️🚪💨,wendys_62
"bo, "">, v, ches, �, urrent, int, ever, ze, ми, And, alse, ther, these, dd, ch, Name, E, AP, I, <unused42>, mun, sto, work, ustom, ti, Com, hat, @, ort.",There’s a Wendy Morty guys. Tell us when you find her. The ball is in your multiverse.,wendys_340
"bo, re, v, ches, �, urrent, int, ever, ze, ми, And, alse, ther, these, dd, ch, Name, E, AP, I, <unused42>, mun, sto, ustom, Com, hat, @, ort.",Tell us your name and we’ll let you know your official name abbreviation.,wendys_262
"bo, re, v, �, urrent, int, ever, ze, ми, And, alse, ther, these, dd, ch, Name, E, AP, I, <unused42>, mun, sto, ustom, Com, hat, @, ort, x.",call it a glow up,wendys_284
"bo, v, ches, �, urrent, int, ever, ze, ми, And, alse, ther, dd, ch, Name, E, AP, I, <unused42>, mun, sto, work, ustom, ti, Com, hat, @, ort.",A prized collection.,wendys_96
"bo, v, ches, �, urrent, int, ever, ze, ми, And, alse, ther, these, dd, ch, Name, E, AP, I, <unused42>, mun, sto, work, ustom, ti, Com, hat, @, ort.",Gettin free nugs today is the next best thing.,wendys_306
"bo, "">, v, ches, �, urrent, int, ever, ze, ми, And, alse, ther, these, dd, ch, Name, E, AP, I, <unused42>, mun, sto, work, ustom, ti, Com, hat, @, ort.",NORMALIZE LEMONADE AS AN EVERY MONTH BEVERAGE,wendys_143
"bo, re, v, ches, �, urrent, int, ever, ze, ми, And, alse, ther, these, dd, ch, Name, E, AP, I, <unused42>, mun, sto, ustom, ti, Com, hat, @, ort.",We be spittin’ facts today.,wendys_241
"bo, v, ches, �, urrent, int, ever, ze, ми, And, alse, ther, these, dd, ch, Name, E, AP, I, <unused42>, mun, sto, work, ustom, ti, Com, hat, @, ort.",am I going to jail?,wendys_31
"bo, re, v, ches, �, urrent, int, ever, ze, ми, And, alse, ther, these, dd, ch, Name, E, AP, I, <unused42>, mun, sto, ustom, Com, hat, @, ort.",Beef is out now!!,wendys_19
"bo, v, ches, �, urrent, int, ever, ze, ми, And, alse, ther, these, dd, ch, Name, E, AP, I, <unused42>, mun, sto, work, ustom, ti, Com, hat, @, ort.",🤌🤌🤌,wendys_79
"bo, re, v, ches, �, urrent, int, ever, ze, ми, And, alse, ther, these, dd, ch, Name, E, AP, I, <unused42>, mun, sto, ustom, ti, Com, hat, @, ort.",When you tasty and you know it.,wendys_321
"bo, re, v, ches, �, urrent, int, ever, ze, ми, And, alse, ther, these, dd, ch, Name, E, AP, I, <unused42>, mun, sto, ustom, ti, Com, hat, @, ort.",to take the edge off.,wendys_86
"bo, re, v, ches, �, urrent, int, ever, ze, ми, And, alse, ther, dd, ch, Name, E, AP, I, <unused42>, mun, sto, ustom, ti, Com, hat, @, ort.",What can we say? We’re a walking metaphoric 🔥 hazard.,wendys_185
"bo, re, v, ches, �, urrent, int, ever, ze, ми, And, alse, ther, these, dd, ch, Name, E, AP, I, <unused42>, mun, sto, ustom, ti, Com, hat, @, ort.",What are the soundtrack titles for the Baconator album?,wendys_182
"bo, "">, v, ches, �, urrent, int, ever, ze, ми, And, alse, ther, dd, ch, Name, E, AP, I, <unused42>, mun, sto, work, ustom, ti, Com, hat, @, ort.",pls 🥹,wendys_87
"bo, v, ches, �, urrent, int, ever, ze, ми, And, alse, ther, these, dd, ch, Name, E, AP, I, <unused42>, mun, sto, work, ustom, Com, hat, @, ort.",The burger is tiny but the CUTE FACTOR can comfortably fit a family of four.,wendys_214
"bo, v, ches, �, urrent, int, ever, ze, ми, And, alse, ther, these, dd, ch, Name, E, AP, I, <unused42>, mun, sto, work, ustom, ti, Com, hat, @, ort.",Just chillin’ at our mountainside B&B at the #xgames. Living that #blessed life.,wendys_318
"bo, "">, v, ches, �, urrent, int, ever, ze, ми, And, alse, ther, these, dd, ch, Name, E, AP, I, <unused42>, mun, sto, work, ustom, ti, Com, hat, @, ort.","There’s only one thing better than a shirt, and that’s a shirt with writing on it",wendys_107
"bo, re, v, ches, �, urrent, int, ever, ze, ми, And, alse, ther, these, dd, ch, Name, E, AP, I, <unused42>, mun, sto, ustom, ti, Com, hat, @, ort.",Fine. I’ll go get it.,wendys_74
"bo, re, v, ches, �, urrent, int, ever, ze, ми, And, alse, ther, these, dd, ch, Name, E, AP, I, <unused42>, mun, sto, ustom, ti, Com, hat, @, ort.",Solved it.,wendys_71
"bo, re, v, ches, �, urrent, int, ever, ze, ми, And, alse, ther, these, dd, ch, Name, E, AP, I, <unused42>, mun, sto, ustom, ti, Com, hat, @, ort.",I cannot forget again.,wendys_70
"bo, re, v, ches, �, urrent, int, ever, ze, ми, And, alse, ther, these, dd, ch, Name, E, AP, I, <unused42>, mun, sto, ustom, ti, Com, hat, @, ort.",beat it football head,wendys_278
"bo, v, ches, �, urrent, int, ever, ze, ми, And, alse, ther, these, dd, ch, Name, E, AP, I, <unused42>, mun, sto, work, ustom, ti, Com, hat, @, ort.",FINALLY an easy meal plan!,wendys_255
"bo, re, v, �, urrent, int, ever, ze, ми, And, alse, ther, these, dd, ch, Name, E, AP, I, <unused42>, mun, sto, ustom, ti, Com, hat, @, ort, x.",📸🤨🫵,wendys_40
"bo, re, v, �, urrent, int, ever, ze, ми, And, alse, ther, these, dd, ch, Name, E, AP, I, <unused42>, mun, sto, ustom, Com, hat, @, ort, x.",I AM 👁️AWAKE 👁️,wendys_83
