image_id,overfit,caption,fitCount,gtNum,fluency,diversity,humor_score,humor,b_clip,b_bita,f_bita,f_clip,h_gt,h_bita,h_clip,benign,b_minus,f_minus,h_minus
sonicdrivein_1737,0,we’ re not going to make a big splash.,1,1,0.98111904,0.45042372,0.6766270995140076,1,-5.6720686,-8.002748,0.9657369,0.7502792,0.0277719032019376,0.1619795709848404,0.0443278290331363,-8.05426,-2.382191399999999,0.015382140000000044,0.6322992704808713
sonicdrivein_491,0,"yes, i don't like the idea of a dog.",1,1,0.9727361,0.45042372,0.7221758961677551,1,-5.342836,-8.825123,0.9215853,0.5854877,0.7994069457054138,0.4811142385005951,0.1298711150884628,-0.00077896763,5.3420570323700005,0.05115079999999994,0.5923047810792923
sonicdrivein_1471,0,"when i ask my friend if they’ re going to the mall with me, and she says no.",3,1,0.9522835,0.45042372,0.5812867879867554,1,-7.9909782,-8.652041,0.9722076,0.5367962,0.050406128168106,0.0675219893455505,0.0420710816979408,-7.035314,0.9556642000000002,-0.0199241,0.5392157062888145
sonicdrivein_1566,0,the burger emoji is a food image that can be used for anything.,0,1,0.90775555,0.45042372,0.8044982552528381,1,-8.55507,-0.0018304513,0.9715433,0.9438616,0.131282776594162,0.575920820236206,0.2777903079986572,-0.0009102254,8.5541597746,-0.06378775000000003,0.5267079472541809
sonicdrivein_842,0,"i’ m thinking about the food we ate at this, and i just want to go home.",1,1,0.9577447,0.45042372,0.5896639823913574,1,-7.638525,-8.19264,0.5884317,0.555661,0.0151849193498492,0.4850046932697296,0.0720593556761741,-8.811462,-1.172937000000001,0.369313,0.5176046267151834
sonicdrivein_2189,0,it's not like you can get your kids to go back and forth between the two rooms.,1,1,0.9766663,0.45042372,0.7974228858947754,1,-9.346412,-8.01761,0.9307862,0.66961974,0.2282231897115707,0.1504364013671875,0.2886218726634979,-0.00034469386,9.34606730614,0.04588009999999998,0.5088010132312775
sonicdrivein_344,0,"i love you, because i am the one that always knows what to do and how it does.",1,1,0.9634664,0.45042372,0.8614848852157593,1,-8.510755,-7.557733,0.96992344,0.96806574,0.7516195774078369,0.5257589221000671,0.3630757331848144,-9.354804,-0.844049,-0.006457040000000025,0.4984091520309449
sonicdrivein_478,0,the only thing i can think of is a dog.,0,1,0.9712006,0.45042372,0.5151376128196716,1,-4.216605,-0.3306613,0.8755254,0.87133956,0.237345889210701,0.0567143522202968,0.0266970992088317,-4.966426,-0.7498209999999998,0.09567519999999996,0.48844051361083995
sonicdrivein_470,0,the one i was thinking about.,1,1,0.95541185,0.45042372,0.5235520601272583,1,-8.679799,-9.056454,0.95977324,0.9592779,0.1087986379861831,0.0496494844555854,0.0376093424856662,-9.29924,-0.6194410000000001,-0.0043613900000000205,0.4859427176415921
sonicdrivein_80,0,"i’m not a, i am.",0,1,0.8075063,0.45042372,0.9747712016105652,1,-9.004858,-8.673104,0.96546,0.9223454,0.8493310213088989,0.45451220870018,0.5074371695518494,-7.8860946,1.1187634000000006,-0.15795369999999997,0.4673340320587158
sonicdrivein_1367,0,this meme is the one that makes me want to be an adult.,1,1,0.9744732,0.45042372,0.6246877312660217,1,-6.574854,-1.5033622,0.9338319,0.9051556,0.0456686057150363,0.1930682361125946,0.165970042347908,-0.002783712,6.572070288,0.04064129999999999,0.4587176889181137
sonicdrivein_2052,0,`` i was thinking of you.,0,1,0.96955216,0.45042372,0.8340103626251221,1,-7.46158,-8.172007,0.9712643,0.86952204,0.2700421810150146,0.2353875488042831,0.3767372667789459,-8.630921,-1.169341000000001,-0.0017121399999999731,0.45727309584617615
sonicdrivein_594,0,i’ m not sure if you're gonna like this or what but i am.,0,1,0.9267466,0.45042372,0.4794284701347351,0,-9.609896,-8.711202,0.7924786,0.8693103,0.2308199405670166,0.0634573101997375,0.0222057122737169,-8.246999,1.3628970000000002,0.13426799999999994,0.4572227578610182
sonicdrivein_952,0,the sonic tonics are the only way to keep your smile bright and fresh.,4,1,0.9657607,0.45042372,0.5356340408325195,1,-8.863529,-6.6759233,0.98299855,0.9331194,0.1449362337589264,0.6865145564079285,0.087943784892559,-8.612618,0.25091100000000033,-0.01723785,0.44769025593996054
sonicdrivein_89,0,"the bacon’ s best, and the french fries are our favorite.",1,1,0.953597,0.45042372,0.6662325263023376,1,-9.934838,-9.1817665,0.9717872,0.4806169,0.7973971366882324,0.4676993191242218,0.2253588736057281,-5.8090105,4.125827499999999,-0.018190199999999934,0.44087365269660955
sonicdrivein_135,0,i'm not sure if i can get it but we’ ll see about that.,1,1,0.9604014,0.45042372,0.812522292137146,1,-7.3870935,-9.060414,0.9366332,0.9776793,0.1783893406391143,0.2374216169118881,0.3810611367225647,-8.750168,-1.3630745000000006,0.023768199999999906,0.4314611554145813
sonicdrivein_1102,0,the guy who's not in the room.,3,1,0.95848805,0.45042372,0.7974117398262024,1,-9.603456,-8.978608,0.9618451,0.9607423,0.0440667122602462,0.2899390757083893,0.3686826229095459,-0.0015032907,9.601952709299999,-0.0033570499999999726,0.4287291169166565
sonicdrivein_69,0,"dude, you know what i love to do is eat my food.",0,1,0.9734201,0.45042372,0.658721923828125,1,-7.5514894,-9.138273,0.9462301,0.6075404,0.4633829295635223,0.3135930001735687,0.2342999726533889,-9.571109,-2.0196195999999995,0.027190000000000047,0.42442195117473613
sonicdrivein_1221,0,i’ m gonna ask you to do this for me.,2,1,0.9786411,0.45042372,0.4279120862483978,0,-7.402219,-6.8293233,0.9166955,0.8825461,0.0201681181788444,0.045429166406393,0.0254610776901245,-8.342258,-0.9400389999999996,0.061945600000000045,0.4024510085582733
sonicdrivein_311,0,"it's not about the smell, it is how you feel when your dog walks in.",2,1,0.9726418,0.45042372,0.4480705261230469,0,-6.6293097,-7.537356,0.87452435,0.97142756,0.0358913838863372,0.0217433627694845,0.0528195202350616,-6.267753,0.3615567000000004,0.09811745000000005,0.3952510058879853
sonicdrivein_1849,0,im not here to talk about my mum but i am.,1,1,0.9203115,0.45042372,0.747303307056427,1,-6.633035,-0.0014503208,0.95160973,0.95648044,0.0512617826461792,0.4380767047405243,0.3563835322856903,-8.769904,-2.136869000000001,-0.031298230000000093,0.3909197747707367
sonicdrivein_2078,0,"a, and i am going to get a lot of tips on this.",1,1,0.9505272,0.45042372,0.6111581921577454,1,-8.355968,-9.16094,0.9681425,0.90041316,0.0786281451582908,0.6279332637786865,0.2276586592197418,-8.400574,-0.044605999999999923,-0.0176153,0.38349953293800354
sonicdrivein_791,0,"it’ s not a game, it's just the music.",0,1,0.9563766,0.45042372,0.5281105637550354,1,-7.9373894,-8.291353,0.8850128,0.9430178,0.277299553155899,0.1696384847164154,0.1496037691831588,-0.8812188,7.0561706,0.07136379999999998,0.37850679457187664
sonicdrivein_556,0,"when you see a dog in the wild, it's not like this.",2,1,0.97504133,0.45042372,0.4750504493713379,0,-8.85635,-7.916903,0.67209023,0.96422476,0.0075897979550063,0.0596749223768711,0.1135551035404205,-0.0004191712,8.8559308288,0.30295110000000003,0.36149534583091736
sonicdrivein_655,0,"when you’ re about to make a decision, just say this.",1,1,0.97748905,0.45042372,0.9095994234085084,1,-6.121105,-7.5527225,0.93398595,0.92557496,0.5350160002708435,0.6504597067832947,0.5654076337814331,-8.909285,-2.7881800000000005,0.04350310000000002,0.3441917896270753
sonicdrivein_1623,0,it's like the most dramatic halloween movies ever.,0,1,0.9570659,0.45042372,0.3797100782394409,0,-9.469459,-0.0009371418,0.6319054,0.7534199,0.010031203739345,0.0780116245150566,0.0425868518650531,-5.613356,3.856103000000001,0.3251605000000001,0.3371232263743878
sonicdrivein_877,0,"yes, we’ re going to have a pep rally tomorrow.",0,1,0.9823186,0.45042372,0.357054591178894,0,-7.206455,-8.958186,0.97925055,0.15603608,0.1698112189769745,0.1345543712377548,0.0349674150347709,-9.405261,-2.1988059999999994,0.003068049999999989,0.3220871761441231
sonicdrivein_1254,0,when you get a new phone number and it’ s not what i thought.,2,1,0.88459146,0.45042372,0.4117075800895691,0,-9.351882,-0.149687,0.96807843,0.968305,0.0213539451360702,0.1644656956195831,0.1031924784183502,-8.774835,0.5770470000000003,-0.08348697000000005,0.30851510167121887
sonicdrivein_1138,0,the best way to say hi is a 10-second text message.,2,1,0.97450376,0.45042372,0.3161206841468811,0,-8.904881,-9.12307,0.96181524,0.3578911,0.0058735767379403,0.0246982965618371,0.0100744580850005,-9.191493,-0.28661199999999987,0.012688520000000092,0.3060462260618806
sonicdrivein_614,0,1.,0,1,0.8619599,0.45042372,0.7218126654624939,1,-9.4415,-6.704404,0.95900667,0.9263651,0.3175559043884277,0.428581029176712,0.4210419058799743,-8.208867,1.2326329999999999,-0.09704676999999995,0.3007707595825196
sonicdrivein_1854,0,this was the first time i’ ve seen this in a while.,1,1,0.9589886,0.45042372,0.9004920125007629,1,-8.693384,-8.480675,0.9045398,0.96572965,0.1836131513118744,0.7305841445922852,0.6080999970436096,-8.634343,0.059041000000000565,0.054448799999999964,0.2923920154571533
sonicdrivein_204,0,we’ re going to be here for a while.,0,1,0.9807552,0.45042372,0.6372818350791931,1,-7.2818336,-0.0016175532,0.9052976,0.95720404,0.1366294920444488,0.1303926557302475,0.3538612127304077,-8.028558,-0.7467244000000006,0.07545760000000001,0.2834206223487854
sonicdrivein_789,0,a car in the front is about 30 feet from us.,0,1,0.94469774,0.45042372,0.3479460775852203,0,-1.5778583,-7.889554,0.9719734,0.88991994,0.0245295688509941,0.0891463384032249,0.0659482777118682,-0.00070296845,1.57715533155,-0.027275660000000035,0.28199779987335205
sonicdrivein_414,0,it’ s the only thing that makes me want to eat ice cream.,0,1,0.9721128,0.45042372,0.909021258354187,1,-9.456612,-7.7652035,0.89597267,0.90917975,0.8337199091911316,0.8067115545272827,0.6366352438926697,-8.7947645,0.6618475000000004,0.07614012999999997,0.27238601446151733
sonicdrivein_543,0,it’ s my first bite of pizza i've had in a while.,1,1,0.97046834,0.45042372,0.6102741360664368,1,-9.686949,-8.564346,0.9301241,0.9779595,0.1035859286785125,0.2138892114162445,0.3538416028022766,-9.008433,0.6785160000000001,0.04034424000000003,0.25643253326416016
sonicdrivein_486,0,i got a new job.,1,1,0.9846868,0.45042372,0.665647029876709,1,-8.493552,-8.687699,0.9809372,0.87128913,0.5391566157341003,0.4408565461635589,0.4138891398906708,-9.513898,-1.020346,0.0037496000000000196,0.2517578899860382
sonicdrivein_316,0,"when you get a coke and an ice cream sandwich, just call it the frickin' milkshake# mtnroll pic.",1,1,0.90346086,0.45042372,0.6171862483024597,1,-9.087227,-8.701866,0.89077705,0.97828615,0.2876799404621124,0.4419590532779693,0.3670053780078888,-9.669794,-0.5825669999999992,0.012683810000000073,0.2501808702945709
sonicdrivein_1666,0,the # atos robot is coming to the us.,0,1,0.93161756,0.45042372,0.2814634144306183,0,-6.98322,-7.859708,0.944193,0.95253736,0.0407729037106037,0.3755115568637848,0.0349070839583873,-0.0020153467,6.9812046533,-0.012575439999999993,0.246556330472231
sonicdrivein_1778,0,the following is what i think the's are thinking about when they see their burgers.,1,1,0.9652672,0.45042372,0.2776582241058349,0,-7.767277,-7.276803,0.9520491,0.35678694,0.0198991131037473,0.2944861054420471,0.0336999967694282,-9.189754,-1.4224770000000007,0.01321810000000001,0.2439582273364067
sonicdrivein_1729,0,"it’ s like, “ we don' t know what it is.",0,1,0.7099312,0.45042372,0.6791969537734985,1,-8.962257,-9.056177,0.9084001,0.88522744,0.0618003234267234,0.4008290767669678,0.4565754234790802,-6.8736606,2.0885963999999992,-0.19846890000000006,0.22262153029441833
sonicdrivein_1459,0,"and then i saw this mic on the floor, so we just 'll keep it up.",1,1,0.9533696,0.45042372,0.2276974022388458,0,-8.493217,-9.0446,0.9503349,0.9149175,0.0222797766327857,0.2557293474674225,0.0143970251083374,-9.105493,-0.6122759999999996,0.003034700000000057,0.2133003771305084
sonicdrivein_780,0,a's the one who gets to eat all of it.,0,1,0.95108134,0.45042372,0.913853645324707,1,-8.033701,-9.414882,0.96706676,0.9761378,0.6449217200279236,0.4800138175487518,0.7020963430404663,-8.163278,-0.1295769999999994,-0.015985420000000028,0.21175730228424072
sonicdrivein_1084,0,we’ re here to show you how we think.,1,1,0.97264683,0.45042372,0.2900778353214264,0,-5.9895372,-8.456084,0.97021896,0.7757729,0.0373725593090057,0.1251225620508194,0.0820814371109008,-8.405059,-2.4155217999999996,0.0024278699999999986,0.2079963982105256
sonicdrivein_926,0,we don't know if we can do this.,0,1,0.97929037,0.45042372,0.2427489608526229,0,-8.454034,-9.492057,0.9539705,0.9700075,0.0271035451442003,0.0516902431845665,0.0616247989237308,-8.415972,0.03806200000000004,0.02531986999999991,0.1811241619288921
sonicdrivein_1197,0,the best way to get rid of a lot's trash is by putting it in the dumpster.,2,1,0.98026705,0.45042372,0.357437402009964,0,-9.047859,-9.806065,0.9358769,0.96624595,0.0396112240850925,0.0689755231142044,0.1802882403135299,-8.099545,0.9483139999999999,0.04439015000000002,0.17714916169643408
sonicdrivein_1635,0,this is the best thing i’ve ever made.,1,1,0.95840913,0.45042372,0.3206913471221924,0,-9.658383,-8.868226,0.9491299,0.9465282,0.0085073001682758,0.057046603411436,0.1465494036674499,-8.552168,1.1062150000000006,0.009279230000000083,0.1741419434547425
