image_id,caption,human_ins,human_humor,human_related,overfit,fitCount,gtNum,fluency,diversity,bleu1,bleu2,bleu3,bleu4,humor_score,humor,benign,b_clip,b_bita,f_bita,f_clip
sonicdrivein_283,"a little bit of a, just like you’ re going to eat it.",0,0,0,-1,1,1,0.8684381,0.42719504,0.0769230769230769,2.2250738585072617e-308,2.2250738585072617e-308,2.2250738585072617e-308,0.528834879398346,1,-8.395908,-0.00016378015,-7.9436107,0.97627175,0.80842483
sonicdrivein_531,the # @ gandals best in the world.,0,0,0,-1,2,1,0.5080552,0.42719504,0.125,2.2250738585072617e-308,2.2250738585072617e-308,2.2250738585072617e-308,0.5621776580810547,1,-0.03551397,-0.0007808735,-7.9025474,0.93474174,0.8080332
sonicdrivein_376,1 / 25 is the last day of school.,0,0,0,-1,1,1,0.95010823,0.42719504,0.111111111111111,2.2250738585072617e-308,2.2250738585072617e-308,2.2250738585072617e-308,0.9277967810630798,1,-8.977318,-9.345364,-8.366299,0.9683667,0.97655576
sonicdrivein_1452,"i’ m just going to say, “ the only way i can get a job is if you have this.",1,1,1,2,2,1,0.96947,0.42719504,0.1,2.2250738585072617e-308,2.2250738585072617e-308,2.2250738585072617e-308,0.5982113480567932,1,-8.586439,-8.03913,-8.927256,0.9689326,0.9818486
sonicdrivein_1919,the # icecreamfight is coming up on monday night.,1,1,1,0,0,1,0.96541315,0.42719504,0.0,0.0,0.0,0.0,0.0097967917099595,0,-9.470269,-8.151691,-8.387656,0.9365183,0.9571627
sonicdrivein_2209,when you see a friend or family member who is out of breath and running around the mall with their phone in hand.,0,0,0,-1,2,1,0.9607683,0.42719504,0.0869565217391304,2.2250738585072617e-308,2.2250738585072617e-308,2.2250738585072617e-308,0.7446737289428711,1,-8.304185,-2.407987,-5.049559,0.9766117,0.8464924
sonicdrivein_470,the one i was thinking about.,0,1,1,2,1,1,0.95541185,0.42719504,0.1010884432854389,1.3495755153097447e-308,1.3495755153097447e-308,1.3495755153097447e-308,0.5729233026504517,1,-9.29924,-8.679799,-9.056454,0.95977324,0.9592779
sonicdrivein_1884,i got this.,0,0,0,-1,0,1,0.9652667,0.42719504,0.0,0.0,0.0,0.0,0.5903553366661072,1,-8.678528,-0.06566938,-9.132108,0.95154744,0.75395286
sonicdrivein_952,the sonic tonics are the only way to keep your smile bright and fresh.,1,1,0,2,4,1,0.9657607,0.42719504,0.0202907959325448,2.106930914564517e-309,2.106930914564517e-309,2.106930914564517e-309,0.5579577684402466,1,-8.612618,-8.863529,-6.6759233,0.98299855,0.9331194
sonicdrivein_1176,1.,0,0,0,1,0,1,0.8619599,0.42719504,0.0,0.0,0.0,0.0,0.7823749780654907,1,-8.072624,-9.027199,-7.826071,0.89147455,0.8977077
sonicdrivein_1666,the # atos robot is coming to the us.,0,0,0,-1,0,1,0.93161756,0.42719504,0.0,0.0,0.0,0.0,0.0268737152218818,0,-0.0020153467,-6.98322,-7.859708,0.944193,0.95253736
sonicdrivein_1765,"for # shakespeare’ s birthday, we were thinking of a lil bit more serious.",1,1,1,2,1,1,0.5744604,0.42719504,0.0403370087148399,1.25653953070478e-308,1.25653953070478e-308,1.25653953070478e-308,0.0546285510063171,0,-7.770624,-8.974885,-8.615779,0.96146137,0.97300017
sonicdrivein_1755,"this is the perfect recipe for a healthy, delicious and satisfying breakfast.",0,1,1,2,3,1,0.9715547,0.42719504,0.0999624135862118,8.89695013215885e-309,8.89695013215885e-309,8.89695013215885e-309,0.5311063528060913,1,-8.931434,-7.7686515,-8.605178,0.9735246,0.97124016
sonicdrivein_1774,"when i asked my mom if she wanted to buy a new pair of shoes, her reply was `` no.",0,0,1,0,2,1,0.95964,0.42719504,0.0818730753077982,1.8217363958297824e-308,1.8217363958297824e-308,1.8217363958297824e-308,0.3617374002933502,0,-8.8398285,-0.00044800734,-8.753961,0.97352284,0.9373292
sonicdrivein_1029,what are you thinking about the new # tuckeejam this year? it’ s not just for a few days.,0,0,0,-1,1,1,0.9121802,0.42719504,0.0526315789473684,2.2250738585072617e-308,2.2250738585072617e-308,2.2250738585072617e-308,0.365496426820755,0,-3.380475,-8.065754,-8.867893,0.94611764,0.97774
sonicdrivein_1998,"a little bit of this, a lot more with that.",0,0,0,-1,0,1,0.18753903,0.42719504,0.0,0.0,0.0,0.0,0.5039399862289429,1,-9.102894,-0.8617411,-9.333666,0.9825586,0.901576
sonicdrivein_316,"when you get a coke and an ice cream sandwich, just call it the frickin' milkshake# mtnroll pic.",1,1,0,0,1,1,0.90346086,0.42719504,0.0555555555555555,2.2250738585072617e-308,2.2250738585072617e-308,2.2250738585072617e-308,0.6484213471412659,1,-9.669794,-9.087227,-8.701866,0.89077705,0.97828615
sonicdrivein_1167,"what do you think?, it’ s the same thing we get for our annual birthday party.",0,0,0,-1,1,1,0.9226041,0.42719504,0.0551560564115372,1.9636207881546135e-308,1.9636207881546135e-308,1.9636207881546135e-308,0.1190321743488311,0,-7.2876573,-8.311546,-0.638014,0.9723193,0.9694467
sonicdrivein_2168,"you know, we’ re going to be the best thing since sliced bread.",0,1,1,2,1,1,0.8696679,0.42719504,0.0415717689605026,1.2025033327569346e-308,1.2025033327569346e-308,1.2025033327569346e-308,0.7171481847763062,1,-9.44861,-6.33964,-8.52523,0.9766898,0.4715288
sonicdrivein_1518,"if you’ re not already there, i'm here for the cherry coke.",1,0,0,-1,1,1,0.9642548,0.42719504,0.0016589451731444,4.4295306449527e-310,4.4295306449527e-310,4.4295306449527e-310,0.4536802768707275,0,-9.224786,-6.57978,-9.190177,0.9761801,0.8844599
sonicdrivein_1749,"i love you, my friend.",0,0,0,-1,0,1,0.9762695,0.42719504,0.0,0.0,0.0,0.0,0.71708083152771,1,-8.978643,-1.6565735,-8.866283,0.97615904,0.89024436
sonicdrivein_1639,"we’ re not talking about a dog, we're talkin baby dogs.",0,1,0,0,0,1,0.93695825,0.42719504,0.0,0.0,0.0,0.0,0.6912919282913208,1,-0.0072531477,-6.3651533,-2.5012703,0.9637087,0.94954866
sonicdrivein_566,this is the time of year when we get our waters out for all.,0,0,0,-1,1,1,0.9641399,0.42719504,0.0714285714285714,2.2250738585072617e-308,2.2250738585072617e-308,2.2250738585072617e-308,0.9032827615737916,1,-8.042487,-6.118685,-8.727539,0.8557574,0.5795651
sonicdrivein_1582,you know what i’ m going to do? </s> you don.,0,0,0,-1,3,1,0.97240067,0.42719504,0.0668871711220804,8.18558927632837e-309,8.18558927632837e-309,8.18558927632837e-309,0.5885719060897827,1,-7.671471,-7.506545,-8.037345,0.9077751,0.9534173
sonicdrivein_1102,the guy who's not in the room.,0,0,0,-1,3,1,0.95848805,0.42719504,0.0142248766765325,0.0082978447279773,1.10779904317048e-309,1.10779904317048e-309,0.6299775838851929,1,-0.0015032907,-9.603456,-8.978608,0.9618451,0.9607423
sonicdrivein_742,"the day after today's birthday party, we got a new dog.",0,0,0,-1,1,1,0.98136055,0.42719504,0.0909090909090909,2.2250738585072617e-308,2.2250738585072617e-308,2.2250738585072617e-308,0.6438618302345276,1,-0.0020845844,-7.8248973,-0.05037412,0.80633146,0.9433647
sonicdrivein_1084,we’ re here to show you how we think.,0,0,0,0,1,1,0.97264683,0.42719504,0.0570463465591768,1.142391010069532e-308,1.142391010069532e-308,1.142391010069532e-308,0.6328949928283691,1,-8.405059,-5.9895372,-8.456084,0.97021896,0.7757729
sonicdrivein_423,🤷's your turn to be the one that gets me up in a day.,0,1,1,0,0,1,0.7287428,0.42719504,0.0,0.0,0.0,0.0,0.2604992985725403,0,-8.842422,-8.169597,-2.6558645,0.9759312,0.5942483
sonicdrivein_690,"the red- berry, the cherry.",1,0,0,-1,0,1,0.61152166,0.42719504,0.0,0.0,0.0,0.0,0.7187875509262085,1,-0.0056700585,-9.03135,-9.450677,0.92704993,0.90417606
sonicdrivein_2087,this is what the i have to eat with a sandwich# food truck for 20 people.,0,0,0,-1,1,1,0.08516426,0.42719504,0.0587133164258422,2.090263448406506e-308,2.090263448406506e-308,2.090263448406506e-308,0.9268327951431274,1,-7.5457263,-9.071838,-7.943587,0.9360334,0.7173989
sonicdrivein_1797,and i’ m # what you want to know.,0,0,1,0,1,1,0.62463415,0.42719504,0.0009349641654667,1.8723278908991e-310,1.8723278908991e-310,1.8723278908991e-310,0.3397396504878998,0,-5.8376126,-0.0007384672,-6.112982,0.8912871,0.9195207
sonicdrivein_788,"it's not just the smell of a dog’ s breath mint, it is so much better! and we can hear your voice on our app.",0,0,0,-1,1,1,0.9407813,0.42719504,0.04,2.2250738585072617e-308,2.2250738585072617e-308,2.2250738585072617e-308,0.0153163475915789,0,-9.201958,-7.8803105,-8.907169,0.78702,0.979714
sonicdrivein_1471,"when i ask my friend if they’ re going to the mall with me, and she says no.",0,0,0,-1,3,1,0.9522835,0.42719504,0.141080287481769,1.8834843577582417e-308,1.8834843577582417e-308,1.8834843577582417e-308,0.675935685634613,1,-7.035314,-7.9909782,-8.652041,0.9722076,0.5367962
sonicdrivein_899,"when you see this, just know that it is the best thing ever.",0,0,1,0,2,1,0.9608725,0.42719504,0.0897916120220883,0.0486371231786311,1.2986542960532383e-308,1.2986542960532383e-308,0.5494977831840515,1,-9.3772955,-6.3615313,-0.07996868,0.77053183,0.84232104
sonicdrivein_344,"i love you, because i am the one that always knows what to do and how it does.",0,0,0,-1,1,1,0.9634664,0.42719504,0.0555555555555555,2.2250738585072617e-308,2.2250738585072617e-308,2.2250738585072617e-308,0.841524064540863,1,-9.354804,-8.510755,-7.557733,0.96992344,0.96806574
sonicdrivein_543,it’ s my first bite of pizza i've had in a while.,0,1,0,0,1,1,0.97046834,0.42719504,0.0465029288141705,1.2416694149812216e-308,1.2416694149812216e-308,1.2416694149812216e-308,0.616810142993927,1,-9.008433,-9.686949,-8.564346,0.9301241,0.9779595
sonicdrivein_1077,"and you? :m and that’s a question we have to ask ourselves every day! it seems like everyone has their own little unicorn in the app store, so why not mine?!#youallhaveyourunicorns@thejokefactory 🤩🤪😊👌🏻🦄🙏🏽🌈😂🐾💕",0,0,0,-1,2,1,0.82813454,0.42719504,0.0625,2.2250738585072617e-308,2.2250738585072617e-308,2.2250738585072617e-308,0.2032389938831329,0,-0.0006400682,-9.289899,-8.886791,0.9597331,0.73712695
sonicdrivein_917,"we’ re all, and we just want to know what you think.",0,0,0,-1,2,1,0.9695294,0.42719504,0.0371883600247383,4.9648108639081e-309,4.9648108639081e-309,4.9648108639081e-309,0.5326915383338928,1,-8.119241,-0.03932395,-7.4207706,0.9465963,0.83395
sonicdrivein_1197,the best way to get rid of a lot's trash is by putting it in the dumpster.,0,0,0,-1,2,1,0.98026705,0.42719504,0.1176470588235294,2.2250738585072617e-308,2.2250738585072617e-308,2.2250738585072617e-308,0.3715706169605255,0,-8.099545,-9.047859,-9.806065,0.9358769,0.96624595
sonicdrivein_1022,an's that you can order on the same day and get a discount.,1,0,0,-1,4,1,0.68463635,0.42719504,0.2442838947132157,1.7665365515873297e-308,1.7665365515873297e-308,1.7665365515873297e-308,0.8891259431838989,1,-8.194616,-5.072174,-0.0012667497,0.9594202,0.8224969
sonicdrivein_491,"yes, i don't like the idea of a dog.",0,0,0,-1,1,1,0.9727361,0.42719504,0.111111111111111,2.2250738585072617e-308,2.2250738585072617e-308,2.2250738585072617e-308,0.9014542698860168,1,-0.00077896763,-5.342836,-8.825123,0.9215853,0.5854877
sonicdrivein_655,"when you’ re about to make a decision, just say this.",0,1,1,2,1,1,0.97748905,0.42719504,0.0909090909090909,2.2250738585072617e-308,2.2250738585072617e-308,2.2250738585072617e-308,0.9552592039108276,1,-8.909285,-6.121105,-7.5527225,0.93398595,0.92557496
sonicdrivein_753,"no, no.",0,0,0,0,0,1,0.9106942,0.42719504,0.0,0.0,0.0,0.0,0.5222340822219849,1,-6.521898,-3.1593444,-7.476687,0.9052976,0.9655159
sonicdrivein_1120,"a friend of mine who’ s a bit crazier than me, and i'm not sure if they like this meme.",0,0,0,-1,0,1,0.8961218,0.42719504,0.0,0.0,0.0,0.0,0.0684141814708709,0,-8.2126465,-4.8042083,-9.079705,0.96699476,0.43264273
sonicdrivein_486,i got a new job.,0,0,1,0,1,1,0.9846868,0.42719504,0.0898657928234443,9.997901319273777e-309,9.997901319273777e-309,9.997901319273777e-309,0.6201006770133972,1,-9.513898,-8.493552,-8.687699,0.9809372,0.87128913
sonicdrivein_1692,the dog’ s food.,0,0,0,-1,0,1,0.7354105,0.42719504,0.0,0.0,0.0,0.0,0.5619370341300964,1,-9.026811,-9.360502,-9.102555,0.97301733,0.9844936
sonicdrivein_1778,the following is what i think the's are thinking about when they see their burgers.,1,0,0,0,1,1,0.9652672,0.42719504,0.0365874424062684,1.221146424717419e-308,1.221146424717419e-308,1.221146424717419e-308,0.1329446882009506,0,-9.189754,-7.767277,-7.276803,0.9520491,0.35678694
sonicdrivein_997,you can grill it for 2 hours and then freeze the whole thing.,0,0,0,-1,3,1,0.9224164,0.42719504,0.018227959867922,1.75753746982809e-309,1.75753746982809e-309,1.75753746982809e-309,0.3376096487045288,0,-0.25635734,-0.0014849599,-9.430615,0.9759754,0.94917655
sonicdrivein_1944,it’ s a thing.,0,0,0,-1,0,1,0.9109249,0.42719504,0.0,0.0,0.0,0.0,0.7011582255363464,1,-8.958246,-0.0008886679,-0.0010075261,0.81005615,0.951076
sonicdrivein_1069,when we’ re not watching the tv show “ how to make it” and our son gets his own house.,0,0,0,-1,1,1,0.72979486,0.42719504,0.05,2.2250738585072617e-308,2.2250738585072617e-308,2.2250738585072617e-308,0.2794651389122009,0,-1.6186838,-0.0009028411,-8.240567,0.9551269,0.9344756
sonicdrivein_2181,"when i was 16 and my mom told me to go get a dog, he said.",1,1,1,2,2,1,0.96304506,0.42719504,0.125,2.2250738585072617e-308,2.2250738585072617e-308,2.2250738585072617e-308,0.5227832198143005,1,-0.0009155849,-6.1025996,-1.0424052,0.86411864,0.97704846
sonicdrivein_2080,i’ m going to be buying a new phone.,0,0,0,-1,2,1,0.9802412,0.42719504,0.0817509869269871,8.18558927632837e-309,8.18558927632837e-309,8.18558927632837e-309,0.7578427791595459,1,-0.600161,-9.413302,-9.171104,0.96752834,0.7295657
sonicdrivein_1795,"when we got to the mall, i was so confused.",0,0,0,-1,2,1,0.9693505,0.42719504,0.0330597776443173,3.678022350221663e-309,3.678022350221663e-309,3.678022350221663e-309,0.6307653784751892,1,-9.049508,-0.003101541,-7.218755,0.910848,0.91743726
sonicdrivein_1635,this is the best thing i’ve ever made.,0,0,0,-1,1,1,0.95840913,0.42719504,0.0001658475538783,2.9521844530573e-311,2.9521844530573e-311,2.9521844530573e-311,0.5882395505905151,1,-8.552168,-9.658383,-8.868226,0.9491299,0.9465282
sonicdrivein_1199,"when the ice cream is gone, i'll be able to get a good deal on ""sour cherries and vanilla swirl"". this isn't my first time making sour cherry sundaes.",0,0,0,-1,1,1,0.95460045,0.42719504,0.0344827586206896,2.2250738585072617e-308,2.2250738585072617e-308,2.2250738585072617e-308,0.4878731369972229,0,-0.0061895824,-0.0027341386,-8.504925,0.9715623,0.8368568
sonicdrivein_807,a lot of it.,0,0,0,-1,1,1,0.6457876,0.42719504,0.0124467670919659,1.10779904317048e-309,1.10779904317048e-309,1.10779904317048e-309,0.519280731678009,1,-8.830868,-9.140787,-8.837183,0.9732064,0.96891654
sonicdrivein_290,"yes, we have a # sweet-and more! so make sure to like it and share this post with your friends.",0,0,0,-1,2,1,0.9088235,0.42719504,0.1,2.2250738585072617e-308,2.2250738585072617e-308,2.2250738585072617e-308,0.4080386161804199,0,-8.933948,-8.293055,-8.881895,0.7318799,0.1467209
sonicdrivein_2095,i'm not gonna do it.,0,0,0,-1,0,1,0.97327834,0.42719504,0.0,0.0,0.0,0.0,0.6236095428466797,1,-8.987202,-7.1911097,-6.9800873,0.95640326,0.71675116
sonicdrivein_2138,"when it comes to the food, we’ ll be more selective.",0,0,1,0,1,1,0.96977925,0.42719504,0.0254606146201498,6.231692281410567e-309,6.231692281410567e-309,6.231692281410567e-309,0.8363160490989685,1,-9.283676,-8.897485,-0.0004491989,0.80629766,0.9752289
sonicdrivein_759,1.,0,0,0,1,0,1,0.8619599,0.42719504,0.0,0.0,0.0,0.0,0.8298560976982117,1,-8.2130375,-7.5915017,-9.003873,0.9437478,0.9585945
sonicdrivein_454,"you know, i’ m not going to be able t do this.",0,1,1,2,0,1,0.97650766,0.42719504,0.0,0.0,0.0,0.0,0.7600175738334656,1,-8.5159235,-0.049627073,-8.649438,0.9073134,0.5349525
sonicdrivein_69,"dude, you know what i love to do is eat my food.",0,0,1,0,0,1,0.9734201,0.42719504,0.0,0.0,0.0,0.0,0.6315298080444336,1,-9.571109,-7.5514894,-9.138273,0.9462301,0.6075404
sonicdrivein_1946,"when you’ re hungry and need a little something to munch on, this # sandwichbag is the perfect pick me up.",1,0,0,-1,2,1,0.7068493,0.42719504,0.0952380952380952,2.2250738585072617e-308,2.2250738585072617e-308,2.2250738585072617e-308,0.0970858782529831,0,-4.8657527,-9.473077,-9.795329,0.96262854,0.3045707
sonicdrivein_2200,what do you think of this? we’ re talking the first video game with a mic.,0,1,0,-1,2,1,0.93279314,0.42719504,0.125,2.2250738585072617e-308,2.2250738585072617e-308,2.2250738585072617e-308,0.1563020348548889,0,-8.317844,-0.05787831,-8.677289,0.9426441,0.9655362
sonicdrivein_2091,i'm not a robot.,0,0,0,-1,1,1,0.9716315,0.42719504,0.0096935519579305,8.6275476230692e-310,8.6275476230692e-310,8.6275476230692e-310,0.9445589184761048,1,-9.553589,-8.663728,-5.5340195,0.9734274,0.9450822
sonicdrivein_1054,1.,0,0,0,1,0,1,0.8619599,0.42719504,0.0,0.0,0.0,0.0,0.7492353916168213,1,-8.0850935,-8.582595,-7.8542776,0.9567037,0.89675957
sonicdrivein_1138,the best way to say hi is a 10-second text message.,0,0,0,-1,2,1,0.97450376,0.42719504,0.0387663515117203,4.74418974361379e-309,4.74418974361379e-309,4.74418974361379e-309,0.6546839475631714,1,-9.191493,-8.904881,-9.12307,0.96181524,0.3578911
sonicdrivein_1938,it’ s all about the same as a big bowl of ice cream.,0,0,0,-1,0,1,0.9419558,0.42719504,0.0,0.0,0.0,0.0,0.4444891810417175,0,-9.404202,-7.8861747,-9.573443,0.9497332,0.96288675
sonicdrivein_1623,it's like the most dramatic halloween movies ever.,0,0,0,-1,0,1,0.9570659,0.42719504,0.0,0.0,0.0,0.0,0.5431467890739441,1,-5.613356,-9.469459,-0.0009371418,0.6319054,0.7534199
sonicdrivein_308,10/25 is a day to get your butt in the car.,0,0,0,-1,2,1,0.9322947,0.42719504,0.0130220431753642,1.59362543196208e-309,1.59362543196208e-309,1.59362543196208e-309,0.6814107894897461,1,-8.719455,-9.448942,-8.9455185,0.97130877,0.9670952
sonicdrivein_1660,"♫ '' the day after my birthday, i'm gonna get a little something.",0,0,0,-1,2,1,0.9408383,0.42719504,0.0897916120220883,1.2986542960532383e-308,1.2986542960532383e-308,1.2986542960532383e-308,0.5732819437980652,1,-8.578967,-0.0008412636,-7.2555456,0.94857615,0.9751105
sonicdrivein_234,what are you thinking about? i'm the one who always wears this: .,0,0,0,-1,1,1,0.899044,0.42719504,0.0769230769230769,2.2250738585072617e-308,2.2250738585072617e-308,2.2250738585072617e-308,0.92333984375,1,-6.604521,-9.631803,-9.936812,0.9825727,0.96398497
sonicdrivein_877,"yes, we’ re going to have a pep rally tomorrow.",0,0,0,-1,0,1,0.9823186,0.42719504,0.0,0.0,0.0,0.0,0.7465989589691162,1,-9.405261,-7.206455,-8.958186,0.97925055,0.15603608
sonicdrivein_2078,"a, and i am going to get a lot of tips on this.",0,0,0,-1,1,1,0.9505272,0.42719504,0.0484856297382092,1.402493394168772e-308,1.402493394168772e-308,1.402493394168772e-308,0.8830763697624207,1,-8.400574,-8.355968,-9.16094,0.9681425,0.90041316
sonicdrivein_2196,"it’ s the end of our special, so here are some ideas for your next month.",0,0,0,-1,1,1,0.9516151,0.42719504,0.0587133164258422,2.090263448406506e-308,2.090263448406506e-308,2.090263448406506e-308,0.5103263854980469,1,-0.0043686433,-8.250505,-8.31252,0.96744686,0.6323558
sonicdrivein_1090,the new diet is here.,0,0,0,-1,0,1,0.968765,0.42719504,0.0,0.0,0.0,0.0,0.1091389879584312,0,-9.536995,-9.181762,-9.170115,0.95917577,0.97309923
sonicdrivein_556,"when you see a dog in the wild, it's not like this.",0,0,0,-1,2,1,0.97504133,0.42719504,0.056410904184457,7.531105694135595e-309,7.531105694135595e-309,7.531105694135595e-309,0.5791108012199402,1,-0.0004191712,-8.85635,-7.916903,0.67209023,0.96422476
sonicdrivein_1164,when the munchkin is all grown up and they're playing this game.,0,0,0,-1,1,1,0.93503505,0.42719504,0.0393638793950845,1.051050468137224e-308,1.051050468137224e-308,1.051050468137224e-308,0.5593482851982117,1,-7.7532644,-0.19705664,-8.52851,0.9730392,0.92439824
sonicdrivein_780,a's the one who gets to eat all of it.,0,0,0,-1,0,1,0.95108134,0.42719504,0.0,0.0,0.0,0.0,0.8959906101226807,1,-8.163278,-8.033701,-9.414882,0.96706676,0.9761378
sonicdrivein_414,it’ s the only thing that makes me want to eat ice cream.,0,0,0,-1,0,1,0.9721128,0.42719504,0.0,0.0,0.0,0.0,0.7573664784431458,1,-8.7947645,-9.456612,-7.7652035,0.89597267,0.90917975
sonicdrivein_496,the new iphone 12.,0,0,0,-1,0,1,0.905399,0.42719504,0.0,0.0,0.0,0.0,0.4487738311290741,0,-0.03404831,-7.9495044,-7.5873036,0.9224318,0.97912496
sonicdrivein_1935,"i’ m not sure if i can do this, but we might be able to.",0,0,0,-1,0,1,0.9789216,0.42719504,0.0,0.0,0.0,0.0,0.5849767923355103,1,-8.082514,-8.107838,-7.4239216,0.9358718,0.67369795
sonicdrivein_1729,"it’ s like, “ we don' t know what it is.",0,0,0,-1,0,1,0.7099312,0.42719504,0.0,0.0,0.0,0.0,0.3865935802459717,0,-6.8736606,-8.962257,-9.056177,0.9084001,0.88522744
sonicdrivein_558,my favorite way to say hi is @ jacksepticeyes# yourbirthday pic.,0,0,0,-1,1,1,0.9611203,0.42719504,0.0909090909090909,2.2250738585072617e-308,2.2250738585072617e-308,2.2250738585072617e-308,0.6763999462127686,1,-8.98845,-8.6532,-9.292603,0.9470098,0.8384574
sonicdrivein_529,"for the first time in 3 years, we got this.",0,1,1,2,0,1,0.96257454,0.42719504,0.0,0.0,0.0,0.0,0.9288323521614076,1,-8.627741,-9.546262,-7.1935744,0.9751595,0.97928876
sonicdrivein_621,you’ re not sure what you want to do.,0,0,0,-1,0,1,0.982735,0.42719504,0.0,0.0,0.0,0.0,0.7213931083679199,1,-7.928814,-0.0011139861,-8.511497,0.9775775,0.9538605
sonicdrivein_2147,i'm not going to eat it.,0,0,0,-1,0,1,0.9775423,0.42719504,0.0,0.0,0.0,0.0,0.6725202798843384,1,-8.897682,-0.0021484643,-8.802032,0.96822864,0.5456247
sonicdrivein_1258,"i'm gonna be the first to say, u know what i mean.",0,0,0,-1,1,1,0.9255281,0.42719504,0.0001480086288111,3.9519615696156e-311,3.9519615696156e-311,3.9519615696156e-311,0.231134608387947,0,-8.50564,-0.018484244,-8.954429,0.5680711,0.45405295
sonicdrivein_1780,"i love this! i just can’ t believe it was a vegan burger, but they are still the best.",1,0,1,0,1,1,0.9553161,0.42719504,0.0097679417505762,4.129534449719506e-309,4.129534449719506e-309,4.129534449719506e-309,0.0203066058456897,0,-8.372412,-0.00078563817,-8.303804,0.955617,0.81958544
sonicdrivein_2208,i love you and i'm here for the best of them all.,0,0,0,-1,1,1,0.96438694,0.42719504,0.0833333333333333,2.2250738585072617e-308,2.2250738585072617e-308,2.2250738585072617e-308,0.8949205875396729,1,-8.911115,-0.0999131,-1.1012907,0.9692308,0.947323
sonicdrivein_1163,"you know, when you’ re not in the mood for a hot dog and french fries but something else.",1,0,0,-1,3,1,0.9326852,0.42719504,0.1497993915815426,2.110993164779763e-308,2.110993164779763e-308,2.110993164779763e-308,0.1803159862756729,0,-7.634034,-7.9057384,-8.22446,0.9425124,0.79497945
sonicdrivein_960,"i’ m not a fan of this, but i am.",0,0,0,-1,1,1,0.97869724,0.42719504,0.0606530659712633,1.3495755153097447e-308,1.3495755153097447e-308,1.3495755153097447e-308,0.5289873480796814,1,-8.795745,-0.10786936,-8.736451,0.97270447,0.9697224
sonicdrivein_850,"when you’ re not sure what to do, just take a look at all the options and choose your own.",0,0,0,-1,1,1,0.9734535,0.42719504,0.05,2.2250738585072617e-308,2.2250738585072617e-308,2.2250738585072617e-308,0.1775242388248443,0,-9.551106,-8.710139,-8.526714,0.9738347,0.9571834
