image_id,caption,fluency,diversity,benign,humor_score,humor
mcdonalds_switzerland_163,"when i wake up in the middle of the night to check if my kids are ok, i go to sleep",0.98238105,0.43945664,-9.314761,0.4725305438041687,0
mcdonalds_switzerland_181,where is your favorite place to order a mcdonald 's big mac? let us know in the comments below,0.8585195,0.43945664,-0.0014003243,0.0654371380805969,0
mcdonalds_switzerland_737,are you ready for some mcdonald 's fries? i ' m sure you ' re not and i ',0.9184866,0.43945664,-9.533354,0.5613610744476318,0
mcdonalds_switzerland_654,it 's ok to like something that 's not cool it 's ok to like something that 's,0.89297265,0.43945664,-9.552027,0.845447838306427,1
mcdonalds_switzerland_721,i 'm a little bit nervous about ordering a meal from mcdonald 's but at least i 'm,0.9222871,0.43945664,-8.417582,0.8997365236282349,1
mcdonalds_switzerland_725,"do you know the taste of the mcdonald 's big mac? well, there 's nothing like it",0.94373727,0.43945664,-9.332954,0.0303674880415201,0
mcdonalds_switzerland_769,when it comes to choosing between the mcdonald 's chicken mcnuggets and the christmas tree which one,0.78847134,0.43945664,-7.7587233,0.8105733394622803,1
mcdonalds_switzerland_904,"when the mcdonald 's fries are removed, it 's not the end of the mcdonald 's",0.9086848,0.43945664,-9.013346,0.8746310472488403,1
mcdonalds_switzerland_409,"if you lose your burger, what will you find in its place? i 've lost my burger, but",0.97816706,0.43945664,-8.922691,0.1228662952780723,0
mcdonalds_switzerland_234,"even if you 're not in the mood for a sweet treat, we all know that it 's time",0.98366135,0.43945664,-9.080438,0.1632115095853805,0
mcdonalds_switzerland_402,"i 'm sure that many of you will have already seen this photo, and if you 're one of",0.88941365,0.43945664,-8.986293,0.1557156890630722,0
mcdonalds_switzerland_410,"when you were a kid and you looked at the toys in the store and you thought, `` oh my g",0.9173793,0.43945664,-5.9960475e-05,0.6681436896324158,1
mcdonalds_switzerland_429,"if you 're a hiccup, you 'll taste the smell of the mcflurry in the",0.8843181,0.43945664,-9.519858,0.0174435228109359,0
mcdonalds_switzerland_432,today is the last day of the mcdonald 's mcflurry promotion and i 'm going to make,0.84987223,0.43945664,-8.340515,0.1522858142852783,0
mcdonalds_switzerland_461,now you know where all the best places are in your car and you 'll have a lot of fun,0.9535472,0.43945664,-9.315657,0.1105368360877037,0
mcdonalds_switzerland_478,what 's the best way to choose a mcdonald 's menu? 🤔🤔�,0.94856083,0.43945664,-9.672488,0.0483750514686107,0
mcdonalds_switzerland_496,"it 's no surprise that christmas has come early this year, with our christmas mcdonald 's",0.9647719,0.43945664,-9.250703,0.2754797339439392,0
mcdonalds_switzerland_499,did n't you know that i 've been using the mcdonald 's app to find my way to,0.71444464,0.43945664,-9.388723,0.3060287833213806,0
mcdonalds_switzerland_568,"sometimes it 's hard to find the right moment to speak your mind but if you do, be sure to",0.96156406,0.43945664,-9.236266,0.3466570973396301,0
mcdonalds_switzerland_569,"do you know what 's coming in the new year? well, it 's exactly the same as the",0.97490555,0.43945664,-8.418058,0.1414361000061035,0
mcdonalds_switzerland_586,"i do n't know if it 's just me, but i do n't feel like it 's",0.6752609,0.43945664,-8.809689,0.7999081611633301,1
mcdonalds_switzerland_598,"when it comes to dating, who 's the first one you 're going after? i 'm going",0.9670215,0.43945664,-8.877489,0.3743468225002289,0
mcdonalds_switzerland_610,you never know what you’ re going to get in the mcdonald’ s hamburgers and,0.9191076,0.43945664,-9.040438,0.0714786723256111,0
mcdonalds_switzerland_615,"i 'm sure you 're not going to be able to keep your eyes open, but you 're",0.9707479,0.43945664,-8.463889,0.3926327526569366,0
mcdonalds_switzerland_616,there ‘s no way you ‘ll find a better deal than the mcdonald ‘s menu,0.9195852,0.43945664,-9.058662,0.2331917881965637,0
mcdonalds_switzerland_642,"now is the time to order your mcdonald 's meal of the day you 'll be happy, but",0.39665046,0.43945664,-8.935479,0.2290523052215576,0
mcdonalds_switzerland_646,"it 's not always easy to let go of your favorite Mcdonald 's, but at least you know",0.968216,0.43945664,-8.116681,0.0132661201059818,0
mcdonalds_switzerland_682,"when it 's cold and dark, it 's hard to find something to eat that will make you feel",0.97759503,0.43945664,-8.8064165,0.4532703757286072,0
mcdonalds_switzerland_716,there 's no way you 're going to get through all those big buns without getting bored,0.95940876,0.43945664,-9.643161,0.1829349249601364,0
mcdonalds_switzerland_744,do you know the best burger at mcdonald 's? the one that 's just right for you?,0.96972173,0.43945664,-8.149858,0.0744537785649299,0
mcdonalds_switzerland_761,what 's your favorite mcdonald 's menu item? tell us in the comments we 'll pick a,0.6943429,0.43945664,-8.090704,0.0773147270083427,0
mcdonalds_switzerland_767,you 're not the only one who 's going to lose your mind when you 're asked to pick,0.96253157,0.43945664,-8.766099,0.4641258120536804,0
mcdonalds_switzerland_1037,i 'm sure that you 've all had the same experience as me when i 'm driving home after,0.9586426,0.43945664,-8.621415,0.6062825918197632,0
mcdonalds_switzerland_1890,"well, there 's a lot of money in my pocket now i 'm on my way to school",0.8077806,0.43945664,-9.220705,0.8658789992332458,1
mcdonalds_switzerland_1895,"every now and then, the manager of the mcdonald 's comes and says, `` there is no more",0.97391915,0.43945664,-9.040469,0.1452698856592178,0
mcdonalds_switzerland_1899,"if you try to make a cup of coffee in the ice cream store, you ca n 't because you",0.8842363,0.43945664,-9.852064,0.079604871571064,0
mcdonalds_switzerland_1918,"watch out, it 's time for another big bite of the mcdonald 's menu it 's always",0.838123,0.43945664,-9.540387,0.0139452880248427,0
mcdonalds_switzerland_1962,"yes, this is what i 'm going to do to you when i came back home",0.96950454,0.43945664,-9.102766,0.672012209892273,1
mcdonalds_switzerland_1988,"so now that you 've reached the end of your journey, you 'll be able n't forget the",0.9136931,0.43945664,-8.929412,0.1460330188274383,0
mcdonalds_switzerland_1995,"i did n't take a picture, but i felt so happy when i saw the smile on my boyfriend '",0.7345259,0.43945664,-8.018771,0.0316695570945739,0
mcdonalds_switzerland_2000,how many mcdonald 's restaurants do you know in switzerland? i 'm sure there 's someone,0.97381186,0.43945664,-0.055035308,0.7322362661361694,1
mcdonalds_switzerland_2025,look at me i 'm sorry i do n't know how i can help you but i do n't,0.51169163,0.43945664,-8.6979,0.7429798245429993,1
mcdonalds_switzerland_2052,"and now, i 'm going to ask you to come home and sit in the car and listen to a",0.94815856,0.43945664,-8.541006,0.0838664770126342,0
