g_fc_loss,g_con_loss,g_unc_loss,d_con_r2f_loss,d_con_f2r_loss,d_con_f_loss,d_con_m_loss,d_unc_r_loss,d_unc_f_loss,d_unc_m_loss,,
0.0087280 ,5.4687500 ,15.6875000 ,21.8750000 ,33.5000000 ,107.0000000 ,0.2441406 ,0.6796875 ,127.0000000 ,0.6757813 ,,0.000412551
0.0051270 ,7.7500000 ,3.4375000 ,23.0000000 ,31.2500000 ,65.5000000 ,0.2363281 ,0.6601563 ,125.0000000 ,0.6953125 ,,0.000458275
0.0005074 ,6.0937500 ,7.9062500 ,35.7500000 ,32.7500000 ,54.5000000 ,0.2490234 ,0.6523438 ,206.0000000 ,0.6875000 ,,3.62396E-05
0.0006180 ,8.6875000 ,9.1250000 ,282.0000000 ,54.5000000 ,36.2500000 ,0.2402344 ,0.6132813 ,213.0000000 ,0.6953125 ,,3.46937E-05
0.0018921 ,8.6250000 ,10.3750000 ,151.0000000 ,41.5000000 ,35.5000000 ,0.2363281 ,0.6718750 ,232.0000000 ,0.6835938 ,,9.95837E-05
0.0032349 ,9.8125000 ,13.3750000 ,11.2500000 ,48.7500000 ,30.7500000 ,0.2431641 ,0.6875000 ,227.0000000 ,0.6679688 ,,0.000139509
0.0006866 ,10.2500000 ,15.6875000 ,27.0000000 ,43.5000000 ,28.6250000 ,0.2402344 ,0.6992188 ,174.0000000 ,0.6601563 ,,2.64731E-05
0.0004292 ,11.2500000 ,16.0000000 ,47.0000000 ,47.0000000 ,33.0000000 ,0.2539063 ,0.6289063 ,150.0000000 ,0.6835938 ,,1.57488E-05
0.0000615 ,10.2500000 ,12.3750000 ,49.0000000 ,11.5625000 ,24.3750000 ,0.2333984 ,0.6289063 ,161.0000000 ,0.6562500 ,,2.71876E-06
0.0005493 ,10.7500000 ,13.7500000 ,54.0000000 ,37.0000000 ,14.3125000 ,0.2304688 ,0.6757813 ,100.5000000 ,0.6640625 ,,2.24211E-05
0.0014038 ,9.8750000 ,16.6250000 ,56.0000000 ,27.0000000 ,6.4375000 ,0.2480469 ,0.6679688 ,119.0000000 ,0.6640625 ,,5.29739E-05
0.0010376 ,8.8750000 ,11.1250000 ,57.2500000 ,9.8125000 ,12.8125000 ,0.2265625 ,0.6210938 ,87.0000000 ,0.6250000 ,,5.18799E-05
0.0002785 ,8.1250000 ,12.7500000 ,56.7500000 ,11.6875000 ,17.7500000 ,0.2519531 ,0.5859375 ,66.0000000 ,0.6367188 ,,1.334E-05
0.0002575 ,7.7500000 ,12.5000000 ,58.0000000 ,14.5625000 ,22.2500000 ,0.2255859 ,0.5234375 ,47.5000000 ,0.6250000 ,,1.27157E-05
0.0006828 ,7.2500000 ,9.1250000 ,57.2500000 ,10.8750000 ,23.8750000 ,0.2304688 ,0.5664063 ,24.7500000 ,0.6250000 ,,4.16996E-05
0.0010147 ,4.8750000 ,6.4687500 ,48.0000000 ,10.1875000 ,24.0000000 ,0.2236328 ,0.6250000 ,8.9375000 ,0.6367188 ,,8.9451E-05
0.0006294 ,3.6250000 ,4.6875000 ,43.5000000 ,7.7500000 ,24.8750000 ,0.2324219 ,0.6601563 ,152.0000000 ,0.6445313 ,,7.57203E-05
0.0015259 ,3.0000000 ,3.0000000 ,42.0000000 ,8.6875000 ,45.7500000 ,0.2265625 ,0.6992188 ,67.5000000 ,0.6210938 ,,0.000254313
0.0000474 ,0.7421875 ,13.0625000 ,33.7500000 ,3.0937500 ,24.2500000 ,0.2265625 ,0.6523438 ,42.2500000 ,0.6289063 ,,3.4369E-06
0.0016098 ,13.1875000 ,4.8125000 ,35.5000000 ,7.4062500 ,43.5000000 ,0.2265625 ,0.6328125 ,81.0000000 ,0.6093750 ,,8.94335E-05
0.0004807 ,2.0468750 ,8.0000000 ,30.7500000 ,4.1250000 ,26.0000000 ,0.2285156 ,0.6132813 ,57.0000000 ,0.6054688 ,,4.78409E-05
0.0004654 ,4.3125000 ,10.1875000 ,25.7500000 ,4.2812500 ,26.3750000 ,0.2314453 ,0.6210938 ,72.5000000 ,0.6406250 ,,3.20961E-05
0.0001197 ,5.3437500 ,11.3750000 ,21.0000000 ,3.0781250 ,25.7500000 ,0.2695313 ,0.5585938 ,55.0000000 ,0.6171875 ,,7.1588E-06
0.0002060 ,6.6562500 ,13.8750000 ,18.1250000 ,2.3750000 ,24.6250000 ,0.2343750 ,0.6367188 ,67.0000000 ,0.6171875 ,,1.00332E-05
0.0006409 ,8.0000000 ,16.5000000 ,14.6250000 ,7.1875000 ,24.3750000 ,0.2246094 ,0.5976563 ,66.0000000 ,0.5976563 ,,2.61579E-05
0.0005417 ,8.1250000 ,18.7500000 ,3.7968750 ,12.8750000 ,21.7500000 ,0.2246094 ,0.5937500 ,60.5000000 ,0.5781250 ,,2.01558E-05
0.0005341 ,8.8750000 ,14.9375000 ,158.0000000 ,23.5000000 ,19.1250000 ,0.2470703 ,0.5937500 ,59.0000000 ,0.5859375 ,,2.24276E-05
0.0000563 ,7.8437500 ,18.5000000 ,0.5234375 ,31.0000000 ,15.6250000 ,0.2304688 ,0.5507813 ,49.5000000 ,0.5976563 ,,2.13587E-06
0.0002880 ,8.3750000 ,19.2500000 ,11.7500000 ,37.5000000 ,12.3750000 ,0.2187500 ,0.5546875 ,47.0000000 ,0.5820313 ,,1.04257E-05
0.0003166 ,8.1250000 ,15.7500000 ,18.1250000 ,42.5000000 ,9.6875000 ,0.2226563 ,0.5429688 ,37.5000000 ,0.5937500 ,,1.32616E-05
0.0001707 ,7.2500000 ,18.2500000 ,20.2500000 ,45.5000000 ,5.9687500 ,0.2343750 ,0.5156250 ,27.5000000 ,0.5664063 ,,6.69442E-06
0.0001307 ,6.5000000 ,15.0000000 ,22.1250000 ,48.2500000 ,2.2031250 ,0.2226563 ,0.5585938 ,20.0000000 ,0.5820313 ,,6.0769E-06
0.0000424 ,5.7500000 ,10.5000000 ,23.2500000 ,49.0000000 ,43.0000000 ,0.2187500 ,0.5390625 ,15.5000000 ,0.5546875 ,,2.6116E-06
0.0003510 ,6.4375000 ,10.0000000 ,28.3750000 ,49.2500000 ,7.0000000 ,0.2421875 ,0.5898438 ,16.2500000 ,0.5507813 ,,2.13507E-05
0.0005302 ,5.5937500 ,9.8750000 ,30.2500000 ,48.0000000 ,12.3125000 ,0.2246094 ,0.5351563 ,6.9062500 ,0.5546875 ,,3.42783E-05
0.0004215 ,3.9218750 ,9.5625000 ,27.3750000 ,45.5000000 ,15.6875000 ,0.2177734 ,0.5351563 ,115.5000000 ,0.5429688 ,,3.12602E-05
0.0000930 ,1.4062500 ,5.8437500 ,22.5000000 ,42.5000000 ,17.3750000 ,0.2236328 ,0.5195313 ,16.0000000 ,0.5468750 ,,1.28253E-05
0.0003376 ,1.6953125 ,5.5000000 ,26.0000000 ,39.5000000 ,20.0000000 ,0.2197266 ,0.5351563 ,46.0000000 ,0.5585938 ,,4.69195E-05
0.0001888 ,10.0000000 ,1.8203125 ,23.3750000 ,35.7500000 ,20.2500000 ,0.2138672 ,0.5351563 ,68.0000000 ,0.5078125 ,,1.59748E-05
0.0002022 ,3.1406250 ,10.2500000 ,23.2500000 ,31.0000000 ,20.7500000 ,0.2324219 ,0.4921875 ,65.0000000 ,0.5429688 ,,1.50985E-05
0.0002213 ,5.5000000 ,4.3437500 ,24.7500000 ,26.2500000 ,21.6250000 ,0.2304688 ,0.5195313 ,80.0000000 ,0.5312500 ,,2.24764E-05
0.0005341 ,9.0625000 ,9.0000000 ,27.3750000 ,23.2500000 ,23.7500000 ,0.2255859 ,0.5703125 ,75.0000000 ,0.4960938 ,,2.95672E-05
0.0004864 ,10.0625000 ,10.1250000 ,27.6250000 ,18.6250000 ,23.2500000 ,0.2197266 ,0.5156250 ,60.0000000 ,0.5507813 ,,2.40928E-05
0.0001745 ,10.4375000 ,11.3125000 ,24.0000000 ,13.1250000 ,22.2500000 ,0.2187500 ,0.5195313 ,58.7500000 ,0.5039063 ,,8.02402E-06
0.0003319 ,11.7500000 ,13.3125000 ,24.3750000 ,9.6250000 ,22.1250000 ,0.2089844 ,0.4765625 ,60.0000000 ,0.5078125 ,,1.3242E-05
0.0006256 ,13.6875000 ,15.1875000 ,26.3750000 ,7.5625000 ,23.3750000 ,0.2109375 ,0.4824219 ,74.5000000 ,0.4746094 ,,2.16662E-05
0.0000408 ,12.1250000 ,13.7500000 ,17.2500000 ,4.5312500 ,18.7500000 ,0.2167969 ,0.4726563 ,77.0000000 ,0.5000000 ,,1.57564E-06
0.0014877 ,12.7500000 ,14.5000000 ,18.3750000 ,6.7500000 ,21.7500000 ,0.2304688 ,0.5117188 ,58.7500000 ,0.4765625 ,,5.45957E-05
0.0000532 ,12.3125000 ,13.3125000 ,11.1250000 ,10.9375000 ,16.1250000 ,0.2109375 ,0.4941406 ,51.5000000 ,0.4765625 ,,2.07482E-06
0.0000229 ,12.1875000 ,15.3750000 ,7.5000000 ,14.8750000 ,14.5000000 ,0.2216797 ,0.4316406 ,47.7500000 ,0.5039063 ,,8.3041E-07
0.0001917 ,12.2500000 ,11.3750000 ,6.1875000 ,17.7500000 ,13.6875000 ,0.2148438 ,0.5625000 ,40.0000000 ,0.5507813 ,,8.1138E-06
0.0003223 ,12.1250000 ,12.7500000 ,8.3125000 ,19.5000000 ,12.4375000 ,0.2207031 ,0.4550781 ,36.5000000 ,0.4687500 ,,1.29585E-05
0.0001659 ,11.0000000 ,12.0000000 ,6.1250000 ,20.7500000 ,10.0625000 ,0.2109375 ,0.4414063 ,24.5000000 ,0.4511719 ,,7.21475E-06
0.0003185 ,10.6250000 ,11.3750000 ,9.6875000 ,21.0000000 ,8.6875000 ,0.2226563 ,0.4511719 ,26.2500000 ,0.4453125 ,,1.44785E-05
0.0000370 ,8.8125000 ,6.9062500 ,6.9375000 ,21.3750000 ,4.8125000 ,0.2148438 ,0.4765625 ,14.9375000 ,0.4707031 ,,2.35101E-06
0.0003147 ,8.7500000 ,5.4375000 ,11.6250000 ,20.5000000 ,4.1250000 ,0.2167969 ,0.4414063 ,11.8750000 ,0.4687500 ,,2.21824E-05
0.0001717 ,7.1562500 ,4.0625000 ,8.7500000 ,19.8750000 ,4.2812500 ,0.2148438 ,0.4414063 ,6.6250000 ,0.4179688 ,,1.53013E-05
0.0001783 ,5.9375000 ,1.8828125 ,8.1250000 ,18.2500000 ,5.5000000 ,0.2089844 ,0.4882813 ,3.4375000 ,0.4179688 ,,2.28043E-05
0.0001802 ,4.5937500 ,11.2500000 ,6.1875000 ,16.6250000 ,8.6250000 ,0.2119141 ,0.3789063 ,2.2968750 ,0.4140625 ,,1.13764E-05
0.0000410 ,2.7812500 ,3.8906250 ,6.1875000 ,15.5000000 ,10.8750000 ,0.2207031 ,0.4687500 ,298.0000000 ,0.3789063 ,,6.1464E-06
0.0000820 ,1.4062500 ,6.4375000 ,7.4062500 ,13.8750000 ,12.3750000 ,0.2167969 ,0.4550781 ,217.0000000 ,0.4257813 ,,1.04562E-05
0.0000668 ,1.0937500 ,10.5000000 ,8.5000000 ,11.9375000 ,13.0000000 ,0.2148438 ,0.4101563 ,11.6250000 ,0.4257813 ,,5.75803E-06
0.0001774 ,1.9375000 ,12.1875000 ,11.3750000 ,9.8750000 ,14.1250000 ,0.2148438 ,0.4160156 ,27.2500000 ,0.4121094 ,,1.25581E-05
0.0000403 ,2.0000000 ,13.1875000 ,10.3750000 ,7.6562500 ,13.3125000 ,0.2187500 ,0.4277344 ,58.0000000 ,0.3906250 ,,2.65302E-06
0.0004635 ,4.2812500 ,14.5625000 ,13.8125000 ,4.9687500 ,15.0000000 ,0.2109375 ,0.3945313 ,67.0000000 ,0.4042969 ,,2.45963E-05
0.0000432 ,2.8750000 ,14.5625000 ,8.6250000 ,2.5468750 ,12.5000000 ,0.2167969 ,0.3984375 ,77.0000000 ,0.4160156 ,,2.47477E-06
0.0000393 ,2.9375000 ,14.3125000 ,7.1875000 ,6.6875000 ,11.7500000 ,0.2119141 ,0.3906250 ,80.5000000 ,0.3906250 ,,2.28053E-06
0.0000336 ,2.9062500 ,15.0000000 ,5.3125000 ,5.1562500 ,10.8125000 ,0.2089844 ,0.3847656 ,85.0000000 ,0.3789063 ,,1.87739E-06
0.0003033 ,3.7500000 ,13.5625000 ,5.5625000 ,9.1250000 ,10.8125000 ,0.2216797 ,0.4199219 ,107.0000000 ,0.3925781 ,,1.75173E-05
0.0003052 ,3.2812500 ,13.0000000 ,3.0937500 ,12.1250000 ,9.5625000 ,0.2148438 ,0.4238281 ,90.5000000 ,0.3847656 ,,1.8744E-05
0.0001726 ,2.0625000 ,12.3750000 ,52.5000000 ,14.5000000 ,7.6875000 ,0.2138672 ,0.3808594 ,112.0000000 ,0.3613281 ,,1.1956E-05
0.0003223 ,1.8515625 ,12.2500000 ,3.9687500 ,15.6875000 ,6.6562500 ,0.2128906 ,0.3554688 ,110.0000000 ,0.3828125 ,,2.28586E-05
0.0005798 ,6.6250000 ,11.3750000 ,9.5000000 ,15.8750000 ,6.2187500 ,0.2167969 ,0.3886719 ,121.0000000 ,0.3691406 ,,3.2213E-05
0.0004673 ,3.7968750 ,8.6250000 ,11.8750000 ,16.7500000 ,4.1875000 ,0.2109375 ,0.3847656 ,94.0000000 ,0.3750000 ,,3.76192E-05
0.0000653 ,4.1250000 ,8.3125000 ,11.1875000 ,18.0000000 ,0.6562500 ,0.2148438 ,0.3535156 ,76.0000000 ,0.3691406 ,,5.2524E-06
0.0001755 ,6.1875000 ,7.5000000 ,13.8750000 ,17.6250000 ,20.2500000 ,0.2109375 ,0.3554688 ,91.0000000 ,0.3574219 ,,1.28202E-05
0.0004425 ,8.2500000 ,5.2500000 ,16.5000000 ,16.6250000 ,4.5625000 ,0.2285156 ,0.3417969 ,92.5000000 ,0.3789063 ,,3.27781E-05
0.0000272 ,7.9062500 ,2.7656250 ,14.3750000 ,16.2500000 ,5.8125000 ,0.2158203 ,0.3398438 ,101.5000000 ,0.3496094 ,,2.54685E-06
0.0002975 ,9.3125000 ,0.6328125 ,15.3750000 ,14.8125000 ,9.3125000 ,0.2080078 ,0.3613281 ,79.0000000 ,0.3359375 ,,2.99183E-05
0.0001745 ,9.3125000 ,33.2500000 ,13.6875000 ,13.6250000 ,10.5625000 ,0.2109375 ,0.3437500 ,79.0000000 ,0.3300781 ,,4.10038E-06
0.0000355 ,9.1250000 ,1.9453125 ,12.8750000 ,12.8750000 ,11.5625000 ,0.2050781 ,0.3613281 ,68.0000000 ,0.3281250 ,,3.20898E-06
0.0001812 ,9.5000000 ,4.7500000 ,14.3750000 ,11.6875000 ,13.1250000 ,0.2050781 ,0.3964844 ,53.5000000 ,0.3535156 ,,1.27157E-05
0.0001879 ,9.3750000 ,10.0625000 ,14.3750000 ,10.3750000 ,13.8125000 ,0.2119141 ,0.3300781 ,80.5000000 ,0.3437500 ,,9.66554E-06
0.0002937 ,9.3750000 ,10.6250000 ,14.1875000 ,8.8750000 ,14.5000000 ,0.2080078 ,0.3847656 ,55.0000000 ,0.3574219 ,,1.46866E-05
0.0005646 ,9.6875000 ,10.7500000 ,15.5000000 ,7.0000000 ,15.8750000 ,0.2089844 ,0.3339844 ,48.0000000 ,0.3261719 ,,2.76245E-05
0.0000548 ,7.4375000 ,12.5000000 ,10.1250000 ,5.2500000 ,13.5000000 ,0.2089844 ,0.3613281 ,47.5000000 ,0.3359375 ,,2.75041E-06
0.0000470 ,6.5937500 ,15.4375000 ,9.1250000 ,2.9531250 ,13.1250000 ,0.2080078 ,0.3281250 ,45.5000000 ,0.3183594 ,,2.1319E-06
0.0013885 ,5.8750000 ,14.9375000 ,9.1250000 ,1.0625000 ,12.1875000 ,0.2089844 ,0.2968750 ,40.0000000 ,0.3125000 ,,6.67171E-05
0.0001602 ,5.0625000 ,13.6250000 ,7.0000000 ,3.6250000 ,12.1875000 ,0.2070313 ,0.3222656 ,34.2500000 ,0.3085938 ,,8.5735E-06
0.0000396 ,3.5000000 ,14.0000000 ,3.1875000 ,1.6640625 ,10.4375000 ,0.2070313 ,0.3164063 ,29.0000000 ,0.3066406 ,,2.26157E-06
0.0001564 ,2.7500000 ,16.0000000 ,2.8437500 ,2.5468750 ,10.0625000 ,0.2089844 ,0.3085938 ,29.2500000 ,0.3281250 ,,8.34147E-06
0.0002918 ,1.9765625 ,12.8125000 ,27.2500000 ,3.1875000 ,9.1250000 ,0.2089844 ,0.3339844 ,28.5000000 ,0.3125000 ,,1.97324E-05
0.0015335 ,9.1250000 ,11.5000000 ,19.1250000 ,3.0312500 ,8.5000000 ,0.2070313 ,0.3085938 ,24.0000000 ,0.3691406 ,,7.43519E-05
0.0004406 ,3.2500000 ,8.8750000 ,7.4062500 ,3.3437500 ,6.9062500 ,0.2070313 ,0.3417969 ,26.5000000 ,0.2832031 ,,3.63379E-05
0.0015411 ,4.2500000 ,9.3750000 ,9.0000000 ,2.7500000 ,6.1250000 ,0.2128906 ,0.4609375 ,20.5000000 ,0.2636719 ,,0.000113111
0.0001593 ,5.4687500 ,5.8750000 ,9.8750000 ,2.2187500 ,3.1093750 ,0.2060547 ,0.3183594 ,16.2500000 ,0.3125000 ,,1.40398E-05
0.0001783 ,6.5625000 ,4.0312500 ,11.1250000 ,1.3203125 ,1.6250000 ,0.2109375 ,0.3046875 ,11.1250000 ,0.2910156 ,,1.68342E-05
0.0001774 ,7.3437500 ,1.8046875 ,11.3750000 ,0.5429688 ,16.3750000 ,0.2128906 ,0.3105469 ,10.8750000 ,0.2890625 ,,1.93895E-05
0.0004101 ,8.5625000 ,7.8750000 ,14.0000000 ,11.6875000 ,5.2812500 ,0.2167969 ,0.3203125 ,7.5625000 ,0.3027344 ,,2.49478E-05
0.0001822 ,8.2500000 ,3.4375000 ,12.8750000 ,5.1562500 ,6.5625000 ,0.2343750 ,0.2851563 ,7.4375000 ,0.2773438 ,,1.55852E-05
0.0004120 ,9.1250000 ,5.8750000 ,16.7500000 ,9.6250000 ,10.1250000 ,0.2128906 ,0.3535156 ,6.1250000 ,0.2890625 ,,2.74658E-05
0.0002975 ,8.6875000 ,8.3750000 ,16.6250000 ,13.1875000 ,11.3125000 ,0.2119141 ,0.2832031 ,3.9062500 ,0.2539063 ,,1.74386E-05
0.0000534 ,7.8125000 ,7.6562500 ,14.6250000 ,16.3750000 ,11.0625000 ,0.2070313 ,0.2539063 ,1.8437500 ,0.2695313 ,,3.45249E-06
0.0006638 ,9.0625000 ,11.1250000 ,20.8750000 ,17.2500000 ,15.0000000 ,0.2128906 ,0.2714844 ,1.3437500 ,0.2597656 ,,3.28796E-05
0.0002747 ,7.5000000 ,11.8750000 ,17.3750000 ,19.6250000 ,13.3125000 ,0.2109375 ,0.2773438 ,2.3593750 ,0.2675781 ,,1.41759E-05
0.0004044 ,7.1562500 ,10.0625000 ,18.5000000 ,20.2500000 ,13.8750000 ,0.2070313 ,0.2753906 ,3.1875000 ,0.2695313 ,,2.34836E-05
0.0000451 ,5.2812500 ,12.4375000 ,14.6875000 ,21.8750000 ,11.7500000 ,0.2148438 ,0.2617188 ,5.4375000 ,0.2792969 ,,2.54313E-06
0.0000625 ,4.3125000 ,11.8750000 ,14.3125000 ,22.2500000 ,11.3750000 ,0.2089844 ,0.2597656 ,6.1875000 ,0.2353516 ,,3.85888E-06
0.0001564 ,3.6250000 ,11.0000000 ,14.8125000 ,21.6250000 ,11.3125000 ,0.2187500 ,0.2695313 ,9.0625000 ,0.2636719 ,,1.06942E-05
0.0001822 ,2.5312500 ,10.6250000 ,13.8125000 ,21.2500000 ,10.6250000 ,0.2060547 ,0.2558594 ,10.1875000 ,0.3359375 ,,1.38453E-05
0.0004005 ,2.1875000 ,7.2812500 ,15.1875000 ,20.0000000 ,10.8125000 ,0.2060547 ,0.2734375 ,11.1250000 ,0.2636719 ,,4.23016E-05
0.0001879 ,8.6250000 ,8.2500000 ,11.5000000 ,19.6250000 ,8.7500000 ,0.2060547 ,0.2832031 ,12.3750000 ,0.2617188 ,,1.11333E-05
