image_id,caption,fluency,diversity,humor_score,humor
sonicdrivein_2091,"phooey, rain! see you next week for ghostbusters in okc. repost from @myriadgardens --- a decision. #sonicsummermovies",0.8678138,0.5296938,0.0518478825688362,0
sonicdrivein_1138,who’s at the door? it’s our trick or treat blast! are you dressing up for halloween? 🎃  visit the link in bio to get our downloadable cupstume patterns!,0.7231827,0.5296938,0.0241119526326656,0
sonicdrivein_234,what’s my skincare routine you ask? small classic shakes,0.6924204,0.5296938,0.6462730765342712,1
sonicdrivein_2078,the second week of @sonicdrivein’s limeades for learning voting is almost up! have you voted for your favorite project,0.8734125,0.5296938,0.016277452930808,0
sonicdrivein_780,eating a corn dog in outer space? 👀,0.9261232,0.5296938,0.5698944926261902,1
sonicdrivein_414,when you first move out of your parents’ house:,0.87979394,0.5296938,0.8729441165924072,1
sonicdrivein_529,"she’s not a regular mom, she’s a cool mom.",0.8860147,0.5296938,0.9679171442985536,1
sonicdrivein_2208,today is the day! $.50 corn dogs all day at sonic!,0.69018745,0.5296938,0.1386817842721939,0
sonicdrivein_404,"@starbucks inspired us, which era are you? 👀",0.7286476,0.5296938,0.7477081418037415,1
sonicdrivein_1809,kick off summer break with a 50¢ corn dog in hand. 🙏 tag your after school crew and swing by sonic tomorrow for national end of school day.#sonic #corndog #😎 tax not included. add-ons cost extra. cannot be combined with other offers. offer valid 05/24/16 at participating sonic drive-ins while supplies last.,0.4947705,0.5296938,0.0456552654504776,0
sonicdrivein_2112,"hey, central ok! eat at sonic on thursday, 2/20, between 6-11 and we will donate 10% of sales to calm waters. then,",0.57292795,0.5296938,0.0867524296045303,0
sonicdrivein_135,"get in losers, new holiday merch is here ✨ ",0.23821639,0.5296938,0.0652368813753128,0
sonicdrivein_1866,get a lil wild with an unexpected combo that’s surprisingly delightful. catch a taste of our new wildberry lavender,0.8964255,0.5296938,0.0176380090415477,0
sonicdrivein_91,"the best day of the year, lads",0.892658,0.5296938,0.582893967628479,1
sonicdrivein_1753,the best doggone corn dog deal of all time—stop by sonic today for 50¢ corn dogs all day.,0.757172,0.5296938,0.0501327402889728,0
sonicdrivein_1376,"you say “potato,” i say “picasso.” show us your tot art! 🎨",0.61985016,0.5296938,0.3600709736347198,0
sonicdrivein_743,"did you know? our commercials feature real sonic fans trying new items and sharing their unscripted reactions. 🎶 nico, josh and layne, play together in some of nashville's finest honky-tonks nearly every night of the week. and visit their favorite drive-in almost as often!",0.9472109,0.5296938,0.0486264079809188,0
sonicdrivein_1737,"it’s time to celebrate 🎉 get 50¢ corn dogs fri–sun, 5pm–close. all month long  tag #thisishowisonic for the chance to",0.382393,0.5296938,0.0088689783588051,0
sonicdrivein_196,"wake up, it’s the first of the month",0.9484379,0.5296938,0.9769855737686156,1
sonicdrivein_2052,"eat your heart out, candy board games. ",0.46238413,0.5296938,0.4915433526039123,0
sonicdrivein_528,"if you didn’t know, now you know.",0.94480306,0.5296938,0.6414105296134949,1
sonicdrivein_98,m&m blast on canvas by sonic (e. 1953),0.82646734,0.5296938,0.8129003643989563,1
sonicdrivein_532,"deck your doggo out in sonic swag for their next trip to the drive-in. our wag shop is now open with toys, costumes, and",0.8685778,0.5296938,0.0032716807909309,0
sonicdrivein_78,the fourth is strong with this one 😮‍💨,0.35629883,0.5296938,0.9440529346466064,1
sonicdrivein_339,"tbh, we have this on repeat today. 🔂 swing by 5/25 to get your half price shakes when you apply code: treat in the app🥤",0.3830476,0.5296938,0.0224786903709173,0
sonicdrivein_2218,"so, are you going to eat both halves or share with a bud?",0.63030183,0.5296938,0.6247379183769226,1
sonicdrivein_41,it’s giving gold medal ????? #xgamesmode,0.2066515,0.5296938,0.8954898715019226,1
sonicdrivein_594,"you got questions, we have onion rings.",0.94328743,0.5296938,0.3881839215755462,0
sonicdrivein_497,one tot doesn’t make me a bad mom.,0.9067887,0.5296938,0.8743089437484741,1
