,image_id,caption,fluency,diversity
625,sonicdrivein_85,every wrap has its own special qualities 🤗,0.9287988,0.6204147
646,sonicdrivein_2095,"hey, okc! see you tomorrow night for #sonicsummermovies @myriadgardens. the family fun begins at 7 with lawn games, mr",0.8426404,0.6204147
661,sonicdrivein_196,"wake up, it’s the first of the month",0.9484379,0.6204147
664,sonicdrivein_404,"@starbucks inspired us, which era are you? 👀",0.7286476,0.6204147
676,sonicdrivein_1950,"you can have your cake and ice cream, too. try our 3 new flavors: vanilla birthday cake, @oreo cake, and strawberry",0.8844914,0.6204147
685,sonicdrivein_1730,can one ever really have too many corn dogs? 🤔 get 50c corn dogs fri-sun after 5pm and find out for yourself! ,0.5644951,0.6204147
688,sonicdrivein_866,today’s horoscoop🍦: remember to treat yourself and your sweet tooth with our mocha crunch blast—a deliciously cool,0.21195783,0.6204147
709,sonicdrivein_2209,"we watched with sadness as monday's tornado struck moore, ok, just a few miles from sonic hq.",0.9548176,0.6204147
727,sonicdrivein_952,"struggling to decide your order? 🤔 then check the time: our clock will tell you what to get. ⏰

9am - 12pm: bacon egg & cheese breakfast burrito
12pm - 3pm: crave cheeseburger
3pm - 6pm: corn dog
6pm - 9pm: red, white, & blue slush float",0.8089659,0.6204147
729,sonicdrivein_373,who knew ai had such good taste? #ai,0.81464785,0.6204147
773,sonicdrivein_1944,sad that oktoberfest is over? well wingtoberfest is going strong! come on by and enjoy some delicious 1/2 price 6 and 12,0.5314385,0.6204147
782,sonicdrivein_743,"did you know? our commercials feature real sonic fans trying new items and sharing their unscripted reactions. 🎶 nico, josh and layne, play together in some of nashville's finest honky-tonks nearly every night of the week. and visit their favorite drive-in almost as often!",0.9472109,0.6204147
799,sonicdrivein_788,who’s a good boy? you are! 🐶,0.9454691,0.6204147
810,sonicdrivein_1702,do cheese and bread make the ultimate couple? we think so. grab a 50¢ grilled cheese on 12/21 and taste for yourself 🧀🍞❤️ limit 5. mention when ordering. tax not included. add-ons cost extra. cannot be combined with other offers. offer valid 12/21/16 at participating sonic drive-ins while supplies last,0.20689821,0.6204147
821,sonicdrivein_1998,"they're here. 79c. medium famous slushes at sonic, today only. ",0.56014544,0.6204147
825,sonicdrivein_316,it’s the little things #middaybreak #drinkrun #podcast #ssssf,0.705108,0.6204147
864,sonicdrivein_645,where we get our ice. it's chill.,0.8638112,0.6204147
866,sonicdrivein_2091,"phooey, rain! see you next week for ghostbusters in okc. repost from @myriadgardens --- a decision. #sonicsummermovies",0.8678138,0.6204147
876,sonicdrivein_2126,downside to working out your tastebuds with a buddy? they'll want a bite of your salsa verde breakfast burrito.,0.9686091,0.6204147
880,sonicdrivein_1070,running on empty? stop on by to get yourself a chicken slinger! and thanks for spending gas money on us. 🥰⛽🥰,0.88002336,0.6204147
912,sonicdrivein_2112,"hey, central ok! eat at sonic on thursday, 2/20, between 6-11 and we will donate 10% of sales to calm waters. then,",0.57292795,0.6204147
949,sonicdrivein_1282,who needs fancy when you know their favorites?,0.9521512,0.6204147
957,sonicdrivein_204,gotta try it before someone catches the mistake!!,0.894321,0.6204147
967,sonicdrivein_1678,"are you #teamketchup or #teammustard? rep your side today with a 50¢ corn dog at sonic. 
tax and add-ons extra. see menu for details.",0.586078,0.6204147
975,sonicdrivein_1866,get a lil wild with an unexpected combo that’s surprisingly delightful. catch a taste of our new wildberry lavender,0.8964255,0.6204147
1030,sonicdrivein_1029,eating a corn dog's an emotional roller coaster. 🎢,0.7777296,0.6204147
1046,sonicdrivein_80,just know we are very proud of this one,0.9347637,0.6204147
1076,sonicdrivein_41,it’s giving gold medal ????? #xgamesmode,0.2066515,0.6204147
1092,sonicdrivein_2200,what a beautiful sight! thanks @dixieyankee for sharing,0.7951491,0.6204147
1101,sonicdrivein_528,"if you didn’t know, now you know.",0.94480306,0.6204147
1104,sonicdrivein_2218,"so, are you going to eat both halves or share with a bud?",0.63030183,0.6204147
1105,sonicdrivein_2196,"a little #tbt love for sonic founder, troy smith, and his first partner in biz, charlie pappe.",0.8183666,0.6204147
1112,sonicdrivein_1821,join @easymoneysniper and thank a teacher using #thanksteach & sonic will donate up to $1 million to public school teachers.,0.7998362,0.6204147
1117,sonicdrivein_1640,"grab a friend or two for a corn dog or five. it doesn’t matter who you bring, just get them to sonic for 50¢ corn dogs",0.5335966,0.6204147
1141,sonicdrivein_558,i think something is up with our button.,0.93405026,0.6204147
1162,sonicdrivein_491,"ahhh yes, gold, my favorite color.",0.8886177,0.6204147
1164,sonicdrivein_89,our social media manager (me) is wildin,0.87779725,0.6204147
1184,sonicdrivein_135,"get in losers, new holiday merch is here ✨ ",0.23821639,0.6204147
1195,sonicdrivein_1138,who’s at the door? it’s our trick or treat blast! are you dressing up for halloween? 🎃  visit the link in bio to get our downloadable cupstume patterns!,0.7231827,0.6204147
1197,sonicdrivein_376,not us seeing our ex at the drive-in,0.90565515,0.6204147
