,image_id,caption,fitCount,gtNum,fluency,diversity,bleu1,bleu2,bleu3,bleu4
661,sonicdrivein_196,"the trick or treat blasts don’ t have to be the same 🤩 watch the full episode of momfessionals now on youtube where@ annalee15 interviews her mom, momfessionals,@ annalee15 🍿# momfessionals '' '' '' '' '' '' '' '' '' ''",4,1,0.79978013,0.49584767,0.073170731707317,2.225073858507262e-308,2.225073858507262e-308,2.225073858507262e-308
664,sonicdrivein_404,we asked you for your favorite songs& artists.,0,1,0.9043979,0.49584767,0.0,0.0,0.0,0.0
676,sonicdrivein_1950,redecorating ✨reveal✨ part 2 featuring the fantasy worlds of your food cravings.,1,1,0.70814705,0.49584767,0.0393638793950845,1.051050468137224e-308,1.051050468137224e-308,1.051050468137224e-308
685,sonicdrivein_1730,"have you ever looked at the sonic wall and thought, `` if this looks like this, it 's a real thing ''?# sonicfanfriday# sonicfanfriday# sonicfanfriday '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' ''",3,1,0.85896486,0.49584767,0.0588235294117647,2.225073858507262e-308,2.225073858507262e-308,2.225073858507262e-308
688,sonicdrivein_866,creamy goodness comes packed with flavor 👀 watch the full episode of momfessionals with@ annalee15 now on youtube </s># momfessionals# bts# bloopers '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '',1,1,0.80597734,0.49584767,0.0212765957446808,2.225073858507262e-308,2.225073858507262e-308,2.225073858507262e-308
709,sonicdrivein_2209,what’ s the best sonic drink of them all?# concertjunkie# festivalseason# musicfestivallineup# festivalseason# music-festivallineup# festival-season# music-festivallineup# festival-season# music-festivallineup# festival-season#,1,1,0.93548375,0.49584767,0.0526315789473684,2.225073858507262e-308,2.225073858507262e-308,2.225073858507262e-308
727,sonicdrivein_952,"we’ ve teamed up with influencer@ annalee15 to chat all things motherhood with some of her favorite people on our new limited series, momfessionals.",2,1,0.9210271,0.49584767,0.0319609644063592,8.53386076719252e-309,8.53386076719252e-309,8.53386076719252e-309
729,sonicdrivein_373,"introducing the sonic® signature slinger drink, the signature slinger drink is now available for purchase at sonicswagshop.",0,1,0.95470196,0.49584767,0.0,0.0,0.0,0.0
773,sonicdrivein_1944,wrapped with goodness inside and out 💅🏼💅🏼💅🏼💅🏼💅🏼💅🏼💅🏼💅🏼💅🏼💅🏼,1,1,0.8334368,0.49584767,0.0167598808706072,2.61043809578189e-309,2.61043809578189e-309,2.61043809578189e-309
782,sonicdrivein_743,heckle-slush is back and this summer with@ annalee15 now on youtube to watch the full episode of momfessionals with@ annalee15 now on youtube !# momfessionals ''# bts# bloopers ''# bts# bloopers ''# bloopers '',3,1,0.6190597,0.49584767,0.0657519544423659,1.6581001563886476e-308,1.6581001563886476e-308,1.6581001563886476e-308
799,sonicdrivein_788,happy birthday to all our fans who show us love 24/7 🤪# sonicfanfriday# sonicfanfriday# nationalfanfriday# bts# bloopers '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '',0,1,0.8217812,0.49584767,0.0,0.0,0.0,0.0
810,sonicdrivein_1702,the historic buffalo run is in progress 🤩 tag@ sonicdrivein for a feature in next month’ s fan friday# sonicfanfriday# sonicfanfriday# bts# bloopers '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '',3,1,0.8192843,0.49584767,0.0597858881755751,2.0397629256023657e-308,2.0397629256023657e-308,2.0397629256023657e-308
821,sonicdrivein_1998,a must-have snack for all of your pup lovers out there 💅🏼🌈💅🏼💅🏼💅🏼💅🏼💅🏼💅🏼# getawaywithit# somethings,0,1,0.88973385,0.49584767,0.0,0.0,0.0,0.0
825,sonicdrivein_316,we’ ve got a new thing coming .. and it’ ll make you happy😅# getawaywithit# somethingscookin# march5 📷:@ tahrithebengal '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '',0,1,0.64739335,0.49584767,0.0,0.0,0.0,0.0
864,sonicdrivein_645,`` what 's wrong with you? '' `` what 's wrong with you ? '' `` what 's wrong with you? '' `` what 's wrong with you? '' `` what 's wrong with you? '' `` what 's wrong with you? '' `` what 's wrong with you? '' `` what 's,0,1,0.95965445,0.49584767,0.0,0.0,0.0,0.0
866,sonicdrivein_2091,`` what 's new this year? '' `` what 's new this year? '' `` what 's new this year? '' `` what 's new this year? '' `` what 's new this year? '' `` what 's new this year? '' `` what 's new this year? '' `` what 's,0,1,0.9574101,0.49584767,0.0,0.0,0.0,0.0
876,sonicdrivein_2126,is this what you’ re thinking? is this what you’ re thinking? watch the full episode of momfessionals with@ annalee15 now on youtube </s># momfessionals ''# bts# bloopers ''# bloopers ''# bts# bloopers ''#,1,1,0.9246797,0.49584767,0.0294117647058823,2.225073858507262e-308,2.225073858507262e-308,2.225073858507262e-308
880,sonicdrivein_1070,"if you’ re seeing this, it’ s your sign you need a break.",1,1,0.95118934,0.49584767,0.0415717689605026,1.2025033327569346e-308,1.2025033327569346e-308,1.2025033327569346e-308
912,sonicdrivein_2112,what’ s your favorite sonic drink of all time? 🤔# getawaywithit# somethingscookin# march5 📷:@ franckleflambert# march5 📷:@ micholaschoa '' '' '' '' '' '' '' '' '' '' '' '' '',2,1,0.71991074,0.49584767,0.064516129032258,2.225073858507262e-308,2.225073858507262e-308,2.225073858507262e-308
949,sonicdrivein_1282,the perfect drink to sip while watching the highlights 🤩 tag@ sonicdrivein for a feature in next month’ s fan friday# sonicfanfriday# sonicfanfriday# bts# bloopers '' 2015-12-03 01:44:44 '' avail.,0,1,0.5523028,0.49584767,0.0,0.0,0.0,0.0
957,sonicdrivein_204,who’ s going to tell their boss what they’ re going to do? watch the full episode of momfessionals with@ annalee15 now on youtube </s># momfessionals ''# bts# bloopers ''# bloopers ''# bts# bloopers ''#,1,1,0.90641356,0.49584767,0.0285714285714285,2.225073858507262e-308,2.225073858507262e-308,2.225073858507262e-308
967,sonicdrivein_1678,autumn leaves fallin down like pieces into place and we’ re taking a look at what they’ ve accomplished so far.# fallontonightnight# fallontonight# seasonsreveal# newyearnewyou ''# seasonsreveal# newyearnewyou ''# seasonsreveal# newyearnewyou,3,1,0.8113405,0.49584767,0.096774193548387,2.225073858507262e-308,2.225073858507262e-308,2.225073858507262e-308
975,sonicdrivein_1866,swipe to swipe to swipe to swipe to swipe to swipe to swipe to swipe to swipe to sw.,0,1,0.5814863,0.49584767,0.0,0.0,0.0,0.0
1030,sonicdrivein_1029,"when you want to dance, pick up a$ 25 sonic swag from our app store or purchase a$ 5 app ebonus to get a free wag cup with any app purchase# sonicdrinkremix# march5 📷:@ tahrithebengal '' '' '' '' '' '' '' ''",1,1,0.43581694,0.49584767,0.0232558139534883,2.225073858507262e-308,2.225073858507262e-308,2.225073858507262e-308
1046,sonicdrivein_80,the cherry limeade pool floaty is back and this one’ s a gift from momfessionals with@ annalee15 now on youtube !# momfessionals ''# bts# bloopers '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '',1,1,0.56730855,0.49584767,0.0212765957446808,2.225073858507262e-308,2.225073858507262e-308,2.225073858507262e-308
1076,sonicdrivein_41,don’ t forget to bring your puppy’ s day to your birthday too 🤩# getawaywithit# somethingscookin# march5 📷:@ tahrithebengal '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '',0,1,0.6629392,0.49584767,0.0,0.0,0.0,0.0
1092,sonicdrivein_2200,`` what 's going on here? '' `` what 's wrong with you? '' `` what 's wrong with you? '' `` what 's wrong with you? '' `` what 's wrong with you? '' `` what 's wrong with you? '' `` what 's wrong with you? '' `` what 's,8,1,0.9614767,0.49584767,0.0192307692307692,2.225073858507262e-308,2.225073858507262e-308,2.225073858507262e-308
1101,sonicdrivein_528,"happy hour, happy hour, happy hour, happy hour, happy hour, happy hour, happy hour, happy hour, happy hour, happy hour, happy hour, happy hour, happy hour.",0,1,0.91915625,0.49584767,0.0,0.0,0.0,0.0
1104,sonicdrivein_2218,add some flavor to your dinner plans 💅💅💅💅💅💅💅💅💅💅💅💅💅💅💅💅💅💅💅💅,1,1,0.9579689,0.49584767,0.0669076785648738,1.190996212064859e-308,1.190996212064859e-308,1.190996212064859e-308
1105,sonicdrivein_2196,"i don’ t know if u’ re going to be able to do that, but i don’ t know what u’ re going to be able to do.",0,1,0.9790292,0.49584767,0.0,0.0,0.0,0.0
1112,sonicdrivein_1821,"i was in a hurry to get home from the office, and i didn’ t have time to wait.",4,1,0.97322637,0.49584767,0.1997325221087236,2.110993164779763e-308,2.110993164779763e-308,2.110993164779763e-308
1117,sonicdrivein_1640,autumn leaves fallin down the halloween and we’ re taking a look at what they’ re going to do this year.,2,1,0.89858603,0.49584767,0.075059774070982,1.7536421816634345e-308,1.7536421816634345e-308,1.7536421816634345e-308
1141,sonicdrivein_558,"don’ t worry, we didn’ t have to wait for you.",0,1,0.96869475,0.49584767,0.0,0.0,0.0,0.0
1162,sonicdrivein_491,this is what happens when you don’ t have to feed the mozz sticks you’ re hungry for 😏# mozzstickmall# mozzstickmall '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '',0,1,0.86554563,0.49584767,0.0,0.0,0.0,0.0
1164,sonicdrivein_89,we’ ve got something you’ re going to want this summer… and we’ ve got something you’ re going to want this all summer.,0,1,0.9632359,0.49584767,0.0,0.0,0.0,0.0
1184,sonicdrivein_135,⚠️flash warning⚠️ watch the full episode of momfessionals with@ annalee15 now on youtube </s># momfessionals# bts# bloopers ''# momfessionals ''# bts# bloopers ''# bts# bloopers ''#,0,1,0.90147084,0.49584767,0.0,0.0,0.0,0.0
1195,sonicdrivein_1138,"all right, all right, all right, all right, all right, all right, all right, all right, all right, all right, all right, all right.",0,1,0.93351287,0.49584767,0.0,0.0,0.0,0.0
1197,sonicdrivein_376,is this what happens when you drive an empty car? watch the full episode of momfessionals with@ annalee15 now on youtube </s> </s> </s> </s> </s> </s> </s> </s> </s> '' '' '' '' '' '' '' '' '' '' '',1,1,0.90787137,0.49584767,0.024390243902439,2.225073858507262e-308,2.225073858507262e-308,2.225073858507262e-308
