prompt,label,image
"we, �, }$, ION, 2, umber, ulti, dy, du, inf, ##, C, Type, F, </code>, ID, er, before, toxicity, ля, Ind, ini, formation, <unused56>.",He's the hero of Clay Animation.,bokete_35649
"we, �, }$, ION, 2, umber, ulti, dy, du, inf, ##, C, Type, F, </code>, ID, er, before, toxicity, ля, Ind, ini, formation, <unused56>.",IT SMELLS LIKE FISH BUT TASTES LIKE CHICKEN; KEEP MY WIFE OUT OF YOUR MOUTH; COMEDY PAGE AND FUNNY MEMES,imgflip_3
"we, �, }$, ION, 2, umber, ulti, dy, du, inf, ##, C, F, </code>, ID, er, before, wer, toxicity, erv, ля, Ind, ini, formation, <unused56>.","CQ, CQ, please.",bokete_55011
"we, �, }$, ION, 2, umber, ulti, dy, du, inf, ##, C, F, </code>, ID, er, before, wer, toxicity, erv, ля, Ind, ini, formation, <unused56>.",VOTERS; Mobloom and icologers having actual funtionality; oOoH rEsKiN sQuId GlOw,imgflip_0
"we, �, }$, ION, 2, umber, ulti, dy, du, inf, ##, C, F, </code>, ID, er, before, toxicity, erv, ля, Ind, ini, formation, <unused56>.",Hey!,bokete_53389
"we, �, }$, ION, 2, umber, ulti, dy, du, inf, ##, C, are, F, </code>, ID, er, before, toxicity, erv, ля, Ind, ini, formation, <unused56>.",I just noticed how delicious it is.,bokete_95018
"we, �, }$, ION, 2, umber, ulti, dy, du, inf, ##, C, F, </code>, ID, er, before, wer, toxicity, erv, ля, Ind, ini, formation, <unused56>.","Pantin, come on, come on, come on, come on, come on, come on, come on, come on, come on, come on, come on, come on, come on, come on, come on.",bokete_104032
"we, �, }$, ION, 2, umber, ulti, dy, du, inf, ##, C, Type, F, </code>, ID, er, before, toxicity, ля, Ind, ini, formation, <unused56>.",WHO’S THE WORST BATMAN OF ALL TIME? BEN AFFLECK!!!,imgflip_3
"we, �, }$, ION, 2, umber, ulti, dy, du, inf, ##, C, F, </code>, ID, er, before, toxicity, erv, ля, Ind, ini, formation, <unused56>.",It's a campaign against the dangers of smoking.,bokete_95969
"we, �, }$, ION, 2, umber, ulti, dy, du, inf, ##, C, F, </code>, ID, er, before, toxicity, erv, ля, Ind, ini, formation, <unused56>.",I have a question for Trump Haters. Are you a Top or a Bottom?,imgflip_14
"we, �, }$, ION, 2, umber, ulti, dy, du, inf, ##, C, Type, F, </code>, ID, er, before, wer, toxicity, ля, Ind, ini, formation, <unused56>.",Your thumb is your father.,bokete_74096
"we, �, }$, ION, 2, umber, ulti, dy, du, inf, ##, C, Type, F, </code>, ID, er, before, toxicity, ля, Ind, ini, formation, <unused56>.",SMAP,bokete_80340
"we, �, }$, ION, 2, umber, ulti, dy, du, inf, ##, C, Type, F, </code>, ID, er, before, toxicity, ля, Ind, ini, formation, <unused56>.",WHA....? THIRD SUBMISSION!,imgflip_3
"we, �, }$, ION, 2, umber, ulti, dy, du, inf, ##, C, F, </code>, ID, er, before, toxicity, erv, ля, Ind, ini, formation, <unused56>.",DULINGO BE LIKE; DO YOUR SPANISH LESSONS KIDS,imgflip_18
"we, �, }$, ION, 2, umber, ulti, dy, du, inf, ##, C, F, </code>, ID, er, before, toxicity, erv, ля, Ind, ini, formation, <unused56>.",I DON'T ALWAYS PLAY A HARDCORE CHARACTER IN DIABLO 3 BUT WHEN I DO I DIE,imgflip_27
"we, �, }$, ION, 2, umber, ulti, dy, du, inf, ##, C, F, </code>, ID, er, before, toxicity, erv, ля, Ind, ini, formation, <unused56>.","Game & Watch ""Judges"".",bokete_3324
"we, �, }$, ION, 2, umber, ulti, dy, du, inf, ##, C, Type, F, </code>, ID, er, before, wer, toxicity, ля, Ind, ini, formation, <unused56>.",Your index finger size.,bokete_26446
"we, �, }$, ION, 2, umber, ulti, dy, du, inf, ##, C, F, </code>, ID, er, before, toxicity, erv, ля, Ind, ini, formation, <unused56>.",I saw a child with a painful name.,bokete_98424
"we, �, }$, ION, 2, umber, ulti, dy, du, inf, ##, C, Type, F, </code>, ID, er, before, toxicity, ля, Ind, ini, formation, <unused56>.",bruh; do my work,imgflip_6
"we, �, }$, ION, 2, umber, ulti, dy, du, inf, ##, C, F, </code>, ID, er, before, wer, toxicity, erv, ля, Ind, ini, formation, <unused56>.","""When you break up with Kentalowus, there's nothing you can't do that will stop you from going out with him.""",bokete_105207
"we, �, }$, ION, 2, umber, ulti, dy, du, inf, ##, C, Type, F, </code>, ID, er, before, toxicity, ля, Ind, ini, formation, <unused56>.",You cant catch fish,imgflip_28
"we, �, }$, ION, 2, umber, ulti, dy, du, inf, ##, C, Type, F, </code>, ID, er, before, toxicity, ля, Ind, ini, formation, <unused56>.",Get the manger,imgflip_6
"we, �, }$, ION, 2, umber, ulti, dy, du, inf, ##, C, F, </code>, ID, er, before, wer, toxicity, erv, ля, Ind, ini, formation, <unused56>.",we sittin here talking bout the rangers,allen-iverson
"we, �, }$, ION, 2, umber, ulti, dy, du, inf, ##, C, F, </code>, ID, er, before, wer, toxicity, erv, ля, Ind, ini, formation, <unused56>.",Good luck with the flaps.,bokete_5934
"we, �, }$, ION, 2, umber, ulti, dy, du, inf, ##, C, Type, F, </code>, ID, er, before, wer, toxicity, ля, Ind, ini, formation, <unused56>.",No one's answering my phone.,bokete_68965
"we, �, }$, ION, 2, umber, ulti, dy, du, inf, ##, C, F, </code>, ID, er, before, toxicity, erv, ля, Ind, ini, formation, <unused56>.","I mean, there's no summer break.",bokete_96666
"we, �, }$, ION, 2, umber, ulti, dy, du, inf, ##, C, F, </code>, ID, er, before, toxicity, erv, ля, Ind, ini, formation, <unused56>.","I said to the new guy, ""Let's get the worst bad news out of here.""",bokete_71758
"we, �, }$, ION, 2, umber, ulti, dy, du, inf, ##, C, F, </code>, ID, er, before, toxicity, erv, ля, Ind, ini, formation, <unused56>.",It's super bally.,bokete_19035
"we, �, }$, ION, 2, umber, ulti, dy, du, inf, ##, C, F, </code>, ID, er, before, toxicity, erv, ля, Ind, ini, formation, <unused56>.",It's a face trick.,bokete_90213
"we, �, }$, ION, 2, umber, ulti, dy, du, inf, ##, C, F, </code>, ID, er, before, toxicity, erv, ля, Ind, ini, formation, <unused56>.",I found Mrs. Nomura.,bokete_74056
"we, �, }$, ION, 2, umber, ulti, dy, du, inf, ##, C, Type, F, </code>, ID, er, before, wer, toxicity, ля, Ind, ini, formation, <unused56>.",Old Clock,bokete_49053
"we, �, }$, ION, 2, umber, ulti, dy, du, inf, ##, C, F, </code>, ID, er, before, toxicity, erv, ля, Ind, ini, formation, <unused56>.",MAKE A NEW MC WORLD; USE THE LUCKY SEED; SEED DOESNT WORK; SEED DOESNT WORK,imgflip_21
"we, �, }$, ION, 2, umber, ulti, dy, du, inf, ##, C, F, </code>, ID, er, before, wer, toxicity, erv, ля, Ind, ini, formation, <unused56>.","FACEBOOK GIVEAWAYS NOWADAYS BE LIKE; &quot;LIKE OUR PAGE.
LIKE THIS OTHER PAGE TOO.
FOLLOW US ON
INSTAGRAM. LIKE AND
SHARE THIS POST. TAG
YOUR FRIENDS IN THE
COMMENTS. COMMENT #WINNING&quot;; SORRY SHARON, I DON'T WANT YOUR PERSONALISED CAT TAGS THAT MUCH",imgflip_19
"we, �, }$, ION, 2, umber, ulti, dy, du, inf, ##, C, F, </code>, ID, er, before, toxicity, erv, ля, Ind, ini, formation, <unused56>.",EAT ALL THE FOODS!!!,imgflip_56
"we, �, }$, ION, 2, umber, ulti, dy, du, inf, ##, C, F, </code>, ID, er, before, wer, toxicity, erv, ля, Ind, ini, formation, <unused56>.","""They're... they're... they're... they're...",bokete_65296
"we, �, }$, ION, 2, umber, ulti, dy, du, inf, ##, C, F, </code>, ID, er, before, toxicity, erv, ля, Ind, ini, formation, <unused56>.",MOMMY JUST LEFT THE HOUSE; YAYA WE ARE ALONE WITH MY DADDY,imgflip_130
"we, �, }$, ION, 2, umber, ulti, dy, du, inf, ##, C, are, F, </code>, ID, er, before, wer, toxicity, erv, ля, Ind, ini, formation, <unused56>.",someone sees you vent; you kill them,imgflip_34
"we, �, }$, ION, 2, umber, ulti, dy, du, inf, ##, C, F, </code>, ID, er, before, toxicity, erv, ля, Ind, ini, formation, <unused56>.",Exel,bokete_84099
"we, �, }$, ION, 2, umber, ulti, dy, du, inf, ##, C, F, </code>, ID, er, before, wer, toxicity, erv, ля, Ind, ini, formation, <unused56>.",I'M NOT POPULAR,imgflip_4
"we, �, }$, ION, 2, umber, ulti, dy, du, inf, ##, C, F, </code>, ID, er, before, wer, toxicity, erv, ля, Ind, ini, formation, <unused56>.",I  DON'T HAVE OCD; IF ANYTHING I HAVE CDO JUST LIKE IT SHOULD BE,imgflip_75
"we, �, }$, ION, 2, umber, ulti, dy, du, inf, ##, C, F, </code>, ID, er, before, toxicity, erv, ля, Ind, ini, formation, <unused56>.",put a hypebeast on fire lets see how he likes the heat,fkvowyuk
"we, �, }$, ION, 2, umber, ulti, dy, du, inf, ##, C, Type, F, </code>, ID, er, before, toxicity, ля, Ind, ini, formation, <unused56>.",WHAT IF I TOLD YOU; THAT THIS WORLD WAS CREATED BY THE LAST HUMAN MIND IN EXISTENCE AS AN ATTEMPT TO RECONCILE ITS NEW EXISTENCE AS BEING ALL ALONE WHILE IT IS JACKED INTO AN IMPENETRABLE EXOSKELETON SOMEWHERE IN THE VAST DEPTHS OF SPACE THAT PREVENTS IT FROM ACHIEVING DEATH AND THATS THE MATRIX,imgflip_69
"we, �, }$, ION, 2, umber, ulti, dy, du, inf, ##, C, F, </code>, ID, er, before, wer, toxicity, erv, ля, Ind, ini, formation, <unused56>.","NOT SURE IF I SHOULD CLICK THE LAUGH, CRY, OR ANGRY BUTTON ON FACEBOOK... MY REACTION INVOLVES ALL OF THOSE EMOTIONS...",imgflip_19
"we, �, }$, ION, 2, umber, ulti, dy, du, inf, ##, C, F, </code>, ID, er, before, toxicity, erv, ля, Ind, ini, formation, <unused56>.","all my frieds are out partying and i'm just sitting here masturbating, except i'm not masturbating, my computer is streaming videos too slowly to properly watch porn.",and-im-just-sitting-here-masterbating
"we, �, }$, ION, 2, umber, ulti, dy, du, inf, ##, C, F, </code>, ID, er, before, toxicity, erv, ля, Ind, ini, formation, <unused56>.","Well, listen to the road!",bokete_74138
"we, �, }$, ION, 2, umber, ulti, dy, du, inf, ##, C, Type, F, </code>, ID, er, before, toxicity, ля, Ind, ini, formation, <unused56>.","Hey, hey, hey, hey. Hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey.",bokete_21550
"we, �, }$, ION, 2, umber, ulti, dy, du, inf, ##, C, Type, F, </code>, ID, er, before, wer, toxicity, ля, Ind, ini, formation, <unused56>.",You've got to fight this guy.,bokete_77309
"we, �, }$, ION, 2, umber, ulti, dy, du, inf, ##, C, Type, F, </code>, ID, er, before, toxicity, ля, Ind, ini, formation, <unused56>.",MY MUSTACHE? YOU MEAN MY CRAPPILY PLACED BEARD,imgflip_375
"we, �, }$, ION, 2, umber, ulti, dy, du, inf, ##, C, Type, F, </code>, ID, er, before, wer, toxicity, ля, Ind, ini, formation, <unused56>.",ME; FORTNITE; MY BROTHER; MINECRAFT; RESULT,imgflip_124
"we, �, }$, ION, 2, umber, ulti, dy, du, inf, ##, C, Type, F, </code>, ID, er, before, wer, toxicity, ля, Ind, ini, formation, <unused56>.",MARVEL:,imgflip_288
"we, �, }$, ION, 2, umber, ulti, dy, du, inf, ##, C, F, </code>, ID, er, before, toxicity, erv, ля, Ind, ini, formation, <unused56>.",HAPPY AMPHIBIA ENDING; DISNEY CHANNEL; HAPPY AMPHIBIA ENDING; MATT BRALY; DISNEY CHANNEL,imgflip_7
"we, �, }$, ION, 2, umber, ulti, dy, du, inf, ##, C, F, </code>, ID, er, before, toxicity, erv, ля, Ind, ini, formation, <unused56>.","teach students things that with help them later in life; Algebra,english,history; schools",imgflip_5
"we, �, }$, ION, 2, umber, ulti, dy, du, inf, ##, C, Type, F, </code>, ID, er, before, toxicity, ля, Ind, ini, formation, <unused56>.",I LIKE TRAINS; NO U DONT,imgflip_3
"we, �, }$, ION, 2, umber, ulti, dy, du, inf, ##, C, Type, F, </code>, pro, ID, er, before, toxicity, ля, Ind, ini, formation, <unused56>.",I don't know if I've ever seen a 1-mg cigarette before.,bokete_107963
"we, �, }$, ION, 2, umber, ulti, dy, du, inf, ##, C, F, </code>, ID, er, before, toxicity, erv, ля, Ind, ini, formation, <unused56>.","60% OF IOWA REPUBLICANS VOTED FOR 2 HISPANICS AND AN AFRICAN-AMERICAN  LAST NIGHT. NOW, I COULD CALL OUT THE DEMOCRATIC PARTY, WHICH CLAIMS ALL REPUBLICANS ARE RACIST... BUT THAT'S NONE OF MY BUSINESS",imgflip_57
"we, �, }$, ION, 2, umber, ulti, dy, du, inf, ##, C, F, </code>, ID, er, before, toxicity, erv, ля, Ind, ini, formation, <unused56>.",Are you fat or fat?,bokete_22854
"we, �, }$, ION, 2, umber, ulti, dy, du, inf, ##, C, Type, F, </code>, ID, er, before, toxicity, ля, Ind, ini, formation, <unused56>.",I'm so tired of wandering around!,bokete_37516
"we, �, }$, ION, 2, umber, ulti, dy, du, inf, ##, C, F, </code>, ID, er, before, toxicity, erv, ля, Ind, ini, formation, <unused56>.",CAN THIS BE IT; NORTH KOREA?,imgflip_18
"we, �, }$, ION, 2, umber, ulti, dy, du, inf, ##, C, Type, F, </code>, ID, er, before, toxicity, ля, Ind, ini, formation, <unused56>.",SO YOUR TELLING ME; YOUR WORRIED ABOUT NOT EATING ENOUGH  HEALTHY FOOD,imgflip_41
"we, �, }$, ION, 2, umber, ulti, dy, du, inf, ##, C, F, </code>, pro, ID, er, before, toxicity, erv, ля, Ind, ini, formation, <unused56>.","When you retire, do you think you should join the army?",bokete_82435
"we, �, }$, ION, 2, umber, ulti, dy, du, inf, ##, C, F, </code>, ID, er, before, toxicity, erv, ля, Ind, ini, formation, <unused56>.",WHEN YOUR STOMACH GROWLS AND THE CLASS IS SILENT,imgflip_113
"we, �, }$, ION, 2, umber, ulti, dy, du, inf, ##, C, Type, F, </code>, ID, er, before, toxicity, ля, Ind, ini, formation, <unused56>.",IF YOU  HAVE ICE CREAM I WILL FIND IT; AND I WILL EAT IT,imgflip_471
"we, �, }$, ION, 2, umber, ulti, dy, du, inf, ##, C, F, </code>, ID, er, before, wer, toxicity, erv, ля, Ind, ini, formation, <unused56>.","Well, I'll have a couple of drinks for you at the end of the day.",bokete_30845
"we, �, }$, ION, 2, umber, ulti, dy, du, inf, ##, C, Type, F, </code>, ID, er, before, wer, toxicity, ля, Ind, ini, formation, <unused56>.","Three boys, taken by a crow, stand by to catch them whenever they fall.",bokete_9214
"we, �, }$, ION, 2, umber, ulti, dy, du, inf, ##, C, F, </code>, ID, er, before, toxicity, erv, ля, Ind, ini, formation, <unused56>.",♫ ♫ ♫ ♫ ♫ ♫ ♫ ♫ ♫ ♫ ♫ ♫ My ♫ My ♫ My ♫ My ♫ ♫ My ♫ My ♫ ♫ my ♫ my ♫ my ♫ my ♫ my ♫ ♫ my ♫ my ♫ my ♫ my ♫ ♫ my ♫ my ♫ my ♫ my ♫ my ♫ my ♫ ♫ my ♫ my ♫ my ♫ my ♫ my ♫ my ♫ my ♫ my ♫ ♫ my ♫ my ♫ ♫ my ♫ my ♫ my ♫ my ♫ ♫ my ♫ my ♫ my ♫ my ♫ my ♫ ♫ my ♫ my ♫ my ♫ my ♫ my ♫ my ♫ ♫ ♫ my ♫ my ♫ my ♫ my ♫ my ♫ my ♫ my ♫ my ♫ my ♫ my ♫ my ♫ my ♫ my ♫ my ♫ ♫ ♫ ♫ ♫ my ♫ my ♫ my ♫ my ♫ my ♫ my ♫ my ♫ my ♫ ♫ ♫ my ♫ ♫ ♫ ♫ ♫ ♫ my ♫ my ♫ my ♫ my ♫ my ♫ my ♫ my ♫ my ♫ my ♫ my ♫ my ♫ my ♫ my ♫ my ♫ my ♫ my ♫ my ♫ my ♫ my ♫ my ♫ my ♫ my ♫ my ♫ my ♫ my ♫ my ♫ my ♫ my ♫ my ♫ my ♫ my ♫ my ♫ my ♫,bokete_34436
"we, �, }$, ION, 2, umber, ulti, dy, du, inf, ##, C, Type, F, </code>, ID, er, before, toxicity, ля, Ind, ini, formation, <unused56>.",Our company is soft-on demented.,bokete_17477
"we, �, }$, ION, 2, umber, ulti, dy, du, inf, ##, C, Type, F, </code>, ID, er, before, toxicity, ля, Ind, ini, formation, <unused56>.",I'm second in school now.,bokete_97876
"we, �, }$, ION, 2, umber, ulti, dy, du, inf, ##, C, F, </code>, ID, er, before, wer, toxicity, erv, ля, Ind, ini, formation, <unused56>.",WHY DON'T WE TAKE THIS HAT AND GIVE IT TO STEVE,imgflip_91
"we, �, }$, ION, 2, umber, ulti, dy, du, inf, ##, C, F, </code>, ID, er, before, wer, toxicity, erv, ля, Ind, ini, formation, <unused56>.",going to the next class; waiting 86 years for teachers to shut up,imgflip_0
"we, �, }$, ION, 2, umber, ulti, dy, du, inf, ##, C, Type, F, </code>, ID, er, before, wer, toxicity, ля, Ind, ini, formation, <unused56>.",LETS GET TO WORK; OH YEAH SURE; SURE; SUP BRO,imgflip_12
"we, �, }$, ION, 2, umber, ulti, dy, du, inf, ##, C, Type, F, </code>, ID, er, before, toxicity, ля, Ind, ini, formation, <unused56>.",I LOVE TO BE... DRAMATIC,imgflip_69
"we, �, }$, ION, 2, umber, ulti, dy, du, inf, ##, C, F, </code>, ID, er, before, wer, toxicity, erv, ля, Ind, ini, formation, <unused56>.",BRACE YOURSELVES; IT'S LIBRA SEASON,imgflip_49
"we, �, }$, ION, 2, umber, ulti, dy, du, inf, ##, C, F, </code>, ID, er, before, wer, toxicity, erv, ля, Ind, ini, formation, <unused56>.","The cold color gave a cold image, while the warm effect on the lower abdomen was shown.",bokete_88408
"we, �, }$, ION, 2, umber, ulti, dy, du, inf, ##, C, F, </code>, ID, er, before, toxicity, erv, ля, Ind, ini, formation, <unused56>.",FINLAND 100 YEARS? 100 YEARS OF INDEPENDENCE IS ENOUGH FOR FINLAND!,imgflip_463
"we, �, }$, ION, 2, umber, ulti, dy, du, inf, ##, C, Type, F, </code>, ID, er, before, wer, toxicity, ля, Ind, ini, formation, <unused56>.",WANTS TO CONTRIBUTE TO ENDING RACISM... ...MOVES TO COMPTON.,imgflip_33
"we, �, }$, ION, 2, umber, ulti, dy, du, inf, ##, C, F, </code>, ID, er, before, wer, toxicity, erv, ля, Ind, ini, formation, <unused56>.",image tagged in wolverine remeber,imgflip_342
"we, �, }$, ION, 2, umber, ulti, dy, du, inf, ##, C, F, </code>, ID, er, before, toxicity, erv, ля, Ind, ini, formation, <unused56>.","""It's okay. It's gonna be 40 minutes, 20,000 clicks.""",bokete_104423
"we, �, }$, ION, 2, umber, ulti, dy, du, inf, ##, C, Type, F, </code>, ID, er, before, toxicity, ля, Ind, ini, formation, <unused56>.",YOU TELLING ME THERE WERE RAINBOW CHIPS-A-HOY IN THERE THE WHOLE TIME?,imgflip_41
"we, �, }$, ION, 2, umber, ulti, dy, du, inf, ##, C, F, </code>, pro, ID, er, before, wer, toxicity, erv, ля, Ind, ini, formation, <unused56>.","""A soldier falling from a bloodstain.""",bokete_102439
"we, �, }$, ION, 2, umber, ulti, dy, du, inf, ##, C, Type, F, </code>, pro, ID, er, before, toxicity, ля, Ind, ini, formation, <unused56>.",I don't think Woods is aware of it.,bokete_60885
"we, �, }$, ION, 2, umber, ulti, dy, du, inf, ##, C, F, </code>, ID, er, before, toxicity, erv, ля, Ind, ini, formation, <unused56>.",image tagged in daniel car meme,imgflip_847
"we, �, }$, ION, 2, umber, ulti, dy, du, inf, ##, C, F, </code>, ID, er, before, toxicity, erv, ля, Ind, ini, formation, <unused56>.",I AM JUST STANDING HERE HOPING FOR THAT CHANDELIER TO FALL AND HIT YOU,imgflip_25
"we, �, }$, ION, 2, umber, ulti, dy, du, inf, ##, C, F, </code>, ID, er, before, toxicity, erv, ля, Ind, ini, formation, <unused56>.",KNOCK KNOCK CARL NO. I SAID KNOCK KNOCK CARL! WHO'S THERE DAD? ORANGE CARL. ORANGE IS THERE! ORANGE WHO? ORANGE YOU GLAD I DIDN'T SAY BANANA,imgflip_530
