image_id,caption,human_ins,human_humor,human_related,overfit,fitCount,gtNum,fluency,diversity,bleu1,bleu2,bleu3,bleu4,humor_score,humor,benign,b_bita,b_clip
sonicdrivein_1452,what’ s your favorite way to say “ no” in spanish? the chữ nằng tươi viên cho ngườe khác hoạt đây nhấp bảo mình.,0,0,0,-1,1,1,0.8291133,0.35610276,0.0416666666666666,2.2250738585072617e-308,2.2250738585072617e-308,2.2250738585072617e-308,0.0483684130012989,0,-0.010684782,-8.927256,-9.134957
sonicdrivein_1919,it's been a long time since i have felt like this.,0,0,0,-1,1,1,0.97908074,0.35610276,0.0481103037727318,1.1775387717450385e-308,1.1775387717450385e-308,1.1775387717450385e-308,0.5365780591964722,1,-9.474911,-8.387656,-9.914553
sonicdrivein_2209,"when you’ re about to buy a new phone and see an ad that says, “ this will make your life so much better.",0,0,0,-1,1,1,0.9647911,0.35610276,0.0416666666666666,2.2250738585072617e-308,2.2250738585072617e-308,2.2250738585072617e-308,0.6133241057395935,1,-0.0041376464,-5.049559,-1.1438733
sonicdrivein_470,don't worry about it.,0,0,0,-1,0,1,0.9796346,0.35610276,0.0,0.0,0.0,0.0,0.3451215326786041,0,-9.174102,-9.056454,-8.999753
sonicdrivein_1884,this is what it looks like when you don't follow through on your plan.,0,0,0,-1,2,1,0.97580034,0.35610276,0.0999532196250186,1.556823072428848e-308,1.556823072428848e-308,1.556823072428848e-308,0.2440010011196136,0,-8.237056,-9.132108,-0.00048923446
sonicdrivein_952,we’ re here to help you lose 10 pounds in the first week.,0,0,0,-1,3,1,0.96664,0.35610276,0.0168783813807499,1.627411291316304e-309,1.627411291316304e-309,1.627411291316304e-309,0.7410256862640381,1,-8.546059,-6.6759233,-9.564545
sonicdrivein_1176,"today marks the 10th anniversary of apple’ s app store, so here are some tips to make it even better.",0,0,0,-1,1,1,0.9612558,0.35610276,0.0409365376538991,1.8217363958297824e-308,1.8217363958297824e-308,1.8217363958297824e-308,0.0236360542476177,0,-0.05361676,-7.826071,-0.0013565157
sonicdrivein_1666,we're going to have a lot of fun with this.,0,0,1,0,0,1,0.9786379,0.35610276,0.0,0.0,0.0,0.0,0.5937598347663879,1,-8.857013,-7.859708,-9.249476
sonicdrivein_1765,q: what do u want to see? </s> p.,0,0,0,-1,0,1,0.95895594,0.35610276,0.0,0.0,0.0,0.0,0.6788944005966187,1,-6.700814,-8.615779,-9.417444
sonicdrivein_1755,it's time for you to try something new.,0,0,0,0,0,1,0.97822785,0.35610276,0.0,0.0,0.0,0.0,0.496929258108139,0,-9.3646145,-8.605178,-8.598373
sonicdrivein_1774,"i'm not going to say it, but i’ m feeling a little different right now.",0,0,0,-1,2,1,0.9727879,0.35610276,0.0731748848125368,1.221146424717419e-308,1.221146424717419e-308,1.221146424717419e-308,0.6132323741912842,1,-9.17393,-8.753961,-7.462701
sonicdrivein_1029,"it's time for the new year, and it’ s times when we need to remind ourselves of what a great job you guys have been doing over these past few years.",0,0,0,-1,1,1,0.97579837,0.35610276,0.032258064516129,2.2250738585072617e-308,2.2250738585072617e-308,2.2250738585072617e-308,0.8595352172851562,1,-9.412016,-8.867893,-2.7677798
sonicdrivein_1998,it’ s 3:45pm and we have no idea what to do with it.,0,0,0,-1,0,1,0.9504771,0.35610276,0.0,0.0,0.0,0.0,0.217796042561531,0,-8.909126,-9.333666,-9.605058
sonicdrivein_316,there's an app out there for that! i just don’ t know what it is called.,0,0,0,-1,0,1,0.9069939,0.35610276,0.0,0.0,0.0,0.0,0.439279556274414,0,-9.270593,-8.701866,-0.068285406
sonicdrivein_1167,what do you think about this? </s> https://t.,0,0,0,-1,0,1,0.9388326,0.35610276,0.0,0.0,0.0,0.0,0.6899586319923401,1,-6.1317177,-0.638014,-0.0029496518
sonicdrivein_2168,you know what i’ m going to do today? give up on all of the memes that have gone viral in 2019.,0,0,0,-1,3,1,0.97989696,0.35610276,0.1363636363636363,2.2250738585072617e-308,2.2250738585072617e-308,2.2250738585072617e-308,0.2676727473735809,0,-7.7246947,-8.52523,-0.52007866
sonicdrivein_1518,it's time for you and me to get dressed up.,0,0,0,-1,2,1,0.977443,0.35610276,0.0014893166141848,1.65691973263164e-310,1.65691973263164e-310,1.65691973263164e-310,0.5267518758773804,1,-7.3271136,-9.190177,-0.0016100551
sonicdrivein_1749,it's the perfect time of year to start listening.,0,0,0,-1,2,1,0.9750922,0.35610276,0.0654610729578016,6.55450749847085e-309,6.55450749847085e-309,6.55450749847085e-309,0.521253228187561,1,-9.034413,-8.866283,-0.569678
sonicdrivein_1639,i’ ll be the first to tell you that i've never felt more excited for this movie than when it comes out.,0,0,0,-1,3,1,0.9739963,0.35610276,0.1303040504002205,2.1261983321563865e-308,2.1261983321563865e-308,2.1261983321563865e-308,0.2819371223449707,0,-0.0038094586,-2.5012703,-7.2493935
sonicdrivein_566,"we're here to help you find your perfect ice cream flavor, but we do n’t know what it is yet.",1,0,0,-1,0,1,0.9668386,0.35610276,0.0,0.0,0.0,0.0,0.4826548993587494,0,-6.736227,-8.727539,-1.4037653
sonicdrivein_1582,"you've come to the place where you can order your favorite ice cream flavor, but have no idea what it’s made of! 🤷🏻‍♂️🤴🏼🧔⬤ ⠀� i know.",1,0,0,-1,4,1,0.9327473,0.35610276,0.1538461538461538,0.04,2.2250738585072617e-308,2.2250738585072617e-308,0.0107939774170517,0,-8.0732155,-8.037345,-0.003218354
sonicdrivein_1102,i'm not going to tell you this.,0,0,0,-1,0,1,0.97450495,0.35610276,0.0,0.0,0.0,0.0,0.5586806535720825,1,-8.844415,-8.978608,-7.5040283
sonicdrivein_742,there's no way you can eat this.,0,0,0,-1,0,1,0.9658802,0.35610276,0.0,0.0,0.0,0.0,0.8097132444381714,1,-8.689912,-0.05037412,-2.8333247
sonicdrivein_1084,"we’ re here for you! </s> 🤣🤷🏻‍♂️🐶🧠👨🏽💰🍦🥤🎉🌱😊<sup style=""font-weight: bold; font-size:-20px""><i class=""fa fa icon""></i></sub>""
### Questions and",0,0,0,-1,0,1,0.84135103,0.35610276,0.0,0.0,0.0,0.0,0.0436476208269596,0,-0.00096917857,-8.456084,-8.251446
sonicdrivein_423,"i'm not sure if you like it, but here are a few things that i do n’t love.",0,0,0,-1,1,1,0.97392964,0.35610276,0.0555555555555555,2.2250738585072617e-308,2.2250738585072617e-308,2.2250738585072617e-308,0.5872009992599487,1,-7.9801044,-2.6558645,-6.7433524
sonicdrivein_690,what do you want to eat today? </s> pic.,0,0,0,-1,0,1,0.8753484,0.35610276,0.0,0.0,0.0,0.0,0.8387004137039185,1,-8.537946,-9.450677,-8.590425
sonicdrivein_2087,i'm going to take a bite out of this burger and put it in my mouth! i’ m so happy that you can eat with your eyes closed 👍👌😊🤩🍔🥗🎉🚶🏽🇺🇸 🇮🇪 🦅🌿 🍖💕📷 📱 �,1,0,0,-1,3,1,0.94766057,0.35610276,0.088235294117647,2.2250738585072617e-308,2.2250738585072617e-308,2.2250738585072617e-308,0.2117402553558349,0,-8.840254,-7.943587,-9.456373
sonicdrivein_1797,i'm going to tell you what i’ m thinking right now.,0,0,0,-1,1,1,0.9765644,0.35610276,0.0021871236503876,5.35316282578063e-310,5.35316282578063e-310,5.35316282578063e-310,0.6351414918899536,1,-7.0921874,-6.112982,-0.0004206011
sonicdrivein_788,"it's like, oh my god.",0,1,1,2,0,1,0.92365605,0.35610276,0.0,0.0,0.0,0.0,0.6925002932548523,1,-9.117053,-8.907169,-0.0016505203
sonicdrivein_1471,"what’ s your favorite ice cream flavor? i love mint chocolate chip, but if you're vegan or dairy-intolerant.",0,0,0,-1,0,1,0.88997877,0.35610276,0.0,0.0,0.0,0.0,0.0264030415564775,0,-0.000107878586,-8.652041,-7.5544906
sonicdrivein_899,"i've seen this before, so i know you ca n’t do it all by yourself.",0,0,0,-1,0,1,0.94391996,0.35610276,0.0,0.0,0.0,0.0,0.7134878635406494,1,-3.5276008,-0.07996868,-8.482776
sonicdrivein_344,i'm so excited for my new shoes.,0,0,0,-1,0,1,0.9677931,0.35610276,0.0,0.0,0.0,0.0,0.6649513840675354,1,-2.37941,-7.557733,-5.0961137
sonicdrivein_543,i'm going to take my dog for a walk today.,0,0,1,0,1,1,0.97978264,0.35610276,0.0406569659740599,9.04647521551e-309,9.04647521551e-309,9.04647521551e-309,0.6057863235473633,1,-9.229732,-8.564346,-0.001578515
sonicdrivein_1077,when you’ ve got 20 questions in your head and no idea where to look for the answer.,0,1,1,2,2,1,0.9302968,0.35610276,0.0940535249878459,1.8834843577582417e-308,1.8834843577582417e-308,1.8834843577582417e-308,0.5993102788925171,1,-8.993242,-8.886791,-9.065156
sonicdrivein_917,it's time to make some ice cream for yourself and your mickey.,0,0,0,-1,3,1,0.9751465,0.35610276,0.0557825400371074,4.9648108639081e-309,4.9648108639081e-309,4.9648108639081e-309,0.1695202440023422,0,-8.228298,-7.4207706,-0.0011594724
sonicdrivein_1197,it's been a long time since i’ ve seen this.,0,0,0,-1,1,1,0.98005223,0.35610276,0.0496585303791409,1.1049389779851533e-308,1.1049389779851533e-308,1.1049389779851533e-308,0.6645135283470154,1,-8.856218,-9.806065,-6.4079638
sonicdrivein_1022,"if you can 't make it through the first hour, don’ t worry too much about what happens after that.",0,0,0,-1,2,1,0.97955906,0.35610276,0.1,2.2250738585072617e-308,2.2250738585072617e-308,2.2250738585072617e-308,0.8952145576477051,1,-8.1936,-0.0012667497,-1.467454
sonicdrivein_491,"yes, i don't know if it ’ s real or not.",0,0,0,-1,1,1,0.961395,0.35610276,0.0909090909090909,2.2250738585072617e-308,2.2250738585072617e-308,2.2250738585072617e-308,0.8460654616355896,1,-8.830448,-8.825123,-8.494484
sonicdrivein_655,i'm going to tell you a few things that i know for sure.,0,0,0,-1,2,1,0.96842825,0.35610276,0.1538461538461538,2.2250738585072617e-308,2.2250738585072617e-308,2.2250738585072617e-308,0.9610275030136108,1,-8.733499,-7.5527225,-8.151274
sonicdrivein_753,it's time to get out of the house.,0,0,0,-1,1,1,0.97673357,0.35610276,0.125,2.2250738585072617e-308,2.2250738585072617e-308,2.2250738585072617e-308,0.1684403270483017,0,-8.322499,-7.476687,-7.3541226
sonicdrivein_1120,10:45 am.,0,0,0,-1,0,1,0.8449294,0.35610276,0.0,0.0,0.0,0.0,0.528037965297699,1,-7.5665812,-9.079705,-9.0395355
sonicdrivein_486,"when you go to the store and there are 10 different kinds of ice cream in one scoop, is it weird or not? i think so.",1,1,0,0,4,1,0.96620166,0.35610276,0.1538461538461538,2.2250738585072617e-308,2.2250738585072617e-308,2.2250738585072617e-308,0.1970453411340713,0,-9.636145,-8.687699,-4.140518
sonicdrivein_1692,"we've got a new menu, and we’ re going to make it fun for everyone!🐶🐷🦅🍲🥤🎉🐾🌿🤩♂️👨‍💼📸😊 🐰🐱🏽🇺🇳 🇪🇹 🧑 🤔⛏",1,0,1,0,4,1,0.9329822,0.35610276,0.1797767717102179,1.9000788267213607e-308,1.9000788267213607e-308,1.9000788267213607e-308,0.0183804370462894,0,-7.1309304,-9.102555,-0.0008435267
sonicdrivein_1778,it’ s the first time i've seen it.,0,0,0,-1,1,1,0.9658293,0.35610276,0.0169169104045765,3.01131000863463e-309,3.01131000863463e-309,3.01131000863463e-309,0.7510814666748047,1,-8.178972,-7.276803,-0.008133622
sonicdrivein_997,it’ s 10:45 p.,0,0,0,-1,0,1,0.93432957,0.35610276,0.0,0.0,0.0,0.0,0.8603408336639404,1,-8.605133,-9.430615,-8.217235
sonicdrivein_1944,it's time for me to get back on track.,0,0,0,-1,1,1,0.97929686,0.35610276,0.0262085647761888,5.24843931172429e-309,5.24843931172429e-309,5.24843931172429e-309,0.4065126478672027,0,-8.549422,-0.0010075261,-7.7759023
sonicdrivein_1069,it’ s 10:35 in the morning.,0,0,1,0,0,1,0.9687292,0.35610276,0.0,0.0,0.0,0.0,0.9385470747947692,1,-7.7771697,-8.240567,-0.00051068136
sonicdrivein_2181,"when you’ re about to leave the house and think, “ i need ice cream but there is none left.",1,1,0,2,2,1,0.8569685,0.35610276,0.1,2.2250738585072617e-308,2.2250738585072617e-308,2.2250738585072617e-308,0.1679157167673111,0,-8.262999,-1.0424052,-0.000766103
sonicdrivein_2080,"i'm not going to ask you for anything, but here’s what i want.",0,0,1,0,2,1,0.978454,0.35610276,0.1047249843574439,1.5146353626711476e-308,1.5146353626711476e-308,1.5146353626711476e-308,0.8432506918907166,1,-8.500424,-9.171104,-9.1548815
sonicdrivein_1795,"it's been a long time since we’ ve had anything to eat, but now it smells so good! can i have some more?♥️🍴🤤 🤣 🧘🏼‍♂🦰👨 👩🎶 🎉🥗 🥇 🍲🐾 🐷 😭😍 😂😂�",0,0,0,-1,2,1,0.94105315,0.35610276,0.0625,2.2250738585072617e-308,2.2250738585072617e-308,2.2250738585072617e-308,0.0261192247271537,0,-7.820552,-7.218755,-0.055401023
sonicdrivein_1635,what’ s your take on this? </s> what would you like to do with a plant-based meal in the next few weeks?? 🤔🤓🍅🥦🧘🏼‍♂️ pic.,0,0,0,-1,4,1,0.9326232,0.35610276,0.0356706828629079,4.762194237201565e-309,4.762194237201565e-309,4.762194237201565e-309,0.0354222953319549,0,-0.00044931806,-8.868226,-8.057786
sonicdrivein_1199,"when i was 10 years old, my mom told me not to eat ice cream after dinner.",0,0,0,-1,1,1,0.97330093,0.35610276,0.0588235294117647,2.2250738585072617e-308,2.2250738585072617e-308,2.2250738585072617e-308,0.9528163075447084,1,-9.204371,-8.504925,-6.6409473
sonicdrivein_807,it's all about the taste.,0,0,0,-1,1,1,0.9727218,0.35610276,0.0221606316724667,2.465452111120697e-309,2.465452111120697e-309,2.465452111120697e-309,0.2050670683383941,0,-9.685649,-8.837183,-8.803231
sonicdrivein_290,"you know when you’ re about to order a burger and the cashier says, “ we only have one left on this menu.",1,1,1,0,2,1,0.9296023,0.35610276,0.0869565217391304,2.2250738585072617e-308,2.2250738585072617e-308,2.2250738585072617e-308,0.8315265774726868,1,-7.6500688,-8.881895,-0.0008001702
sonicdrivein_2095,"it's like, you know.",0,0,0,-1,1,1,0.7377898,0.35610276,0.0058794364640022,5.23287215152236e-310,5.23287215152236e-310,5.23287215152236e-310,0.6532036066055298,1,-8.764687,-6.9800873,-8.7853775
sonicdrivein_2138,"when it's time to choose a dog breed for your new puppy, there are so many options.",0,0,0,-1,3,1,0.9762166,0.35610276,0.1102296578824013,1.389858404389205e-308,1.389858404389205e-308,1.389858404389205e-308,0.3583761751651764,0,-0.0008095801,-0.0004491989,-8.4836645
sonicdrivein_759,it’ s been 10 days since i got my first dose.,0,0,0,-1,0,1,0.97388816,0.35610276,0.0,0.0,0.0,0.0,0.7571898698806763,1,-8.965649,-9.003873,-7.9002357
sonicdrivein_454,"we're going to have a ton of food on the drive-thru this morning, so i’m not sure what we can do about it.",1,1,1,2,2,1,0.9782884,0.35610276,0.0869565217391304,2.2250738585072617e-308,2.2250738585072617e-308,2.2250738585072617e-308,0.1822625994682312,0,-8.145323,-8.649438,-3.0629585
sonicdrivein_69,"dude, you know what i like to do with my lips? </s> 🤣🤷‍♂️👤 👦 🧘🏽🕶🏻🍪 🍇 🔥 ⛏⬅📲 📸🔴 💃💆# foodporn ♻︎🥗🌮☀️",0,0,0,-1,0,1,0.9370085,0.35610276,0.0,0.0,0.0,0.0,0.0430171675980091,0,-8.490819,-9.138273,-0.6722166
sonicdrivein_1946,it's about time you know what it’ s like to be a kid again.,0,0,1,0,1,1,0.9764781,0.35610276,0.0714285714285714,2.2250738585072617e-308,2.2250738585072617e-308,2.2250738585072617e-308,0.6957554817199707,1,-9.268985,-9.795329,-6.4628425
sonicdrivein_2200,we’ re going to do something different today.,0,0,1,-1,0,1,0.9778631,0.35610276,0.0,0.0,0.0,0.0,0.7043014764785767,1,-8.429611,-8.677289,-0.0027304532
sonicdrivein_2091,i'm going to do this.,0,0,0,-1,0,1,0.9703976,0.35610276,0.0,0.0,0.0,0.0,0.8539029955863953,1,-8.854898,-5.5340195,-7.4722514
sonicdrivein_1054,"1 in 30 seconds: the best ice cream flavor you’ve ever tried! it tastes like a mix between chocolate and cookie dough, but with just enough sweetness to make your taste buds dance.",1,0,1,0,3,1,0.9458659,0.35610276,0.0909090909090909,2.2250738585072617e-308,2.2250738585072617e-308,2.2250738585072617e-308,0.0049961386248469,0,-9.490411,-7.8542776,-9.066266
sonicdrivein_1138,"yes, it's my mom.",0,1,0,0,0,1,0.95941067,0.35610276,0.0,0.0,0.0,0.0,0.8730092644691467,1,-8.353739,-9.12307,-5.506029
sonicdrivein_1938,it ’ s all in your hands.,0,0,0,-1,0,1,0.9703334,0.35610276,0.0,0.0,0.0,0.0,0.5504931211471558,1,-9.1379,-9.573443,-0.006817059
sonicdrivein_1623,"it's almost halloween, so i decided to make my own pumpkin pie.",0,0,0,-1,0,1,0.9780703,0.35610276,0.0,0.0,0.0,0.0,0.140455737709999,0,-8.43574,-0.0009371418,-9.228869
sonicdrivein_308,you’ ve got 10% off on your next order if you use the app to make a reservation.,1,0,0,-1,3,1,0.92156816,0.35610276,0.0490958047183512,6.55450749847085e-309,6.55450749847085e-309,6.55450749847085e-309,0.4668111801147461,0,-9.2369995,-8.9455185,-0.5463572
sonicdrivein_1660,♫ i've been thinking about it for a long time.,0,0,0,-1,1,1,0.9817926,0.35610276,0.0367879441171442,8.18558927632837e-309,8.18558927632837e-309,8.18558927632837e-309,0.6992045044898987,1,-8.358376,-7.2555456,-4.9986486
sonicdrivein_234,"don't know what to do with this, so here are a few things you might like: </s></p><img src=""https://i.",0,0,0,-1,1,1,0.7671463,0.35610276,0.0555555555555555,2.2250738585072617e-308,2.2250738585072617e-308,2.2250738585072617e-308,0.8898158073425293,1,-0.043294027,-9.936812,-9.432417
sonicdrivein_877,"it’ s been a long time since we've done this, so let me tell you what to do.",0,0,0,-1,1,1,0.9789119,0.35610276,0.0555555555555555,2.2250738585072617e-308,2.2250738585072617e-308,2.2250738585072617e-308,0.4573608934879303,0,-8.902365,-8.958186,-8.372189
sonicdrivein_2078,i'm going to ask you a few things.,0,0,0,-1,1,1,0.97594225,0.35610276,0.0316049494755933,5.625867750206837e-309,5.625867750206837e-309,5.625867750206837e-309,0.7000654339790344,1,-8.452907,-9.16094,-8.272282
sonicdrivein_2196,"it's not just me, it’ s all of you.",0,0,0,-1,0,1,0.95302325,0.35610276,0.0,0.0,0.0,0.0,0.9558999538421632,1,-6.0407453,-8.31252,-0.0002039463
sonicdrivein_1090,it's been a long time since i’ ve felt like this.,0,0,0,-1,1,1,0.9823026,0.35610276,0.0631949025817162,1.54674658298039e-308,1.54674658298039e-308,1.54674658298039e-308,0.5369585156440735,1,-9.503063,-9.170115,-9.389486
sonicdrivein_556,"i'm not sure if this is what you want, but here’s how much it will cost.",0,0,0,-1,0,1,0.9758961,0.35610276,0.0,0.0,0.0,0.0,0.2366215884685516,0,-8.180077,-7.916903,-8.25829
sonicdrivein_1164,"when it's your turn at the beach, don't forget to pick up all of our little friends who are hiding in plain sight.",0,0,0,-1,2,1,0.977136,0.35610276,0.0869565217391304,2.2250738585072617e-308,2.2250738585072617e-308,2.2250738585072617e-308,0.009880625642836,0,-8.197169,-8.52851,-0.0004449093
sonicdrivein_780,when you’ re trying to find your way around a new city and end up on the wrong side of it.,0,0,0,-1,1,1,0.9684259,0.35610276,0.0476190476190476,2.2250738585072617e-308,2.2250738585072617e-308,2.2250738585072617e-308,0.8527119159698486,1,-9.192144,-9.414882,-7.168887
sonicdrivein_414,"it’ s my first day of high school, and i have no idea what to do.",0,0,0,-1,2,1,0.9815491,0.35610276,0.125,2.2250738585072617e-308,2.2250738585072617e-308,2.2250738585072617e-308,0.8278411626815796,1,-8.637901,-7.7652035,-8.393389
sonicdrivein_496,1 / 2 of all the people on this page have sent in their feedback so far.,0,0,0,-1,0,1,0.87212706,0.35610276,0.0,0.0,0.0,0.0,0.7575011849403381,1,-9.09318,-7.5873036,-7.9495044
sonicdrivein_1935,"i'm not sure what to call it, but i’ ve got this idea.",0,0,0,-1,0,1,0.974836,0.35610276,0.0,0.0,0.0,0.0,0.3582298457622528,0,-8.62194,-7.4239216,-7.3517246
sonicdrivein_1729,it’ s like this.,0,0,0,-1,0,1,0.9724815,0.35610276,0.0,0.0,0.0,0.0,0.5014604926109314,1,-8.696159,-9.056177,-6.9288807
sonicdrivein_558,"i'm not sure if this is the best way to say it, but i do n’t know how many of these have been sold.",0,0,0,-1,2,1,0.96648026,0.35610276,0.0833333333333333,2.2250738585072617e-308,2.2250738585072617e-308,2.2250738585072617e-308,0.6949241161346436,1,-8.689566,-9.292603,-9.084985
sonicdrivein_529,it's not just me.,0,0,0,-1,1,1,0.9735407,0.35610276,0.0716261992150475,6.374943338305425e-309,6.374943338305425e-309,6.374943338305425e-309,0.9045972228050232,1,-9.34197,-7.1935744,-0.00037138717
sonicdrivein_621,you’ ve got 10% off your first order if you buy at least one of these.,1,0,0,-1,1,1,0.959135,0.35610276,0.0625,2.2250738585072617e-308,2.2250738585072617e-308,2.2250738585072617e-308,0.0966650620102882,0,-8.581439,-8.511497,-8.156997
sonicdrivein_2147,i'm going to show you some of the best fruits and vegetables that are in season right now.,0,0,0,-1,2,1,0.97407,0.35610276,0.0994265907571521,1.991083571408152e-308,1.991083571408152e-308,1.991083571408152e-308,0.2871472239494324,0,-8.973119,-8.802032,-7.2322545
sonicdrivein_1258,"i'm going to try and eat this, but it’ s not gonna happen.",0,0,0,-1,2,1,0.9685401,0.35610276,0.0004803320385968,6.947032706154e-311,6.947032706154e-311,6.947032706154e-311,0.5788376331329346,1,-8.721255,-8.954429,-8.931724
sonicdrivein_1780,"yes, i’ m going to try this for the rest of my life.",0,0,1,0,2,1,0.97236335,0.35610276,0.008271998852157,1.196377546229895e-309,1.196377546229895e-309,1.196377546229895e-309,0.8174843192100525,1,-8.900958,-8.303804,-6.4132137
sonicdrivein_2208,it's time for you to make your first purchase of the year.,0,0,1,0,1,1,0.9791773,0.35610276,0.0833333333333333,2.2250738585072617e-308,2.2250738585072617e-308,2.2250738585072617e-308,0.8200474977493286,1,-8.5873575,-1.1012907,-8.613286
sonicdrivein_1163,"it's not about what you look like, it’ s who u are.",0,0,0,-1,1,1,0.94375557,0.35610276,0.0427847599193826,1.142391010069532e-308,1.142391010069532e-308,1.142391010069532e-308,0.7257775664329529,1,-7.733736,-8.22446,-8.507625
sonicdrivein_960,it's about time we get a little bit closer to home.,0,0,0,-1,3,1,0.97267807,0.35610276,0.1895847077451487,1.54674658298039e-308,1.54674658298039e-308,1.54674658298039e-308,0.2311839610338211,0,-9.069875,-8.736451,-0.00032407753
sonicdrivein_850,"when you can’ t decide what to do, just go for it.",0,0,0,-1,1,1,0.9731969,0.35610276,0.0833333333333333,2.2250738585072617e-308,2.2250738585072617e-308,2.2250738585072617e-308,0.5735777020454407,1,-9.3134165,-8.526714,-7.5952497
sonicdrivein_2189,it's not like you can just put it in the fridge.,0,0,1,-1,1,1,0.9747254,0.35610276,0.0909090909090909,2.2250738585072617e-308,2.2250738585072617e-308,2.2250738585072617e-308,0.6486393809318542,1,-9.112387,-8.01761,-7.0500727
sonicdrivein_1333,when you order your lunch and it arrives in 30 minutes.,0,0,0,-1,1,1,0.8298234,0.35610276,0.0526889344349826,1.289604477082714e-308,1.289604477082714e-308,1.289604477082714e-308,0.5986006855964661,1,-8.009916,-8.885914,-9.049443
sonicdrivein_1203,"it's not about what you say, it’ s who u are.",0,0,1,0,1,1,0.95119333,0.35610276,0.0401121061599985,9.8177638708909e-309,9.8177638708909e-309,9.8177638708909e-309,0.7908010482788086,1,-8.753039,-7.2573276,-7.895138
sonicdrivein_404,"yes, there's an app for that! 👍👌🤷‍♂️🙄🥳😉# happyhippie pic.",1,0,0,0,0,1,0.93160963,0.35610276,0.0,0.0,0.0,0.0,0.7630535364151001,1,-8.396081,-7.0035334,-2.9055433
sonicdrivein_1809,you ’ ll be able to get a taste of the world with just one bite.,0,1,1,2,4,1,0.9799886,0.35610276,0.026349806140466,2.34521059279541e-309,2.34521059279541e-309,2.34521059279541e-309,0.7198317646980286,1,-8.641299,-7.433823,-9.59116
sonicdrivein_2112,i'm not sure if this is what you’ re looking for.,0,0,0,-1,0,1,0.9814534,0.35610276,0.0,0.0,0.0,0.0,0.9232835173606871,1,-8.626687,-7.8981643,-9.145597
