index, name, memory.total [MiB], memory.used [MiB], memory.free [MiB], temperature.gpu, pstate, utilization.gpu [%], utilization.memory [%]
0, NVIDIA GeForce RTX 4090, 24564 MiB, 24128 MiB, 15 MiB, 47, P2, 100 %, 2 %
0, NVIDIA GeForce RTX 4090, 24564 MiB, 24128 MiB, 15 MiB, 47, P2, 100 %, 2 %
0, NVIDIA GeForce RTX 4090, 24564 MiB, 24128 MiB, 15 MiB, 46, P2, 96 %, 2 %
0, NVIDIA GeForce RTX 4090, 24564 MiB, 24128 MiB, 15 MiB, 44, P2, 0 %, 0 %
0, NVIDIA GeForce RTX 4090, 24564 MiB, 24128 MiB, 15 MiB, 44, P2, 0 %, 0 %
0, NVIDIA GeForce RTX 4090, 24564 MiB, 24128 MiB, 15 MiB, 46, P2, 86 %, 1 %
0, NVIDIA GeForce RTX 4090, 24564 MiB, 24128 MiB, 15 MiB, 47, P2, 100 %, 2 %
0, NVIDIA GeForce RTX 4090, 24564 MiB, 24128 MiB, 15 MiB, 47, P2, 100 %, 2 %
0, NVIDIA GeForce RTX 4090, 24564 MiB, 24128 MiB, 15 MiB, 46, P2, 84 %, 2 %
0, NVIDIA GeForce RTX 4090, 24564 MiB, 24128 MiB, 15 MiB, 46, P2, 96 %, 2 %
0, NVIDIA GeForce RTX 4090, 24564 MiB, 24128 MiB, 15 MiB, 44, P2, 0 %, 0 %
0, NVIDIA GeForce RTX 4090, 24564 MiB, 24128 MiB, 15 MiB, 45, P2, 0 %, 0 %
0, NVIDIA GeForce RTX 4090, 24564 MiB, 24128 MiB, 15 MiB, 46, P2, 100 %, 0 %
0, NVIDIA GeForce RTX 4090, 24564 MiB, 24128 MiB, 15 MiB, 46, P2, 100 %, 1 %
0, NVIDIA GeForce RTX 4090, 24564 MiB, 24128 MiB, 15 MiB, 46, P2, 100 %, 1 %
0, NVIDIA GeForce RTX 4090, 24564 MiB, 24128 MiB, 15 MiB, 44, P2, 0 %, 0 %
0, NVIDIA GeForce RTX 4090, 24564 MiB, 24128 MiB, 15 MiB, 48, P2, 19 %, 4 %
0, NVIDIA GeForce RTX 4090, 24564 MiB, 24128 MiB, 15 MiB, 46, P2, 100 %, 0 %
0, NVIDIA GeForce RTX 4090, 24564 MiB, 24128 MiB, 15 MiB, 46, P2, 100 %, 2 %
0, NVIDIA GeForce RTX 4090, 24564 MiB, 24128 MiB, 15 MiB, 46, P2, 100 %, 1 %
0, NVIDIA GeForce RTX 4090, 24564 MiB, 24128 MiB, 15 MiB, 44, P2, 12 %, 0 %
0, NVIDIA GeForce RTX 4090, 24564 MiB, 24128 MiB, 15 MiB, 44, P2, 0 %, 0 %
0, NVIDIA GeForce RTX 4090, 24564 MiB, 24128 MiB, 15 MiB, 46, P2, 100 %, 2 %
0, NVIDIA GeForce RTX 4090, 24564 MiB, 24128 MiB, 15 MiB, 47, P2, 99 %, 6 %
0, NVIDIA GeForce RTX 4090, 24564 MiB, 24128 MiB, 15 MiB, 46, P2, 100 %, 2 %
0, NVIDIA GeForce RTX 4090, 24564 MiB, 24128 MiB, 15 MiB, 47, P2, 100 %, 2 %
0, NVIDIA GeForce RTX 4090, 24564 MiB, 24128 MiB, 15 MiB, 47, P2, 85 %, 2 %
0, NVIDIA GeForce RTX 4090, 24564 MiB, 24128 MiB, 15 MiB, 44, P2, 0 %, 0 %
0, NVIDIA GeForce RTX 4090, 24564 MiB, 24128 MiB, 15 MiB, 44, P2, 0 %, 0 %
0, NVIDIA GeForce RTX 4090, 24564 MiB, 24128 MiB, 15 MiB, 46, P2, 100 %, 0 %
0, NVIDIA GeForce RTX 4090, 24564 MiB, 24128 MiB, 15 MiB, 46, P2, 100 %, 2 %
0, NVIDIA GeForce RTX 4090, 24564 MiB, 24128 MiB, 15 MiB, 46, P2, 100 %, 2 %
0, NVIDIA GeForce RTX 4090, 24564 MiB, 24128 MiB, 15 MiB, 45, P2, 38 %, 2 %
0, NVIDIA GeForce RTX 4090, 24564 MiB, 24128 MiB, 15 MiB, 45, P2, 0 %, 0 %
0, NVIDIA GeForce RTX 4090, 24564 MiB, 24128 MiB, 15 MiB, 45, P2, 100 %, 0 %
0, NVIDIA GeForce RTX 4090, 24564 MiB, 24128 MiB, 15 MiB, 47, P2, 99 %, 5 %
0, NVIDIA GeForce RTX 4090, 24564 MiB, 24128 MiB, 15 MiB, 46, P2, 100 %, 1 %
0, NVIDIA GeForce RTX 4090, 24564 MiB, 24128 MiB, 15 MiB, 46, P2, 84 %, 2 %
0, NVIDIA GeForce RTX 4090, 24564 MiB, 24128 MiB, 15 MiB, 44, P2, 0 %, 0 %
0, NVIDIA GeForce RTX 4090, 24564 MiB, 24128 MiB, 15 MiB, 45, P2, 93 %, 1 %
0, NVIDIA GeForce RTX 4090, 24564 MiB, 24128 MiB, 15 MiB, 47, P2, 100 %, 2 %
0, NVIDIA GeForce RTX 4090, 24564 MiB, 24128 MiB, 15 MiB, 46, P2, 100 %, 1 %
0, NVIDIA GeForce RTX 4090, 24564 MiB, 24128 MiB, 15 MiB, 45, P2, 22 %, 1 %
0, NVIDIA GeForce RTX 4090, 24564 MiB, 24128 MiB, 15 MiB, 44, P2, 0 %, 0 %
0, NVIDIA GeForce RTX 4090, 24564 MiB, 24128 MiB, 15 MiB, 46, P2, 100 %, 2 %
0, NVIDIA GeForce RTX 4090, 24564 MiB, 24128 MiB, 15 MiB, 46, P2, 100 %, 1 %
0, NVIDIA GeForce RTX 4090, 24564 MiB, 24128 MiB, 15 MiB, 46, P2, 100 %, 2 %
0, NVIDIA GeForce RTX 4090, 24564 MiB, 24128 MiB, 15 MiB, 44, P2, 83 %, 2 %
0, NVIDIA GeForce RTX 4090, 24564 MiB, 24128 MiB, 15 MiB, 44, P2, 2 %, 0 %
0, NVIDIA GeForce RTX 4090, 24564 MiB, 24128 MiB, 15 MiB, 46, P2, 100 %, 0 %
0, NVIDIA GeForce RTX 4090, 24564 MiB, 24128 MiB, 15 MiB, 48, P2, 93 %, 0 %
0, NVIDIA GeForce RTX 4090, 24564 MiB, 24128 MiB, 15 MiB, 46, P2, 100 %, 0 %
0, NVIDIA GeForce RTX 4090, 24564 MiB, 24128 MiB, 15 MiB, 46, P2, 100 %, 2 %
0, NVIDIA GeForce RTX 4090, 24564 MiB, 24128 MiB, 15 MiB, 45, P2, 100 %, 2 %
0, NVIDIA GeForce RTX 4090, 24564 MiB, 24128 MiB, 15 MiB, 44, P2, 0 %, 0 %
0, NVIDIA GeForce RTX 4090, 24564 MiB, 24128 MiB, 15 MiB, 44, P2, 0 %, 0 %
0, NVIDIA GeForce RTX 4090, 24564 MiB, 24128 MiB, 15 MiB, 46, P2, 100 %, 0 %
0, NVIDIA GeForce RTX 4090, 24564 MiB, 24128 MiB, 15 MiB, 46, P2, 93 %, 5 %
0, NVIDIA GeForce RTX 4090, 24564 MiB, 24128 MiB, 15 MiB, 46, P2, 100 %, 2 %
0, NVIDIA GeForce RTX 4090, 24564 MiB, 24128 MiB, 15 MiB, 47, P2, 100 %, 1 %
0, NVIDIA GeForce RTX 4090, 24564 MiB, 24128 MiB, 15 MiB, 46, P2, 100 %, 1 %
0, NVIDIA GeForce RTX 4090, 24564 MiB, 24128 MiB, 15 MiB, 44, P2, 26 %, 4 %
0, NVIDIA GeForce RTX 4090, 24564 MiB, 24128 MiB, 15 MiB, 46, P2, 100 %, 0 %
0, NVIDIA GeForce RTX 4090, 24564 MiB, 24128 MiB, 15 MiB, 46, P2, 100 %, 0 %
0, NVIDIA GeForce RTX 4090, 24564 MiB, 24128 MiB, 15 MiB, 46, P2, 100 %, 1 %
0, NVIDIA GeForce RTX 4090, 24564 MiB, 24128 MiB, 15 MiB, 46, P2, 100 %, 2 %
0, NVIDIA GeForce RTX 4090, 24564 MiB, 24128 MiB, 15 MiB, 44, P2, 0 %, 0 %
0, NVIDIA GeForce RTX 4090, 24564 MiB, 24128 MiB, 15 MiB, 45, P2, 19 %, 4 %
0, NVIDIA GeForce RTX 4090, 24564 MiB, 24128 MiB, 15 MiB, 46, P2, 100 %, 0 %
0, NVIDIA GeForce RTX 4090, 24564 MiB, 24128 MiB, 15 MiB, 47, P2, 100 %, 2 %
0, NVIDIA GeForce RTX 4090, 24564 MiB, 24128 MiB, 15 MiB, 47, P2, 100 %, 2 %
0, NVIDIA GeForce RTX 4090, 24564 MiB, 24128 MiB, 15 MiB, 46, P2, 85 %, 1 %
0, NVIDIA GeForce RTX 4090, 24564 MiB, 24128 MiB, 15 MiB, 46, P2, 96 %, 2 %
0, NVIDIA GeForce RTX 4090, 24564 MiB, 24128 MiB, 15 MiB, 44, P2, 0 %, 0 %
0, NVIDIA GeForce RTX 4090, 24564 MiB, 24128 MiB, 15 MiB, 46, P2, 100 %, 6 %
0, NVIDIA GeForce RTX 4090, 24564 MiB, 24128 MiB, 15 MiB, 46, P2, 99 %, 0 %
0, NVIDIA GeForce RTX 4090, 24564 MiB, 24128 MiB, 15 MiB, 46, P2, 100 %, 1 %
0, NVIDIA GeForce RTX 4090, 24564 MiB, 24128 MiB, 15 MiB, 46, P2, 100 %, 2 %
0, NVIDIA GeForce RTX 4090, 24564 MiB, 24128 MiB, 15 MiB, 44, P2, 2 %, 0 %
0, NVIDIA GeForce RTX 4090, 24564 MiB, 24128 MiB, 15 MiB, 44, P2, 0 %, 0 %
0, NVIDIA GeForce RTX 4090, 24564 MiB, 24128 MiB, 15 MiB, 46, P2, 44 %, 5 %
0, NVIDIA GeForce RTX 4090, 24564 MiB, 24128 MiB, 15 MiB, 46, P2, 99 %, 6 %
0, NVIDIA GeForce RTX 4090, 24564 MiB, 24128 MiB, 15 MiB, 46, P2, 100 %, 0 %
0, NVIDIA GeForce RTX 4090, 24564 MiB, 24128 MiB, 15 MiB, 46, P2, 100 %, 2 %
0, NVIDIA GeForce RTX 4090, 24564 MiB, 24128 MiB, 15 MiB, 47, P2, 100 %, 2 %
0, NVIDIA GeForce RTX 4090, 24564 MiB, 24128 MiB, 15 MiB, 44, P2, 58 %, 2 %
0, NVIDIA GeForce RTX 4090, 24564 MiB, 24128 MiB, 15 MiB, 44, P2, 51 %, 1 %
0, NVIDIA GeForce RTX 4090, 24564 MiB, 24128 MiB, 15 MiB, 46, P2, 17 %, 4 %
0, NVIDIA GeForce RTX 4090, 24564 MiB, 24128 MiB, 15 MiB, 46, P2, 99 %, 7 %
0, NVIDIA GeForce RTX 4090, 24564 MiB, 24128 MiB, 15 MiB, 46, P2, 100 %, 0 %
0, NVIDIA GeForce RTX 4090, 24564 MiB, 24128 MiB, 15 MiB, 46, P2, 100 %, 2 %
0, NVIDIA GeForce RTX 4090, 24564 MiB, 24128 MiB, 15 MiB, 46, P2, 100 %, 2 %
0, NVIDIA GeForce RTX 4090, 24564 MiB, 24128 MiB, 15 MiB, 44, P2, 0 %, 0 %
0, NVIDIA GeForce RTX 4090, 24564 MiB, 24128 MiB, 15 MiB, 44, P2, 0 %, 0 %
0, NVIDIA GeForce RTX 4090, 24564 MiB, 24128 MiB, 15 MiB, 46, P2, 93 %, 1 %
0, NVIDIA GeForce RTX 4090, 24564 MiB, 24128 MiB, 15 MiB, 47, P2, 100 %, 1 %
0, NVIDIA GeForce RTX 4090, 24564 MiB, 24128 MiB, 15 MiB, 46, P2, 100 %, 2 %
0, NVIDIA GeForce RTX 4090, 24564 MiB, 24128 MiB, 15 MiB, 46, P2, 95 %, 2 %
0, NVIDIA GeForce RTX 4090, 24564 MiB, 24128 MiB, 15 MiB, 46, P2, 100 %, 2 %
0, NVIDIA GeForce RTX 4090, 24564 MiB, 24128 MiB, 15 MiB, 44, P2, 22 %, 4 %
0, NVIDIA GeForce RTX 4090, 24564 MiB, 24128 MiB, 15 MiB, 45, P2, 45 %, 10 %
0, NVIDIA GeForce RTX 4090, 24564 MiB, 24128 MiB, 15 MiB, 46, P2, 100 %, 0 %
0, NVIDIA GeForce RTX 4090, 24564 MiB, 24128 MiB, 15 MiB, 47, P2, 100 %, 2 %
0, NVIDIA GeForce RTX 4090, 24564 MiB, 24128 MiB, 15 MiB, 46, P2, 100 %, 1 %
0, NVIDIA GeForce RTX 4090, 24564 MiB, 24128 MiB, 15 MiB, 44, P2, 0 %, 0 %
0, NVIDIA GeForce RTX 4090, 24564 MiB, 24128 MiB, 15 MiB, 44, P2, 0 %, 0 %
0, NVIDIA GeForce RTX 4090, 24564 MiB, 24128 MiB, 15 MiB, 46, P2, 93 %, 2 %
0, NVIDIA GeForce RTX 4090, 24564 MiB, 24128 MiB, 15 MiB, 47, P2, 100 %, 1 %
0, NVIDIA GeForce RTX 4090, 24564 MiB, 24128 MiB, 15 MiB, 47, P2, 100 %, 1 %
0, NVIDIA GeForce RTX 4090, 24564 MiB, 24128 MiB, 15 MiB, 44, P2, 24 %, 1 %
0, NVIDIA GeForce RTX 4090, 24564 MiB, 24128 MiB, 15 MiB, 44, P2, 0 %, 0 %
0, NVIDIA GeForce RTX 4090, 24564 MiB, 24128 MiB, 15 MiB, 46, P2, 93 %, 1 %
0, NVIDIA GeForce RTX 4090, 24564 MiB, 24128 MiB, 15 MiB, 46, P2, 100 %, 2 %
0, NVIDIA GeForce RTX 4090, 24564 MiB, 24128 MiB, 15 MiB, 46, P2, 100 %, 2 %
0, NVIDIA GeForce RTX 4090, 24564 MiB, 24128 MiB, 15 MiB, 45, P2, 97 %, 2 %
0, NVIDIA GeForce RTX 4090, 24564 MiB, 24128 MiB, 15 MiB, 45, P2, 85 %, 2 %
0, NVIDIA GeForce RTX 4090, 24564 MiB, 24128 MiB, 15 MiB, 45, P2, 0 %, 0 %
0, NVIDIA GeForce RTX 4090, 24564 MiB, 24128 MiB, 15 MiB, 47, P2, 94 %, 0 %
0, NVIDIA GeForce RTX 4090, 24564 MiB, 24128 MiB, 15 MiB, 47, P2, 99 %, 3 %
0, NVIDIA GeForce RTX 4090, 24564 MiB, 24128 MiB, 15 MiB, 46, P2, 100 %, 2 %
0, NVIDIA GeForce RTX 4090, 24564 MiB, 24128 MiB, 15 MiB, 45, P2, 95 %, 1 %
0, NVIDIA GeForce RTX 4090, 24564 MiB, 24128 MiB, 15 MiB, 44, P2, 70 %, 5 %
0, NVIDIA GeForce RTX 4090, 24564 MiB, 24128 MiB, 15 MiB, 47, P2, 99 %, 7 %
0, NVIDIA GeForce RTX 4090, 24564 MiB, 24128 MiB, 15 MiB, 46, P2, 100 %, 0 %
0, NVIDIA GeForce RTX 4090, 24564 MiB, 24128 MiB, 15 MiB, 47, P2, 100 %, 1 %
0, NVIDIA GeForce RTX 4090, 24564 MiB, 24128 MiB, 15 MiB, 47, P2, 100 %, 2 %
0, NVIDIA GeForce RTX 4090, 24564 MiB, 24128 MiB, 15 MiB, 44, P2, 0 %, 0 %
0, NVIDIA GeForce RTX 4090, 24564 MiB, 24128 MiB, 15 MiB, 44, P2, 0 %, 0 %
0, NVIDIA GeForce RTX 4090, 24564 MiB, 24128 MiB, 15 MiB, 46, P2, 93 %, 2 %
0, NVIDIA GeForce RTX 4090, 24564 MiB, 24128 MiB, 15 MiB, 47, P2, 100 %, 1 %
0, NVIDIA GeForce RTX 4090, 24564 MiB, 24128 MiB, 15 MiB, 47, P2, 100 %, 1 %
0, NVIDIA GeForce RTX 4090, 24564 MiB, 24128 MiB, 15 MiB, 46, P2, 96 %, 2 %
0, NVIDIA GeForce RTX 4090, 24564 MiB, 24128 MiB, 15 MiB, 45, P2, 44 %, 2 %
0, NVIDIA GeForce RTX 4090, 24564 MiB, 24128 MiB, 15 MiB, 44, P2, 100 %, 4 %
0, NVIDIA GeForce RTX 4090, 24564 MiB, 24128 MiB, 15 MiB, 46, P2, 100 %, 6 %
0, NVIDIA GeForce RTX 4090, 24564 MiB, 24128 MiB, 15 MiB, 46, P2, 99 %, 0 %
0, NVIDIA GeForce RTX 4090, 24564 MiB, 24128 MiB, 15 MiB, 46, P2, 100 %, 1 %
0, NVIDIA GeForce RTX 4090, 24564 MiB, 24128 MiB, 15 MiB, 46, P2, 100 %, 2 %
0, NVIDIA GeForce RTX 4090, 24564 MiB, 24128 MiB, 15 MiB, 44, P2, 0 %, 0 %
0, NVIDIA GeForce RTX 4090, 24564 MiB, 24128 MiB, 15 MiB, 44, P2, 0 %, 0 %
0, NVIDIA GeForce RTX 4090, 24564 MiB, 24128 MiB, 15 MiB, 46, P2, 100 %, 2 %
0, NVIDIA GeForce RTX 4090, 24564 MiB, 24128 MiB, 15 MiB, 47, P2, 99 %, 6 %
0, NVIDIA GeForce RTX 4090, 24564 MiB, 24128 MiB, 15 MiB, 47, P2, 100 %, 2 %
0, NVIDIA GeForce RTX 4090, 24564 MiB, 24128 MiB, 15 MiB, 46, P2, 100 %, 2 %
0, NVIDIA GeForce RTX 4090, 24564 MiB, 24128 MiB, 15 MiB, 46, P2, 100 %, 1 %
0, NVIDIA GeForce RTX 4090, 24564 MiB, 24128 MiB, 15 MiB, 44, P2, 0 %, 0 %
0, NVIDIA GeForce RTX 4090, 24564 MiB, 24128 MiB, 15 MiB, 46, P2, 48 %, 10 %
0, NVIDIA GeForce RTX 4090, 24564 MiB, 24128 MiB, 15 MiB, 46, P2, 99 %, 2 %
0, NVIDIA GeForce RTX 4090, 24564 MiB, 24128 MiB, 15 MiB, 46, P2, 100 %, 2 %
0, NVIDIA GeForce RTX 4090, 24564 MiB, 24128 MiB, 15 MiB, 46, P2, 100 %, 2 %
0, NVIDIA GeForce RTX 4090, 24564 MiB, 24128 MiB, 15 MiB, 46, P2, 72 %, 2 %
0, NVIDIA GeForce RTX 4090, 24564 MiB, 24128 MiB, 15 MiB, 46, P2, 84 %, 2 %
0, NVIDIA GeForce RTX 4090, 24564 MiB, 24128 MiB, 15 MiB, 44, P2, 0 %, 0 %
0, NVIDIA GeForce RTX 4090, 24564 MiB, 24128 MiB, 15 MiB, 45, P2, 85 %, 10 %
0, NVIDIA GeForce RTX 4090, 24564 MiB, 24128 MiB, 15 MiB, 46, P2, 100 %, 0 %
0, NVIDIA GeForce RTX 4090, 24564 MiB, 24128 MiB, 15 MiB, 46, P2, 100 %, 1 %
0, NVIDIA GeForce RTX 4090, 24564 MiB, 24128 MiB, 15 MiB, 46, P2, 100 %, 1 %
0, NVIDIA GeForce RTX 4090, 24564 MiB, 24128 MiB, 15 MiB, 44, P2, 0 %, 0 %
0, NVIDIA GeForce RTX 4090, 24564 MiB, 24128 MiB, 15 MiB, 44, P2, 0 %, 0 %
0, NVIDIA GeForce RTX 4090, 24564 MiB, 24128 MiB, 15 MiB, 45, P2, 100 %, 1 %
0, NVIDIA GeForce RTX 4090, 24564 MiB, 24128 MiB, 15 MiB, 47, P2, 100 %, 2 %
0, NVIDIA GeForce RTX 4090, 24564 MiB, 24128 MiB, 15 MiB, 47, P2, 100 %, 1 %
0, NVIDIA GeForce RTX 4090, 24564 MiB, 24128 MiB, 15 MiB, 46, P2, 100 %, 2 %
0, NVIDIA GeForce RTX 4090, 24564 MiB, 24128 MiB, 15 MiB, 46, P2, 84 %, 2 %
0, NVIDIA GeForce RTX 4090, 24564 MiB, 24128 MiB, 15 MiB, 44, P2, 0 %, 0 %
0, NVIDIA GeForce RTX 4090, 24564 MiB, 24128 MiB, 15 MiB, 44, P2, 99 %, 11 %
0, NVIDIA GeForce RTX 4090, 24564 MiB, 24128 MiB, 15 MiB, 46, P2, 100 %, 0 %
0, NVIDIA GeForce RTX 4090, 24564 MiB, 24128 MiB, 15 MiB, 46, P2, 100 %, 2 %
0, NVIDIA GeForce RTX 4090, 24564 MiB, 24128 MiB, 15 MiB, 46, P2, 100 %, 1 %
0, NVIDIA GeForce RTX 4090, 24564 MiB, 24128 MiB, 15 MiB, 44, P2, 5 %, 0 %
0, NVIDIA GeForce RTX 4090, 24564 MiB, 24128 MiB, 15 MiB, 44, P2, 0 %, 0 %
0, NVIDIA GeForce RTX 4090, 24564 MiB, 24128 MiB, 15 MiB, 45, P2, 100 %, 0 %
0, NVIDIA GeForce RTX 4090, 24564 MiB, 24128 MiB, 15 MiB, 46, P2, 95 %, 0 %
0, NVIDIA GeForce RTX 4090, 24564 MiB, 24128 MiB, 15 MiB, 46, P2, 100 %, 1 %
0, NVIDIA GeForce RTX 4090, 24564 MiB, 24128 MiB, 15 MiB, 47, P2, 100 %, 2 %
0, NVIDIA GeForce RTX 4090, 24564 MiB, 24128 MiB, 15 MiB, 46, P2, 100 %, 2 %
0, NVIDIA GeForce RTX 4090, 24564 MiB, 24128 MiB, 15 MiB, 44, P2, 0 %, 0 %
0, NVIDIA GeForce RTX 4090, 24564 MiB, 0 MiB, 24142 MiB, 44, P0, 1 %, 0 %
0, NVIDIA GeForce RTX 4090, 24564 MiB, 0 MiB, 24142 MiB, 40, P8, 0 %, 0 %
0, NVIDIA GeForce RTX 4090, 24564 MiB, 0 MiB, 24142 MiB, 40, P8, 0 %, 0 %
0, NVIDIA GeForce RTX 4090, 24564 MiB, 0 MiB, 24142 MiB, 39, P8, 0 %, 0 %
0, NVIDIA GeForce RTX 4090, 24564 MiB, 0 MiB, 24142 MiB, 39, P8, 0 %, 0 %
0, NVIDIA GeForce RTX 4090, 24564 MiB, 0 MiB, 24142 MiB, 39, P8, 0 %, 0 %
0, NVIDIA GeForce RTX 4090, 24564 MiB, 0 MiB, 24142 MiB, 39, P8, 0 %, 0 %
0, NVIDIA GeForce RTX 4090, 24564 MiB, 0 MiB, 24142 MiB, 39, P8, 0 %, 0 %
0, NVIDIA GeForce RTX 4090, 24564 MiB, 0 MiB, 24142 MiB, 39, P8, 0 %, 0 %
0, NVIDIA GeForce RTX 4090, 24564 MiB, 0 MiB, 24142 MiB, 39, P8, 0 %, 0 %
0, NVIDIA GeForce RTX 4090, 24564 MiB, 0 MiB, 24142 MiB, 39, P8, 0 %, 0 %
